active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,2,-3,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,370,1,1,0,0,0,0,0,0,1,0,0,1,0,1.4
True,1999-11-04,1,-8,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,239,0,1,0,0,1,2,0,0,0,0,0,1,0,-1.1
True,1999-11-06,2,-7,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,486,1,1,0,0,0,0,1,1,0,1,0,0,3,2.5
True,1999-11-10,0,-6,ATLANTA HAWKS,AWAY,VANCOUVER GRIZZLIES,LOSS,229,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6
True,1999-11-13,2,-9,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,877,1,2,0,0,0,0,0,2,0,0,0,0,7,-1.2
True,1999-11-23,0,-1,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-11-30,0,1,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,WIN,174,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,1999-12-08,2,5,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,126,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,1999-12-10,5,2,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,477,2,3,0,0,1,2,2,1,0,0,1,0,0,5.7
True,1999-12-11,0,-4,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-12-18,2,3,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,875,1,5,0,0,0,0,0,4,0,0,0,0,0,0.1
True,1999-12-22,0,14,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,920,0,3,0,0,0,0,2,4,1,0,0,1,1,-0.2
True,1999-12-29,2,-3,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,493,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
True,2000-01-07,1,-1,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0
True,2000-01-15,0,0,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,LOSS,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-01-19,4,9,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,394,2,3,0,0,0,1,0,2,1,2,0,0,0,5.6
True,2000-01-21,0,0,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-01-22,0,0,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,168,0,3,0,0,0,0,0,1,0,1,0,0,0,-0.8
True,2000-01-25,5,-1,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,376,2,3,0,0,1,2,1,0,0,0,0,1,3,1.8
True,2000-01-29,0,2,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-02-08,8,2,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,720,3,3,0,0,2,4,0,1,1,0,0,0,0,7.3
True,2000-02-09,2,-7,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,270,0,2,0,0,2,2,0,1,1,0,0,2,2,-1.2
True,2000-02-15,2,-2,ATLANTA HAWKS,HOME,NEW JERSEY NETS,WIN,221,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2000-02-18,0,3,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,145,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2000-02-23,0,-4,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,366,0,4,0,0,0,0,1,1,0,0,0,0,0,-1.8
True,2000-03-01,0,-2,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,LOSS,104,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2000-03-04,9,9,ATLANTA HAWKS,HOME,SEATTLE SUPERSONICS,LOSS,458,4,5,0,0,1,1,2,3,0,0,0,0,0,9.4
True,2000-03-06,0,1,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,720,0,2,0,0,0,0,0,2,0,1,1,0,1,0.5
True,2000-03-09,3,-2,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,627,1,3,0,0,1,2,1,1,0,0,0,0,0,1.9
True,2000-03-17,3,-2,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,392,1,1,0,0,1,2,0,0,0,0,0,1,1,0.9
True,2000-03-21,0,-2,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,452,0,1,0,0,0,0,0,0,0,0,0,1,1,-2.1
True,2000-03-22,0,11,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,893,0,0,0,0,0,2,1,1,1,1,0,3,4,-2.7
True,2000-03-24,2,-4,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,443,1,2,0,0,0,0,0,2,0,1,0,0,0,2.6
True,2000-03-25,5,-11,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,603,1,5,0,0,3,4,0,0,0,1,0,1,2,0.7
True,2000-03-30,8,-10,ATLANTA HAWKS,HOME,PHOENIX SUNS,LOSS,821,4,8,0,0,0,0,1,4,0,0,0,1,0,4.9
True,2000-04-01,4,-12,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,912,1,3,0,0,2,2,0,2,1,2,0,0,0,5.6
True,2000-04-04,5,-9,ATLANTA HAWKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1685,2,5,0,0,1,2,0,3,2,0,0,0,3,3.0
True,2000-04-05,6,-5,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1447,3,8,0,0,0,0,1,3,1,0,2,1,3,3.1
True,2000-04-07,2,-9,ATLANTA HAWKS,HOME,TORONTO RAPTORS,LOSS,1031,1,5,0,0,0,0,1,1,1,0,0,0,2,-0.2
True,2000-04-08,9,6,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,1185,3,3,0,0,3,3,2,5,0,0,2,0,0,12.4
True,2000-04-10,0,-2,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,216,0,1,0,0,0,0,0,1,0,0,0,2,1,-2.8
True,2000-04-12,13,-15,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1017,6,8,0,0,1,1,1,1,1,1,0,0,3,11.3
True,2000-04-14,4,-4,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,LOSS,1139,2,4,0,0,0,0,0,5,0,1,1,1,4,2.6
True,2000-04-16,0,-1,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,427,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2000-04-18,4,-9,ATLANTA HAWKS,HOME,NEW JERSEY NETS,WIN,691,1,4,0,0,2,3,3,2,0,0,0,1,2,2.1
True,2000-04-19,5,-4,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1241,2,7,0,1,1,2,1,3,1,2,1,2,0,3.5
