active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-01-06,0,-1,DALLAS MAVERICKS,HOME,UTAH JAZZ,LOSS,351,0,0,0,0,0,0,0,0,0,0,0,1,3,-2.2
True,2000-01-08,0,22,DALLAS MAVERICKS,HOME,ATLANTA HAWKS,WIN,1254,0,2,0,1,0,0,1,2,1,1,3,0,3,2.5
True,2000-01-10,2,2,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1009,1,2,0,0,0,2,1,0,1,2,1,0,4,2.7
True,2000-01-11,5,-14,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,WIN,1078,2,4,1,2,0,0,1,4,2,2,1,1,6,5.6
True,2000-01-15,5,-3,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1167,2,7,0,1,1,2,4,2,3,2,1,0,5,6.7
True,2000-01-17,5,-10,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1100,2,6,0,0,1,1,3,2,1,0,1,0,5,3.7
True,2000-01-19,4,14,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1580,2,3,0,0,0,0,2,0,4,2,0,0,4,7.3
True,2000-01-22,2,4,DALLAS MAVERICKS,AWAY,NEW JERSEY NETS,LOSS,1427,1,2,0,0,0,0,0,2,0,0,0,0,5,-0.4
True,2000-01-23,8,1,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,1180,3,4,0,0,2,6,0,6,1,3,0,1,3,8.1
True,2000-01-25,2,-1,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1402,1,3,0,1,0,1,0,4,2,2,2,0,5,3.9
True,2000-01-27,6,13,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,1413,3,4,0,0,0,0,1,2,1,0,0,1,3,4.2
True,2000-01-29,6,4,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,978,3,5,0,0,0,0,0,4,0,1,0,1,4,3.3
True,2000-02-01,4,-2,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,LOSS,1427,2,4,0,0,0,1,3,3,5,2,0,2,4,6.5
True,2000-02-03,7,8,DALLAS MAVERICKS,HOME,CHARLOTTE HORNETS,WIN,1393,3,5,0,0,1,2,0,2,1,0,0,0,4,4.0
True,2000-02-05,6,-7,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,WIN,1289,2,5,0,0,2,2,0,0,2,1,0,0,2,4.9
True,2000-02-06,0,-18,DALLAS MAVERICKS,AWAY,VANCOUVER GRIZZLIES,WIN,1444,0,2,0,0,0,0,1,2,0,1,0,0,3,-0.3
True,2000-02-09,0,-3,DALLAS MAVERICKS,HOME,SEATTLE SUPERSONICS,LOSS,284,0,0,0,0,0,0,0,1,1,1,0,1,1,0.6
True,2000-02-17,2,-6,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,578,1,2,0,0,0,0,1,0,0,0,0,0,3,0.5
True,2000-02-20,6,2,DALLAS MAVERICKS,AWAY,TORONTO RAPTORS,WIN,836,3,3,0,0,0,0,0,1,1,0,0,0,3,4.9
True,2000-02-21,4,6,DALLAS MAVERICKS,AWAY,INDIANA PACERS,LOSS,1060,2,4,0,0,0,0,1,3,1,0,0,0,2,3.5
True,2000-02-26,0,0,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-02-28,2,15,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,WIN,526,0,1,0,0,2,2,2,0,0,0,0,1,1,1.3
True,2000-02-29,11,0,DALLAS MAVERICKS,AWAY,PHILADELPHIA 76ERS,LOSS,1167,4,7,2,2,1,1,0,1,0,1,0,0,2,8.2
True,2000-03-02,0,-3,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,LOSS,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-03-04,3,16,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,809,1,2,1,1,0,0,0,2,0,1,0,1,1,2.2
True,2000-03-06,2,-2,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,LOSS,1346,1,4,0,1,0,0,0,5,1,3,0,2,2,2.0
True,2000-03-07,0,-12,DALLAS MAVERICKS,AWAY,SEATTLE SUPERSONICS,LOSS,382,0,1,0,0,0,0,0,1,1,0,0,1,3,-1.9
