active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,0,-4,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,546,0,2,0,0,0,0,0,2,0,0,0,0,0,-0.8
True,1999-11-03,2,6,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,552,1,2,0,0,0,0,0,0,1,0,1,0,0,2.4
True,1999-11-05,3,-7,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1259,1,6,1,4,0,0,1,2,1,0,0,0,1,0.8
True,1999-11-06,4,-8,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1151,2,4,0,1,0,0,1,1,3,0,1,1,3,3.6
True,1999-11-10,0,-2,DETROIT PISTONS,AWAY,BOSTON CELTICS,WIN,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-11-11,0,-3,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,452,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,1999-11-13,2,-9,DETROIT PISTONS,HOME,SEATTLE SUPERSONICS,WIN,530,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
True,1999-11-16,5,10,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,606,2,6,1,5,0,0,1,1,2,0,0,1,2,2.2
True,1999-11-17,0,6,DETROIT PISTONS,HOME,NEW JERSEY NETS,WIN,444,0,3,0,2,0,0,0,0,0,1,0,0,0,-1.1
True,1999-11-19,2,-9,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,889,1,4,0,3,0,0,0,1,0,0,0,0,1,-0.5
True,1999-11-21,0,-6,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-11-25,0,10,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,319,0,0,0,0,0,0,1,1,0,0,0,0,1,0.6
True,1999-11-26,0,3,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,336,0,2,0,2,0,0,0,0,2,0,1,0,0,0.7
True,1999-11-28,2,3,DETROIT PISTONS,HOME,ORLANDO MAGIC,LOSS,526,1,5,0,3,0,0,0,1,0,1,0,1,3,-2.0
True,1999-11-30,8,3,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,939,4,7,0,1,0,0,2,1,2,1,0,2,1,6.4
True,1999-12-01,0,4,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,257,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
True,1999-12-03,0,2,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,278,0,2,0,2,0,0,0,3,0,0,0,0,1,-0.9
True,1999-12-07,0,-5,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,WIN,570,0,2,0,1,0,0,0,1,0,0,0,0,0,-1.1
True,1999-12-10,0,7,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,WIN,442,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,1999-12-12,0,7,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,809,0,0,0,0,0,0,0,0,0,1,0,1,3,-1.2
True,1999-12-14,0,-9,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,465,0,1,0,1,0,0,0,0,0,0,1,1,1,-1.4
True,1999-12-29,10,9,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1000,4,6,2,3,0,0,0,4,1,1,0,0,2,9.5
True,1999-12-30,2,17,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,945,1,3,0,1,0,0,0,1,0,0,0,0,1,0.2
True,2000-01-03,0,2,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,400,0,1,0,0,0,0,0,0,2,0,0,0,0,0.7
True,2000-01-06,4,0,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,970,2,6,0,3,0,0,4,1,0,1,2,0,2,5.3
True,2000-01-20,2,6,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,294,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
True,2000-01-22,3,2,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,960,1,1,0,0,1,3,2,1,3,1,0,0,1,6.3
True,2000-01-23,12,-2,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,1977,5,9,2,5,0,2,2,5,1,1,1,0,0,12.2
True,2000-01-25,7,1,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,2359,3,7,1,4,0,0,2,4,1,0,1,0,6,4.9
True,2000-01-27,0,1,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,LOSS,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
