active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,35,8,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,WIN,2250,15,20,0,1,5,7,1,2,11,1,0,4,5,30.2
True,1999-11-04,24,2,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1935,9,13,0,1,6,6,0,2,8,3,0,4,3,22.5
True,1999-11-06,28,9,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1947,10,16,1,1,7,8,0,3,8,0,0,2,5,22.9
True,1999-11-08,14,-7,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,LOSS,2389,5,16,0,4,4,4,0,5,10,4,0,4,6,10.9
True,1999-11-10,21,0,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,LOSS,1956,6,13,0,0,9,10,0,1,9,0,0,3,3,16.3
True,1999-11-12,19,18,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,2059,7,13,0,2,5,7,0,2,14,2,0,3,1,20.9
True,1999-11-13,22,-1,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,2181,7,19,1,1,7,8,0,5,7,1,1,3,5,14.2
True,1999-11-16,20,7,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,WIN,2243,8,12,0,0,4,4,0,4,9,1,0,5,4,16.7
True,1999-11-18,19,6,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,WIN,1887,7,18,1,1,4,4,2,3,3,0,0,5,2,7.8
True,1999-11-20,8,-8,MILWAUKEE BUCKS,HOME,UTAH JAZZ,LOSS,2115,4,13,0,0,0,0,0,4,9,1,0,3,0,6.0
True,1999-11-21,8,-20,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1492,4,12,0,0,0,0,1,0,4,1,0,4,4,0.1
True,1999-11-24,10,0,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1920,2,12,0,0,6,6,0,3,6,2,0,3,2,5.7
True,1999-11-26,28,0,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,WIN,2217,9,21,0,1,10,10,1,4,12,1,0,3,3,24.0
True,1999-11-27,16,-3,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,2145,8,17,0,1,0,0,2,3,7,2,0,4,0,12.5
True,1999-12-02,16,-5,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,2200,3,9,0,0,10,11,0,4,4,0,1,4,3,10.0
True,1999-12-04,23,-3,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,2149,8,15,0,0,7,8,1,5,15,2,0,4,2,25.2
