active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,0,-1,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1685,0,4,0,0,0,0,0,4,0,2,0,0,0,0.4
True,1999-11-03,2,4,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,1016,1,5,0,0,0,0,1,2,1,1,0,1,2,0.1
True,1999-11-05,8,4,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,976,4,6,0,0,0,0,1,2,1,0,0,1,4,4.8
True,1999-11-06,4,-3,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,1180,2,2,0,0,0,0,1,1,1,2,1,1,4,5.2
True,1999-11-22,4,8,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,1454,2,4,0,0,0,2,0,3,0,2,0,1,2,2.3
True,1999-11-24,0,-14,BOSTON CELTICS,HOME,SAN ANTONIO SPURS,LOSS,1091,0,2,0,0,0,0,0,0,0,1,0,0,0,-0.4
True,1999-11-26,4,-7,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,LOSS,1241,2,5,0,1,0,0,1,1,1,1,1,2,4,1.1
True,1999-11-27,6,-5,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,1031,3,7,0,0,0,0,1,1,2,0,0,0,3,3.5
True,1999-12-03,0,-5,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,689,0,2,0,0,0,0,0,1,0,0,0,0,2,-1.9
True,1999-12-04,0,-6,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,471,0,1,0,0,0,0,0,1,0,0,1,1,0,-0.7
True,1999-12-08,10,2,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,1420,5,7,0,0,0,0,1,3,2,3,1,0,3,12.6
True,1999-12-10,4,-1,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,987,2,6,0,1,0,0,0,0,2,1,1,1,1,2.3
True,1999-12-12,5,-6,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,1446,2,7,1,3,0,0,1,4,2,1,0,2,4,1.6
True,1999-12-14,11,-8,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,1828,5,7,1,1,0,0,0,2,3,1,0,0,4,10.2
True,1999-12-15,5,-7,BOSTON CELTICS,HOME,UTAH JAZZ,LOSS,1715,1,5,1,2,2,2,0,3,2,0,0,1,4,1.6
True,1999-12-17,6,13,BOSTON CELTICS,AWAY,SAN ANTONIO SPURS,LOSS,1182,2,5,1,1,1,2,1,4,1,2,0,1,6,4.1
True,1999-12-18,12,-11,BOSTON CELTICS,AWAY,HOUSTON ROCKETS,LOSS,2067,6,10,0,2,0,0,1,6,2,1,0,1,4,9.7
True,1999-12-20,4,-22,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,LOSS,1584,2,6,0,0,0,0,0,2,2,1,0,0,2,2.8
True,1999-12-22,3,4,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1151,1,3,1,2,0,0,0,1,1,0,0,1,1,0.9
True,1999-12-26,0,-1,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,LOSS,292,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,1999-12-28,2,-4,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,643,1,2,0,0,0,0,1,1,1,0,0,2,1,0.3
True,1999-12-30,3,-9,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,929,1,3,0,0,1,2,0,1,0,1,0,0,4,0.6
True,2000-01-03,4,2,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,WIN,466,2,3,0,0,0,0,0,0,2,2,0,0,0,6.1
True,2000-01-04,0,-2,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,435,0,1,0,0,0,0,0,2,0,0,0,1,3,-2.3
True,2000-01-07,3,2,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,1430,1,4,0,2,1,2,0,4,1,0,0,2,1,-0.3
True,2000-01-08,0,-9,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,1196,0,1,0,0,0,0,0,1,1,1,0,0,2,0.5
True,2000-01-10,5,-16,BOSTON CELTICS,HOME,VANCOUVER GRIZZLIES,LOSS,1497,2,6,1,3,0,0,1,3,1,1,0,0,2,4.1
True,2000-01-12,11,12,BOSTON CELTICS,HOME,LOS ANGELES CLIPPERS,WIN,2333,5,9,1,2,0,0,0,1,3,1,0,0,2,9.3
True,2000-01-13,4,0,BOSTON CELTICS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,947,2,2,0,0,0,0,0,0,4,0,0,1,2,4.4
True,2000-01-15,4,12,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,2535,2,5,0,1,0,0,0,6,4,0,0,2,4,2.3
True,2000-01-17,0,-15,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,1227,0,2,0,0,0,0,0,0,0,1,0,0,2,-1.2
True,2000-01-19,8,-1,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1523,3,5,2,2,0,0,0,2,0,0,0,0,1,5.9
True,2000-01-25,2,-25,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,1565,1,6,0,1,0,0,2,3,1,1,0,2,1,-0.2
True,2000-01-26,4,-7,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,871,2,4,0,1,0,0,0,1,0,0,0,0,2,1.5
True,2000-01-28,0,-10,BOSTON CELTICS,HOME,PHOENIX SUNS,WIN,818,0,1,0,1,0,2,0,0,0,0,0,0,1,-1.9
True,2000-02-01,7,-1,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,1756,3,6,1,2,0,0,0,2,0,1,0,1,2,3.8
True,2000-02-02,5,-3,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,780,2,4,1,1,0,0,0,1,2,0,0,0,2,3.9
True,2000-02-04,6,12,BOSTON CELTICS,HOME,NEW JERSEY NETS,WIN,1691,3,8,0,1,0,0,0,8,6,1,2,0,2,9.8
True,2000-02-06,0,2,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,781,0,2,0,0,0,0,1,0,1,0,0,2,3,-3.2
True,2000-02-08,5,-8,BOSTON CELTICS,AWAY,NEW JERSEY NETS,LOSS,1227,2,3,0,0,1,1,1,3,0,0,0,1,2,3.5
True,2000-02-09,9,-14,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,1985,4,8,1,2,0,0,0,0,1,0,0,0,5,3.7
True,2000-03-01,0,0,BOSTON CELTICS,HOME,TORONTO RAPTORS,LOSS,446,0,2,0,1,0,0,1,1,0,0,0,0,3,-1.6
True,2000-03-03,2,11,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,903,1,2,0,0,0,0,0,0,2,0,0,0,4,0.8
True,2000-03-05,0,-4,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,224,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2000-03-08,4,10,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1029,2,5,0,1,0,0,1,2,3,0,1,0,0,5.4
True,2000-03-10,5,10,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,936,2,2,1,1,0,0,0,0,0,2,0,2,3,3.2
True,2000-03-12,9,11,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,WIN,2092,4,10,0,1,1,1,0,1,0,1,1,2,2,2.8
True,2000-03-13,5,-9,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,1237,2,4,1,3,0,0,0,0,1,1,0,0,3,3.5
True,2000-03-15,5,10,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,707,2,2,0,0,1,2,0,0,1,1,1,1,4,3.8
True,2000-03-17,2,7,BOSTON CELTICS,AWAY,ATLANTA HAWKS,WIN,1097,1,6,0,1,0,0,0,2,1,0,0,2,2,-3.3
True,2000-03-18,7,5,BOSTON CELTICS,AWAY,DALLAS MAVERICKS,WIN,781,3,4,1,2,0,1,0,2,0,0,0,0,2,4.8
True,2000-03-20,4,1,BOSTON CELTICS,AWAY,PHOENIX SUNS,LOSS,1217,2,3,0,1,0,0,0,2,1,0,0,0,4,2.4
True,2000-03-22,2,-6,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1282,1,4,0,1,0,0,0,2,2,1,1,1,1,1.9
True,2000-03-24,11,-21,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,LOSS,2242,5,7,0,0,1,2,0,3,1,1,0,1,6,6.9
True,2000-03-26,0,-11,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,844,0,2,0,1,0,0,0,2,2,0,0,0,2,-0.2
True,2000-03-28,0,-2,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,193,0,0,0,0,0,0,0,2,0,0,0,1,0,-0.4
True,2000-03-31,2,-10,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,LOSS,740,1,1,0,0,0,0,0,4,1,0,1,0,2,3.5
True,2000-04-01,2,-8,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,575,1,3,0,0,0,0,0,0,1,0,0,0,2,0.2
True,2000-04-04,0,-2,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,495,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.4
True,2000-04-05,9,14,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,1355,4,5,1,1,0,0,0,1,1,1,1,0,4,8.2
True,2000-04-07,10,-4,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,LOSS,1818,5,7,0,0,0,0,1,3,2,0,0,1,6,6.7
True,2000-04-10,5,8,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1655,2,5,1,1,0,0,1,2,2,2,1,2,1,5.3
True,2000-04-12,5,1,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,2272,2,9,1,4,0,2,2,3,3,2,0,2,2,2.3
True,2000-04-14,6,14,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,1473,3,5,0,1,0,0,0,1,3,2,0,0,4,6.5
True,2000-04-16,0,-4,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,LOSS,175,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2000-04-18,2,3,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,634,1,3,0,1,0,0,2,0,0,1,0,2,2,-0.1
True,2000-04-19,0,-7,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,769,0,2,0,1,0,0,0,1,0,0,0,1,1,-2.5
