active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-12-08,4,-6,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,1054,2,6,0,0,0,0,1,3,0,1,0,0,6,0.8
True,1999-12-11,0,4,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,580,0,1,0,1,0,0,0,2,0,1,0,1,0,-0.1
True,1999-12-14,0,-3,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,453,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,1999-12-16,6,-2,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,1073,2,3,0,0,2,2,2,3,1,0,0,4,5,1.7
True,1999-12-17,4,-1,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,914,2,3,0,0,0,0,1,1,1,0,0,1,4,1.8
True,1999-12-20,0,-1,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,306,0,1,0,0,0,0,0,1,0,1,0,2,1,-1.8
True,1999-12-23,5,-4,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,490,2,3,0,0,1,2,0,0,0,0,0,0,2,2.5
True,1999-12-26,0,-11,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,867,0,2,0,0,0,0,1,2,0,0,1,0,2,-0.2
True,1999-12-27,0,-4,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,LOSS,80,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.8
True,2000-01-03,0,-3,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,272,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2000-01-13,8,-6,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,WIN,767,4,6,0,0,0,0,1,2,0,0,0,1,6,3.3
True,2000-01-15,4,-3,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,1175,2,4,0,0,0,0,3,2,0,1,0,1,3,3.5
True,2000-01-23,0,-3,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,425,0,1,0,0,0,0,0,0,0,0,0,2,1,-3.1
True,2000-01-25,0,3,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,596,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2000-03-21,4,3,GOLDEN STATE WARRIORS,AWAY,VANCOUVER GRIZZLIES,LOSS,909,1,3,0,0,2,2,1,2,0,0,2,1,1,3.6
True,2000-03-22,3,-1,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1284,1,4,0,0,1,2,2,5,1,3,0,1,4,4.2
True,2000-03-24,5,4,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,664,2,3,0,0,1,1,2,2,1,1,1,1,1,6.7
True,2000-03-26,2,-8,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,707,1,1,0,0,0,0,0,1,0,0,0,0,3,0.8
True,2000-03-28,2,-20,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,LOSS,869,1,4,0,0,0,0,0,2,1,1,0,1,3,-0.3
True,2000-03-30,6,-4,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,446,1,1,0,0,4,4,0,0,0,0,0,0,5,3.7
True,2000-03-31,0,1,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,303,0,2,0,0,0,0,1,0,0,0,0,1,0,-1.7
True,2000-04-02,2,2,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,LOSS,656,1,2,0,0,0,0,1,0,2,0,0,1,2,1.3
True,2000-04-07,3,-6,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,LOSS,621,1,4,0,0,1,2,1,0,1,1,0,1,1,1.2
True,2000-04-11,0,-5,GOLDEN STATE WARRIORS,HOME,VANCOUVER GRIZZLIES,WIN,121,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.4
True,2000-04-13,10,3,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,917,2,3,0,0,6,6,0,0,3,2,0,1,3,10.6
True,2000-04-14,0,-7,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,432,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2000-04-17,4,-6,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,LOSS,782,2,3,0,0,0,2,0,2,1,0,0,1,0,2.2
True,2000-04-19,4,-9,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,738,2,5,0,0,0,0,1,1,1,0,0,0,4,1.4
