active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-26,15,26,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,WIN,1280,6,8,0,0,3,4,0,2,5,3,0,0,0,18.5
True,1999-11-27,3,-9,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,834,1,4,0,1,1,2,1,0,2,0,0,3,2,-1.5
True,1999-12-01,4,-20,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,674,2,7,0,1,0,0,1,1,1,0,0,2,0,-0.4
True,1999-12-03,2,8,CHARLOTTE HORNETS,AWAY,VANCOUVER GRIZZLIES,WIN,398,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,1999-12-05,4,-1,CHARLOTTE HORNETS,AWAY,SEATTLE SUPERSONICS,WIN,540,2,4,0,0,0,0,0,0,2,2,0,1,0,4.4
True,1999-12-08,15,-2,CHARLOTTE HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,1274,6,9,0,0,3,3,4,1,0,2,0,1,2,14.4
True,1999-12-10,11,-12,CHARLOTTE HORNETS,HOME,DENVER NUGGETS,WIN,1459,5,6,0,0,1,1,1,2,2,0,0,1,1,10.1
True,1999-12-11,16,-1,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,WIN,1562,8,11,0,0,0,0,1,8,4,2,1,3,0,17.1
True,1999-12-15,2,-7,CHARLOTTE HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,854,1,4,0,0,0,0,1,2,0,0,1,1,0,0.6
True,1999-12-18,1,-6,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,WIN,178,0,1,0,0,1,2,0,0,1,0,0,0,0,0.6
True,1999-12-23,9,11,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,1142,4,8,0,0,1,1,0,1,1,2,1,0,1,8.3
True,1999-12-26,8,-11,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,LOSS,995,4,6,0,0,0,3,1,0,0,2,0,1,4,4.3
True,1999-12-27,2,0,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,614,1,2,0,0,0,0,0,0,0,1,0,1,1,0.6
True,1999-12-29,3,7,CHARLOTTE HORNETS,HOME,MILWAUKEE BUCKS,WIN,720,0,0,0,0,3,4,0,1,3,0,0,0,0,5.0
True,1999-12-30,4,9,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,1492,2,5,0,0,0,0,0,6,1,1,1,3,2,1.7
True,2000-01-04,0,-2,CHARLOTTE HORNETS,AWAY,PHOENIX SUNS,LOSS,369,0,2,0,0,0,0,1,0,1,0,0,0,0,0.0
True,2000-01-05,8,-6,CHARLOTTE HORNETS,AWAY,UTAH JAZZ,LOSS,1462,3,9,0,0,2,2,2,3,2,2,1,3,2,5.5
True,2000-01-07,4,7,CHARLOTTE HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,1526,2,4,0,0,0,0,1,5,1,1,0,1,4,3.3
True,2000-01-08,10,1,CHARLOTTE HORNETS,AWAY,DENVER NUGGETS,LOSS,1529,5,8,0,0,0,0,2,3,0,1,0,2,5,5.7
True,2000-01-10,11,-36,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,LOSS,1714,3,9,0,1,5,5,0,0,4,1,0,5,0,4.7
True,2000-01-15,0,-2,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,459,0,4,0,1,0,0,0,2,0,0,0,2,0,-4.2
True,2000-01-17,4,-4,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,WIN,466,2,4,0,0,0,0,0,0,1,0,0,0,1,2.3
True,2000-01-19,0,-6,CHARLOTTE HORNETS,AWAY,CHICAGO BULLS,WIN,595,0,1,0,0,0,0,1,0,3,1,0,2,1,0.7
True,2000-01-20,13,-1,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,1195,4,5,0,0,5,6,2,5,3,1,1,0,3,16.2
True,2000-01-22,10,16,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1235,4,7,0,0,2,2,0,1,5,1,1,0,0,12.2
True,2000-01-25,2,3,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,LOSS,492,1,4,0,0,0,0,0,0,0,1,0,0,1,0.2
True,2000-01-27,0,-5,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,WIN,425,0,1,0,0,0,0,1,1,0,1,0,1,0,0.3
True,2000-01-29,4,4,CHARLOTTE HORNETS,HOME,PHOENIX SUNS,WIN,212,2,4,0,0,0,0,1,0,0,0,0,0,0,2.7
True,2000-02-01,2,8,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,890,1,3,0,0,0,0,1,3,4,1,0,2,0,3.7
True,2000-02-03,0,-6,CHARLOTTE HORNETS,AWAY,DALLAS MAVERICKS,LOSS,205,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2000-02-18,8,9,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,WIN,503,4,4,0,0,0,0,1,0,1,1,0,0,0,9.2
True,2000-02-24,0,-1,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,LOSS,258,0,0,0,0,0,0,1,0,1,0,0,0,0,1.4
True,2000-02-26,0,-8,CHARLOTTE HORNETS,AWAY,NEW JERSEY NETS,LOSS,303,0,0,0,0,0,0,0,1,2,0,0,1,0,0.7
True,2000-02-29,4,-2,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,765,1,1,0,0,2,2,0,2,2,0,0,1,3,3.5
True,2000-03-02,12,-9,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,LOSS,1184,6,8,0,0,0,0,2,1,3,0,0,1,1,11.2
True,2000-03-03,0,0,CHARLOTTE HORNETS,HOME,UTAH JAZZ,LOSS,326,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.7
True,2000-03-05,1,-7,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,WIN,516,0,1,0,0,1,2,0,0,0,1,0,1,0,-0.1
True,2000-03-08,0,-2,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-03-10,4,-3,CHARLOTTE HORNETS,AWAY,LOS ANGELES CLIPPERS,WIN,155,2,3,0,0,0,0,0,0,0,0,0,0,0,2.7
