active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,10,-5,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,1616,4,12,0,0,2,2,3,4,0,3,0,3,4,4.9
True,1999-11-03,12,15,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1881,6,10,0,0,0,0,2,7,2,0,3,3,5,9.4
True,1999-11-05,6,-9,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,1519,3,7,0,0,0,0,2,2,1,1,2,0,4,5.8
True,1999-11-06,11,5,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1835,4,7,0,0,3,7,4,4,1,0,1,3,3,7.3
True,1999-11-11,19,-13,CLEVELAND CAVALIERS,HOME,SEATTLE SUPERSONICS,LOSS,1733,9,14,0,0,1,2,6,3,0,1,1,1,3,17.0
True,1999-11-13,9,1,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1325,4,5,0,0,1,4,3,2,3,1,0,2,4,8.1
True,1999-11-17,5,11,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1077,2,3,0,0,1,2,1,2,0,2,0,3,6,1.2
True,1999-11-19,9,-3,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1747,3,5,0,0,3,4,1,3,1,4,1,1,6,9.9
True,1999-11-20,8,-6,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,LOSS,2170,2,4,0,0,4,4,2,5,1,1,0,2,3,7.4
True,1999-11-23,6,2,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2539,3,8,0,0,0,0,1,6,0,1,0,3,3,0.9
True,1999-11-26,6,-11,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,1246,2,3,0,0,2,2,0,5,0,0,0,0,4,4.6
True,1999-11-27,16,19,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1855,6,9,0,0,4,6,3,5,1,1,2,1,3,15.8
True,1999-11-30,17,23,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2024,8,12,0,0,1,1,5,10,1,0,3,2,2,18.3
True,1999-12-01,4,10,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1055,0,2,0,0,4,6,1,3,1,0,0,1,6,0.7
True,1999-12-03,15,-11,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,2213,7,9,0,0,1,4,1,6,3,3,2,1,4,16.7
True,1999-12-07,8,-9,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,2014,3,6,0,0,2,6,2,8,2,1,3,4,3,6.5
