active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,9,16,PORTLAND TRAIL BLAZERS,AWAY,VANCOUVER GRIZZLIES,WIN,1309,4,7,0,0,1,1,1,5,1,1,2,2,2,8.2
True,1999-11-03,0,3,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,139,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,1999-11-05,0,-5,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,199,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,1999-11-06,2,2,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,755,1,2,0,0,0,0,1,1,0,0,0,2,4,-1.6
True,1999-11-09,0,-2,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-11-13,9,20,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,WIN,927,4,6,0,0,1,3,2,6,0,0,1,2,2,6.7
True,1999-11-16,3,11,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,695,1,1,0,0,1,2,1,2,0,0,1,0,0,4.3
True,1999-11-17,1,-3,PORTLAND TRAIL BLAZERS,AWAY,ORLANDO MAGIC,WIN,402,0,0,0,0,1,2,0,0,0,0,1,1,1,-0.1
True,1999-11-27,0,-4,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,WIN,330,0,0,0,0,0,0,0,2,0,0,1,2,1,-1.1
True,1999-12-01,4,4,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,588,2,4,0,0,0,0,0,1,1,0,0,0,0,3.0
True,1999-12-03,0,-3,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,304,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
True,1999-12-09,4,-3,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,540,2,4,0,0,0,0,1,1,0,0,0,0,2,2.2
True,1999-12-17,0,-5,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-12-23,5,-2,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,WIN,359,1,1,0,0,3,4,1,1,0,0,0,0,2,4.5
True,2000-01-03,0,-2,PORTLAND TRAIL BLAZERS,AWAY,CHICAGO BULLS,WIN,157,0,1,0,0,0,0,0,0,0,0,0,1,1,-2.1
True,2000-03-08,0,4,PORTLAND TRAIL BLAZERS,AWAY,NEW JERSEY NETS,LOSS,120,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2000-03-16,0,0,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-03-24,2,-4,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,WIN,833,1,1,0,0,0,0,1,1,1,0,0,1,1,2.0
True,2000-04-01,2,-3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,WIN,264,1,2,0,0,0,0,0,1,1,0,0,0,2,1.2
