active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-12-29,0,0,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,1999-12-30,4,1,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,434,2,2,0,0,0,0,0,1,0,1,0,2,2,1.9
True,2000-01-03,2,-13,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,781,0,0,0,0,2,2,0,1,0,0,0,1,0,1.3
True,2000-01-04,4,9,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,370,2,2,0,0,0,0,0,1,1,1,0,0,1,5.0
True,2000-01-08,0,-9,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,433,0,0,0,0,0,0,1,2,1,0,0,0,2,1.2
True,2000-01-12,0,0,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-01-14,2,-5,CLEVELAND CAVALIERS,AWAY,VANCOUVER GRIZZLIES,WIN,478,1,3,0,0,0,0,0,3,0,0,0,0,2,0.4
True,2000-01-18,0,0,CLEVELAND CAVALIERS,AWAY,SEATTLE SUPERSONICS,LOSS,107,0,0,0,0,0,0,1,1,1,0,0,0,0,1.7
True,2000-01-22,0,2,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-01-27,0,-5,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
True,2000-04-07,0,4,NEW JERSEY NETS,HOME,MIAMI HEAT,LOSS,222,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2000-04-08,1,2,NEW JERSEY NETS,AWAY,MILWAUKEE BUCKS,LOSS,533,0,0,0,0,1,2,1,1,2,0,0,0,1,2.6
True,2000-04-11,0,-1,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-04-12,0,-8,NEW JERSEY NETS,AWAY,NEW YORK KNICKS,LOSS,158,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2000-04-14,0,-6,NEW JERSEY NETS,HOME,ORLANDO MAGIC,LOSS,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
