active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,17,3,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,2320,5,15,0,2,7,7,4,5,3,0,0,6,1,8.5
True,1999-11-04,19,-15,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,1887,7,13,1,2,4,5,1,3,2,0,0,6,2,8.5
True,1999-11-06,15,14,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1601,6,9,3,3,0,0,1,4,3,0,0,0,3,13.9
True,1999-11-08,16,-9,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,2421,8,20,0,2,0,0,1,5,6,0,0,0,2,10.8
True,1999-11-10,12,0,ATLANTA HAWKS,AWAY,VANCOUVER GRIZZLIES,LOSS,2544,5,16,0,1,2,2,3,5,3,2,0,5,0,5.5
True,1999-11-13,5,-31,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1248,2,11,0,1,1,2,1,1,1,0,0,2,0,-2.6
True,1999-11-14,13,9,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,2124,6,13,1,3,0,0,0,2,3,0,0,5,2,3.2
True,1999-11-16,20,8,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,WIN,2572,8,24,1,6,3,4,0,6,4,0,0,1,0,9.6
True,1999-11-19,19,6,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,2257,6,16,1,2,6,6,1,3,3,1,0,2,3,11.7
True,1999-11-20,19,-2,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,2271,9,19,1,3,0,0,2,4,5,2,0,2,1,15.0
True,1999-11-23,21,5,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,2442,7,14,0,1,7,8,2,5,3,1,0,3,2,15.8
True,1999-11-24,12,-5,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,2253,6,11,0,0,0,0,0,3,4,0,0,5,2,4.6
