active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,12,18,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,WIN,1927,5,9,0,0,2,2,1,1,8,1,0,4,4,9.7
True,1999-11-04,5,4,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,1449,1,5,0,0,3,4,0,1,4,1,0,3,0,2.6
True,1999-11-05,14,-2,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,1946,6,16,0,0,2,2,0,2,9,1,0,2,1,10.7
True,1999-11-07,2,-4,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1907,1,8,0,0,0,0,0,0,6,1,0,1,5,-1.0
True,1999-11-09,10,23,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,WIN,1188,5,5,0,0,0,2,0,1,3,1,0,2,0,9.1
True,1999-11-10,14,11,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,WIN,2394,6,14,0,0,2,2,2,3,6,2,1,3,1,12.4
True,1999-11-13,6,17,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,WIN,1927,3,8,0,0,0,0,0,0,12,0,1,2,0,8.7
True,1999-11-15,9,-13,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,2013,4,13,0,1,1,2,2,1,3,0,0,2,3,1.7
True,1999-11-16,6,-16,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1675,3,12,0,0,0,0,0,1,2,2,0,2,0,0.5
True,1999-11-18,4,-3,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1883,1,4,0,0,2,2,0,1,6,1,0,1,2,5.3
True,1999-11-20,12,20,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,1582,6,12,0,0,0,0,0,0,8,2,0,1,3,11.4
True,1999-11-22,6,-2,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,2339,3,14,0,0,0,0,0,2,6,2,0,5,2,-1.6
True,1999-11-24,8,22,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,WIN,1564,4,8,0,0,0,0,0,2,9,1,0,1,0,10.9
True,1999-11-26,10,5,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1774,5,8,0,0,0,0,0,2,5,0,1,1,1,9.8
True,1999-11-27,14,20,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,2389,7,15,0,0,0,1,3,2,8,1,0,3,3,11.0
True,1999-11-30,22,23,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1668,11,14,0,0,0,0,0,1,5,0,0,1,2,18.6
True,1999-12-02,12,8,SAN ANTONIO SPURS,AWAY,NEW JERSEY NETS,WIN,2506,6,11,0,0,0,0,0,4,7,1,1,4,3,9.3
True,1999-12-03,0,-14,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1072,0,5,0,0,0,2,0,0,6,0,0,1,0,-1.1
True,1999-12-05,20,-7,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1965,9,20,0,0,2,4,1,1,5,0,2,1,2,12.9
True,1999-12-07,15,-4,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,LOSS,2180,7,15,0,0,1,1,0,4,3,1,0,2,2,8.8
True,1999-12-09,6,4,SAN ANTONIO SPURS,HOME,VANCOUVER GRIZZLIES,WIN,2101,3,6,0,0,0,0,0,1,6,0,2,2,3,5.7
True,1999-12-11,4,0,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,LOSS,2118,2,8,0,0,0,0,0,0,4,0,0,1,3,-0.2
True,1999-12-14,16,11,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1875,8,15,0,0,0,2,0,4,5,0,0,1,0,11.6
