active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,9,10,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1463,4,8,0,0,1,1,1,3,4,1,0,2,1,8.0
True,1999-11-04,8,-2,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,1336,2,4,0,0,4,4,0,5,1,0,0,2,4,4.6
True,1999-11-07,4,9,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1540,2,3,0,0,0,0,0,3,2,0,0,2,4,1.4
True,1999-11-09,0,9,PHOENIX SUNS,AWAY,CHICAGO BULLS,WIN,824,0,2,0,0,0,0,0,1,1,1,1,2,4,-2.3
True,1999-11-10,10,16,PHOENIX SUNS,AWAY,NEW JERSEY NETS,WIN,1030,4,9,0,0,2,2,2,6,1,0,1,1,3,7.7
True,1999-11-12,4,-4,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1080,1,4,0,0,2,2,2,3,1,0,0,2,2,1.8
True,1999-11-13,4,6,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,745,1,3,0,0,2,2,1,4,2,0,0,0,0,5.6
True,1999-11-15,9,-2,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,LOSS,2267,3,10,0,0,3,5,2,8,0,1,1,1,5,4.9
True,1999-11-17,13,13,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,1520,6,10,0,0,1,1,0,3,0,1,0,2,3,7.1
True,1999-11-19,8,6,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,876,4,5,0,0,0,0,1,0,1,0,0,0,4,5.9
True,1999-11-21,2,1,PHOENIX SUNS,HOME,SEATTLE SUPERSONICS,WIN,748,1,5,0,0,0,0,3,4,0,0,1,3,3,-1.3
True,1999-11-23,2,-3,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,909,1,2,0,0,0,0,2,2,2,1,1,3,1,2.7
True,1999-11-27,5,5,PHOENIX SUNS,HOME,NEW JERSEY NETS,WIN,498,1,2,0,0,3,4,0,1,3,0,0,0,4,4.4
True,1999-11-30,2,3,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,1329,1,6,0,0,0,0,2,1,0,0,0,1,3,-2.3
True,1999-12-01,3,-8,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1355,1,6,0,0,1,2,1,4,1,0,0,0,2,0.6
True,1999-12-04,6,-10,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,934,2,3,0,0,2,2,2,1,0,1,0,2,2,4.6
True,1999-12-05,12,-6,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1939,4,9,0,0,4,4,3,6,0,0,0,1,6,7.8
True,1999-12-07,0,-12,PHOENIX SUNS,HOME,ORLANDO MAGIC,WIN,370,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.1
True,1999-12-23,6,-6,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,889,2,2,0,0,2,2,0,0,1,0,0,2,2,3.3
True,1999-12-26,3,5,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,741,1,4,0,0,1,2,0,1,2,0,0,2,5,-2.1
True,1999-12-27,6,0,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,888,3,5,0,0,0,0,2,2,0,0,1,2,5,2.4
True,1999-12-29,10,10,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1402,5,8,0,0,0,0,1,6,1,1,0,0,4,9.0
True,2000-01-04,4,-6,PHOENIX SUNS,HOME,CHARLOTTE HORNETS,WIN,1058,2,5,0,0,0,0,1,3,1,0,0,3,2,-0.2
True,2000-01-07,10,-9,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1779,4,9,0,0,2,2,5,5,1,1,4,2,4,11.2
True,2000-01-08,9,6,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1565,4,7,0,0,1,3,3,2,1,2,1,2,4,7.4
True,2000-01-11,12,-11,PHOENIX SUNS,AWAY,SEATTLE SUPERSONICS,LOSS,1732,5,9,0,0,2,4,3,4,1,0,0,1,3,8.7
True,2000-01-12,15,10,PHOENIX SUNS,AWAY,VANCOUVER GRIZZLIES,WIN,2168,6,9,0,0,3,3,2,4,1,0,1,4,3,9.9
True,2000-01-14,6,-16,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1580,3,5,0,0,0,0,1,3,1,0,0,2,4,2.4
True,2000-01-16,8,-3,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1638,4,8,0,0,0,0,1,2,1,0,2,3,2,3.6
True,2000-01-21,4,-4,PHOENIX SUNS,AWAY,DENVER NUGGETS,WIN,1822,1,8,0,0,2,2,4,5,3,0,0,2,3,2.0
True,2000-01-22,6,-7,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,999,3,4,0,0,0,0,2,1,0,1,0,3,2,3.3
True,2000-01-25,4,-11,PHOENIX SUNS,AWAY,INDIANA PACERS,LOSS,1390,1,6,0,0,2,4,3,3,1,1,2,1,3,3.3
True,2000-01-26,4,-2,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,794,1,2,0,0,2,2,0,5,1,0,0,3,4,0.6
True,2000-01-28,0,-6,PHOENIX SUNS,AWAY,BOSTON CELTICS,LOSS,645,0,2,0,0,0,0,0,2,1,0,0,1,2,-1.9
True,2000-01-29,4,-12,PHOENIX SUNS,AWAY,CHARLOTTE HORNETS,LOSS,1707,2,7,0,0,0,1,1,3,1,0,1,5,5,-4.5
True,2000-01-31,4,5,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,1211,2,3,0,0,0,0,1,7,2,0,1,1,2,5.8
True,2000-02-02,10,23,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,1907,5,11,0,0,0,0,2,7,3,0,1,2,3,7.4
True,2000-02-04,4,-10,PHOENIX SUNS,AWAY,SEATTLE SUPERSONICS,LOSS,956,2,5,0,0,0,0,1,2,1,0,1,1,3,1.8
True,2000-02-06,9,-1,PHOENIX SUNS,HOME,SEATTLE SUPERSONICS,WIN,1073,4,9,0,0,1,2,2,6,0,0,1,3,5,2.8
True,2000-02-08,20,17,PHOENIX SUNS,HOME,VANCOUVER GRIZZLIES,WIN,2164,9,14,0,0,2,2,3,3,2,1,1,4,2,15.1
True,2000-02-10,14,19,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,2032,5,9,0,0,4,4,3,9,0,0,1,0,4,13.6
True,2000-02-15,6,-5,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,897,2,6,0,0,2,2,0,3,2,1,0,2,5,1.9
True,2000-02-18,15,-3,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1202,7,10,0,0,1,1,0,1,1,1,2,2,4,10.6
True,2000-02-21,2,-17,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,597,0,1,0,0,2,2,2,0,0,0,0,3,3,-1.5
True,2000-02-25,11,-2,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,1336,4,7,0,0,3,3,2,3,3,0,0,1,4,9.5
True,2000-02-27,2,3,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1084,1,3,0,0,0,0,1,4,1,2,0,4,1,0.5
True,2000-02-29,2,6,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,WIN,943,1,4,0,0,0,0,2,3,0,0,1,2,4,-1.0
True,2000-03-02,7,17,PHOENIX SUNS,HOME,INDIANA PACERS,WIN,908,3,4,0,0,1,2,0,6,0,0,2,1,4,5.6
True,2000-03-04,8,8,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1306,4,8,0,0,0,0,2,3,0,0,0,1,1,4.9
