active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-01-06,5,-15,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,LOSS,1441,1,6,1,5,2,2,0,3,0,0,0,2,3,-1.1
True,2000-01-09,15,8,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,LOSS,2272,5,15,5,12,0,0,1,1,3,2,0,2,5,7.6
True,2000-01-11,7,4,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,LOSS,1818,1,10,1,4,4,4,0,1,2,1,0,0,3,1.9
True,2000-01-13,11,-10,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,LOSS,1234,4,8,1,2,2,3,0,2,1,1,0,3,5,3.9
True,2000-01-15,6,-13,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,1565,2,7,2,7,0,0,0,3,3,2,0,0,4,5.3
True,2000-01-17,2,3,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,WIN,770,1,3,0,1,0,0,0,1,0,1,0,0,2,0.8
True,2000-01-21,16,0,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,2093,7,15,2,5,0,0,3,0,0,3,0,1,3,11.2
True,2000-01-23,6,-8,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1573,2,7,2,3,0,0,1,4,2,1,0,0,5,4.2
True,2000-01-25,11,-11,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1650,2,10,0,5,7,7,0,6,2,1,0,2,3,5.8
True,2000-02-01,3,8,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,207,1,2,1,1,0,0,0,1,0,0,0,0,2,1.5
True,2000-02-04,3,-3,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,333,1,3,1,1,0,0,0,1,0,0,1,1,0,1.3
True,2000-02-07,4,2,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,807,2,5,0,2,0,0,0,1,2,3,0,0,4,4.4
True,2000-02-15,0,2,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,38,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2000-02-16,7,0,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1222,2,6,1,2,2,2,0,1,2,1,0,3,2,2.5
True,2000-02-18,5,-1,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,242,2,2,1,1,0,0,0,0,0,0,0,0,0,4.4
True,2000-02-20,0,-6,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,WIN,102,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2000-02-22,0,-9,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,212,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2000-02-25,3,-9,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,281,1,3,1,1,0,0,1,2,1,0,0,0,0,3.3
True,2000-02-26,3,1,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,307,1,2,1,2,0,0,0,0,1,0,0,1,1,1.3
True,2000-03-03,5,1,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,1314,2,10,1,6,0,0,1,3,3,2,0,2,2,1.7
True,2000-03-05,2,0,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,160,0,1,0,1,2,2,0,1,0,0,0,1,0,0.6
True,2000-03-09,0,2,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,136,0,4,0,1,0,0,0,0,1,0,0,0,0,-2.1
True,2000-03-15,0,1,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,264,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
