active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-02-01,0,-3,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,20,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2000-02-04,5,2,INDIANA PACERS,HOME,SACRAMENTO KINGS,WIN,1570,1,3,1,1,2,2,2,8,2,1,1,1,3,8.0
True,2000-02-05,11,-5,INDIANA PACERS,AWAY,ORLANDO MAGIC,LOSS,1409,5,6,0,0,1,1,1,4,0,2,2,1,3,11.9
True,2000-02-07,9,26,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,1440,3,4,1,2,2,2,1,4,6,2,1,2,2,13.4
True,2000-02-09,10,12,INDIANA PACERS,AWAY,BOSTON CELTICS,WIN,1435,5,7,0,1,0,0,1,5,1,2,0,0,5,10.0
True,2000-02-16,5,3,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,1294,2,5,0,1,1,4,1,3,2,0,0,0,5,2.1
True,2000-02-17,3,-11,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,WIN,1362,0,1,0,0,3,4,2,3,0,1,0,1,3,3.0
True,2000-02-19,3,-13,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1450,1,3,0,1,1,2,1,3,1,2,0,1,1,3.8
True,2000-02-21,4,5,INDIANA PACERS,HOME,DALLAS MAVERICKS,WIN,1648,0,2,0,0,4,4,2,6,1,1,0,0,2,6.7
True,2000-02-23,2,-3,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,908,0,1,0,0,2,2,0,5,1,1,0,1,4,1.9
True,2000-02-24,14,24,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1558,5,10,1,1,3,4,7,3,2,2,0,1,1,16.4
True,2000-02-26,3,18,INDIANA PACERS,HOME,GOLDEN STATE WARRIORS,WIN,1434,0,5,0,0,3,4,1,3,3,1,1,0,3,3.3
True,2000-02-29,10,1,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1478,2,4,0,0,6,8,0,2,1,2,0,1,4,7.9
True,2000-03-02,0,-15,INDIANA PACERS,AWAY,PHOENIX SUNS,LOSS,968,0,3,0,0,0,0,1,2,0,0,0,0,2,-1.6
True,2000-03-03,1,0,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,LOSS,1173,0,3,0,0,1,2,1,2,0,0,0,1,4,-2.8
True,2000-03-05,2,17,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,1249,1,2,0,0,0,0,0,3,1,0,1,1,3,1.1
True,2000-03-07,7,18,INDIANA PACERS,HOME,DENVER NUGGETS,WIN,1639,1,2,1,1,4,4,0,5,1,1,1,1,3,7.7
True,2000-03-09,9,-4,INDIANA PACERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1847,3,6,0,2,3,4,0,6,3,1,0,1,5,7.5
True,2000-03-10,9,4,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,WIN,1663,3,6,3,3,0,0,0,8,2,1,1,1,2,9.7
True,2000-03-12,0,4,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,1426,0,2,0,1,0,0,0,2,0,1,0,2,2,-2.6
True,2000-03-14,3,4,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,720,1,2,1,1,0,0,0,0,0,1,1,0,0,3.7
True,2000-03-15,4,-2,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,898,1,3,0,1,2,2,0,1,0,1,1,0,2,3.5
True,2000-03-23,6,-15,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,1065,2,3,0,0,2,3,1,3,0,1,0,1,2,5.1
True,2000-03-26,3,-11,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,LOSS,1337,1,4,0,1,1,2,1,5,1,1,2,0,3,4.3
True,2000-04-02,0,4,INDIANA PACERS,AWAY,TORONTO RAPTORS,WIN,679,0,3,0,1,0,0,0,1,2,0,0,0,3,-1.6
True,2000-04-05,0,-4,INDIANA PACERS,HOME,NEW JERSEY NETS,WIN,801,0,1,0,1,0,0,1,2,1,1,0,1,5,-0.7
True,2000-04-07,2,0,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,482,1,1,0,0,0,0,0,2,0,0,0,0,0,2.3
True,2000-04-10,4,-2,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1438,1,5,0,1,2,2,2,8,1,1,0,1,0,5.4
True,2000-04-12,0,-3,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,719,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2000-04-14,2,8,INDIANA PACERS,AWAY,MIAMI HEAT,WIN,910,1,2,0,0,0,0,0,1,1,2,0,0,4,2.4
True,2000-04-16,0,1,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,466,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5
True,2000-04-17,8,6,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,1502,3,7,2,3,0,0,3,2,2,0,1,0,2,8.3
