active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-11,0,-2,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,WIN,304,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,1999-11-13,4,6,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,WIN,584,2,5,0,0,0,0,0,1,0,0,0,0,0,1.6
True,1999-11-17,2,2,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,317,1,3,0,0,0,0,0,2,1,0,0,0,0,1.6
True,1999-11-19,5,2,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,WIN,1099,2,4,0,0,1,2,0,2,1,1,1,0,1,5.2
True,1999-11-21,0,-13,MINNESOTA TIMBERWOLVES,AWAY,VANCOUVER GRIZZLIES,WIN,279,0,1,0,0,0,0,0,0,0,0,0,2,0,-2.7
True,1999-11-22,6,-5,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1052,3,5,0,0,0,0,0,0,2,0,1,0,2,5.0
True,1999-11-24,0,-9,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,LOSS,503,0,3,0,1,0,0,0,0,1,1,0,0,2,-1.2
True,1999-11-26,0,-6,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,272,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.7
True,1999-11-27,6,8,MINNESOTA TIMBERWOLVES,HOME,VANCOUVER GRIZZLIES,WIN,799,1,4,0,1,4,4,2,2,2,0,0,1,1,5.6
True,1999-11-30,0,-10,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,487,0,0,0,0,0,0,0,0,0,0,0,2,1,-2.4
True,1999-12-02,8,-3,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,LOSS,1341,4,9,0,1,0,0,2,3,3,1,0,1,2,6.9
True,1999-12-04,5,-2,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1523,0,6,0,0,5,7,1,2,1,0,0,0,1,1.6
True,1999-12-08,7,2,MINNESOTA TIMBERWOLVES,AWAY,SEATTLE SUPERSONICS,LOSS,591,3,4,0,0,1,1,0,2,0,0,0,0,1,5.6
True,1999-12-09,0,-6,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,247,0,2,0,0,0,0,0,0,0,0,0,0,3,-2.6
True,1999-12-11,8,-22,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,1302,4,6,0,0,0,0,0,1,1,0,0,0,3,5.2
True,1999-12-14,2,-4,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,424,1,3,0,0,0,0,0,0,0,0,1,1,1,-0.4
True,1999-12-15,2,8,MINNESOTA TIMBERWOLVES,AWAY,CHARLOTTE HORNETS,LOSS,646,1,3,0,0,0,0,1,2,2,0,0,2,2,0.2
True,1999-12-17,2,-6,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,732,1,1,0,0,0,0,0,1,1,1,0,1,2,1.9
True,1999-12-18,13,3,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,WIN,1605,6,10,0,0,1,2,0,1,1,0,1,1,3,7.5
True,1999-12-20,7,11,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,998,1,3,0,0,5,6,0,1,1,0,0,0,2,5.1
True,1999-12-22,6,-10,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,WIN,969,2,6,0,0,2,2,0,0,2,0,0,1,2,2.2
True,1999-12-23,6,5,MINNESOTA TIMBERWOLVES,HOME,SEATTLE SUPERSONICS,WIN,1251,2,9,0,0,2,2,0,5,1,0,0,0,2,1.9
True,1999-12-27,14,-8,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,1358,6,8,1,1,1,2,1,1,1,1,0,1,2,11.3
True,1999-12-28,4,-7,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,911,1,4,0,0,2,2,1,1,0,0,0,1,1,1.2
True,1999-12-30,12,17,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,1733,5,9,0,0,2,2,0,4,3,1,0,2,1,9.6
True,2000-01-04,8,-4,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2065,2,12,0,0,4,4,1,2,3,2,0,0,1,5.4
True,2000-01-06,4,-1,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,WIN,1814,1,5,0,1,2,2,1,1,2,1,1,1,3,2.8
True,2000-01-08,20,12,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,WIN,2320,7,13,1,1,5,6,0,5,5,0,0,2,3,15.1
True,2000-01-09,14,16,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,WIN,1834,6,11,0,0,2,2,1,1,6,0,0,2,4,10.3
True,2000-01-11,9,-7,MINNESOTA TIMBERWOLVES,HOME,MIAMI HEAT,LOSS,1709,3,7,0,0,3,4,0,4,5,0,2,0,1,10.6
True,2000-01-13,15,17,MINNESOTA TIMBERWOLVES,HOME,BOSTON CELTICS,WIN,1936,4,10,1,1,6,7,0,5,3,0,0,1,2,11.0
True,2000-01-15,4,-5,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,990,2,4,0,0,0,0,0,1,2,0,1,0,0,4.4
