active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,5,1,UTAH JAZZ,HOME,LOS ANGELES LAKERS,LOSS,2049,1,3,0,1,3,3,0,6,2,2,0,0,4,6.9
True,1999-11-04,7,14,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1699,2,15,1,6,2,2,1,3,1,0,0,1,1,-1.8
True,1999-11-06,20,11,UTAH JAZZ,AWAY,SEATTLE SUPERSONICS,LOSS,2211,7,14,2,3,4,4,1,3,0,2,1,0,4,15.7
True,1999-11-08,13,14,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1887,5,8,1,2,2,4,0,1,2,3,0,1,3,11.1
True,1999-11-09,19,-6,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2245,6,12,0,2,7,9,1,8,1,1,1,0,0,17.7
True,1999-11-12,11,-8,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1200,5,8,1,1,0,0,1,3,0,1,0,1,6,6.6
True,1999-11-15,19,8,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,2149,7,9,3,3,2,2,1,3,1,0,0,1,3,15.6
True,1999-11-17,10,1,UTAH JAZZ,HOME,NEW YORK KNICKS,WIN,2044,4,12,1,4,1,2,2,1,0,0,0,2,1,2.1
True,1999-11-19,13,9,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2118,4,9,1,1,4,6,1,1,1,2,0,1,5,8.2
True,1999-11-20,19,10,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,WIN,2197,7,9,1,2,4,6,1,6,1,1,0,1,3,16.7
True,1999-11-22,14,18,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1911,6,13,2,4,0,0,1,3,2,1,1,1,3,9.8
True,1999-11-24,13,-4,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1898,3,9,0,3,7,9,1,5,0,3,0,0,4,10.7
True,1999-11-26,6,-16,UTAH JAZZ,HOME,TORONTO RAPTORS,LOSS,2202,2,8,0,3,2,6,2,4,0,3,0,0,4,3.6
True,1999-11-29,14,32,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1740,6,13,2,5,0,0,2,2,1,1,0,1,3,8.8
True,1999-12-03,8,-13,UTAH JAZZ,HOME,INDIANA PACERS,LOSS,1995,4,9,0,1,0,0,3,3,1,0,1,0,2,6.9
True,1999-12-04,17,6,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,2250,7,10,1,2,2,2,1,3,1,2,0,1,4,14.5
True,1999-12-06,13,10,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,2215,5,12,1,3,2,4,0,7,3,0,0,1,3,7.8
True,1999-12-08,13,14,UTAH JAZZ,HOME,DALLAS MAVERICKS,WIN,2388,5,15,0,1,3,4,0,8,1,2,0,1,2,7.4
True,1999-12-10,10,28,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,WIN,2461,4,13,1,5,1,2,2,7,1,1,1,1,3,5.8
True,1999-12-12,17,13,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,2432,5,7,1,1,6,6,2,0,3,1,0,0,5,16.6
True,1999-12-14,10,15,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,WIN,2310,5,9,0,2,0,0,0,3,4,2,1,1,3,9.9
True,1999-12-15,11,15,UTAH JAZZ,AWAY,BOSTON CELTICS,WIN,2536,4,13,1,1,2,2,1,5,5,2,0,1,3,9.0
True,1999-12-17,9,-14,UTAH JAZZ,AWAY,INDIANA PACERS,LOSS,2217,3,11,0,3,3,4,1,6,0,2,1,3,4,2.7
True,1999-12-18,19,16,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,2250,7,14,2,4,3,3,1,4,2,4,0,0,4,17.7
True,1999-12-20,10,1,UTAH JAZZ,AWAY,ORLANDO MAGIC,LOSS,2406,2,6,1,2,5,10,3,4,3,2,0,4,3,6.8
