active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,6,6,INDIANA PACERS,AWAY,NEW JERSEY NETS,WIN,1015,2,7,0,0,2,4,0,0,2,0,0,0,4,0.9
True,1999-11-04,7,-14,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,1695,3,6,0,0,1,1,0,4,1,0,0,6,5,-2.1
True,1999-11-06,13,-4,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,1518,5,10,0,0,3,3,2,5,2,0,2,0,4,12.1
True,1999-11-09,13,5,INDIANA PACERS,AWAY,MIAMI HEAT,LOSS,1575,5,13,0,0,3,4,2,2,1,0,1,3,5,3.9
True,1999-11-11,11,1,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1432,5,8,0,0,1,2,0,6,1,0,2,0,3,9.7
True,1999-11-13,10,12,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1582,5,13,0,0,0,0,1,4,0,0,1,1,3,3.3
True,1999-11-15,6,-2,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1257,3,10,0,0,0,0,1,5,0,1,1,1,0,3.1
True,1999-11-16,8,-5,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,933,4,13,0,0,0,0,1,1,1,0,2,0,6,1.2
True,1999-11-19,21,-2,INDIANA PACERS,HOME,ATLANTA HAWKS,LOSS,1906,9,20,0,0,3,3,2,4,1,0,3,4,3,10.8
True,1999-11-20,18,7,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,WIN,1647,8,17,0,0,2,3,2,4,4,0,1,1,3,12.8
True,1999-11-22,12,-3,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,1879,5,9,0,0,2,3,3,5,1,0,1,1,2,10.5
True,1999-11-25,23,7,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,2010,10,14,0,0,3,6,0,5,1,0,1,0,4,17.3
True,1999-11-26,17,10,INDIANA PACERS,HOME,VANCOUVER GRIZZLIES,WIN,1824,6,15,0,0,5,7,1,4,2,0,3,4,2,8.7
True,1999-11-28,10,-23,INDIANA PACERS,AWAY,SEATTLE SUPERSONICS,LOSS,1314,5,10,0,0,0,0,1,3,1,1,1,2,3,5.8
True,1999-11-29,4,-10,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,990,2,10,0,0,0,1,0,5,0,2,1,0,3,0.4
True,1999-12-01,8,2,INDIANA PACERS,AWAY,VANCOUVER GRIZZLIES,WIN,1465,4,9,0,0,0,2,1,1,2,0,2,0,1,5.9
True,1999-12-03,12,21,INDIANA PACERS,AWAY,UTAH JAZZ,WIN,1574,6,13,0,0,0,2,1,3,1,0,4,0,1,9.2
