active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,26,-2,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,2849,6,13,2,3,12,16,2,5,1,0,1,6,6,13.6
True,1999-11-03,17,5,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,2037,6,13,2,4,3,6,1,5,3,1,0,3,1,11.0
True,1999-11-05,30,-11,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,2369,11,16,0,0,8,9,1,5,4,0,0,6,4,20.2
True,1999-11-06,20,-6,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,2449,6,11,0,1,8,12,0,4,6,1,0,2,2,16.7
True,1999-11-10,30,6,DETROIT PISTONS,AWAY,BOSTON CELTICS,WIN,2414,10,21,2,6,8,9,1,4,8,1,0,5,2,21.6
True,1999-11-11,21,1,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,2263,6,22,0,1,9,13,4,2,7,1,1,2,2,13.6
True,1999-11-13,24,18,DETROIT PISTONS,HOME,SEATTLE SUPERSONICS,WIN,2416,5,16,0,1,14,14,2,2,8,2,0,2,2,21.6
True,1999-11-16,26,-15,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,2466,11,24,0,3,4,5,2,1,2,2,0,5,3,12.1
True,1999-11-17,13,2,DETROIT PISTONS,HOME,NEW JERSEY NETS,WIN,2136,6,13,1,3,0,0,1,2,5,1,1,3,4,8.2
True,1999-11-19,26,16,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,2082,7,16,1,3,11,16,3,3,3,1,1,5,3,16.2
True,1999-11-21,19,19,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1974,4,11,0,1,11,14,2,3,4,0,0,5,4,10.2
True,1999-11-25,26,1,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,2487,8,16,0,0,10,12,4,5,6,2,0,5,1,22.3
True,1999-11-26,12,-1,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2542,4,15,0,3,4,4,0,5,4,1,0,3,4,3.8
True,1999-11-28,21,-2,DETROIT PISTONS,HOME,ORLANDO MAGIC,LOSS,2316,7,18,2,4,5,6,2,2,10,3,0,7,3,14.6
True,1999-11-30,5,-20,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1437,2,10,0,1,1,2,2,2,1,1,0,2,1,-0.3
True,1999-12-01,14,-2,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,2222,3,10,0,0,8,9,1,3,4,3,0,7,5,6.2
True,1999-12-03,21,13,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,2241,8,17,0,1,5,6,1,1,2,1,0,7,3,7.1
True,1999-12-04,20,-9,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,2439,5,16,1,3,9,9,2,3,3,0,0,1,4,12.6
True,1999-12-07,26,-6,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,WIN,2252,8,15,2,3,8,8,1,3,4,0,2,1,1,23.1
True,1999-12-10,23,23,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,WIN,2103,7,18,1,4,8,8,3,2,5,2,0,5,1,16.0
True,1999-12-12,24,-24,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,2276,7,16,3,5,7,10,3,1,2,1,0,3,1,15.8
True,1999-12-14,35,-8,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,2774,9,24,3,6,14,16,2,2,7,0,0,3,3,23.7
True,1999-12-16,23,8,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,WIN,2735,5,16,0,3,13,15,2,5,11,1,0,5,2,18.8
True,1999-12-18,26,-1,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,2440,7,14,1,4,11,12,1,1,4,1,2,6,3,17.6
True,1999-12-20,23,-2,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2904,6,13,1,3,10,13,3,3,6,0,0,4,3,17.1
True,1999-12-21,20,-7,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,2291,6,14,0,1,8,9,0,2,3,0,1,6,4,8.0
True,1999-12-26,22,9,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,2412,8,16,0,2,6,8,1,6,1,0,0,6,1,10.0
True,1999-12-29,23,10,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,1946,6,14,2,4,9,12,2,2,3,0,0,1,2,16.7
True,1999-12-30,33,10,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2546,14,22,1,4,4,8,0,4,3,0,0,2,3,21.7
True,2000-01-03,19,9,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,2152,8,21,0,6,3,7,3,3,4,1,2,2,1,11.7
True,2000-01-05,28,2,DETROIT PISTONS,AWAY,ATLANTA HAWKS,WIN,2220,11,17,0,1,6,7,2,3,7,2,0,3,2,25.5
True,2000-01-06,18,2,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2254,8,19,1,6,1,3,1,2,5,2,1,6,2,7.8
True,2000-01-08,16,-14,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2143,4,12,0,1,8,14,1,3,1,2,1,2,2,9.0
True,2000-01-12,29,4,DETROIT PISTONS,HOME,NEW YORK KNICKS,WIN,2243,8,15,0,2,13,16,0,1,3,0,0,5,2,17.1
True,2000-01-14,32,19,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,2406,9,18,1,3,13,16,2,2,5,7,1,4,3,29.8
