active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-05,11,11,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1216,3,10,1,5,4,4,2,0,0,1,0,1,1,6.2
True,1999-11-06,10,0,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1474,5,9,0,2,0,0,0,4,3,1,0,0,0,10.0
True,1999-11-12,7,6,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1318,3,7,1,2,0,0,1,3,2,0,0,2,3,3.1
True,1999-11-14,0,2,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,502,0,2,0,2,0,0,0,1,0,1,0,0,0,-0.1
True,1999-11-16,3,2,SACRAMENTO KINGS,HOME,VANCOUVER GRIZZLIES,WIN,610,1,4,1,3,0,0,1,0,0,0,0,1,1,-0.1
True,1999-11-18,20,26,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,WIN,1779,8,13,3,6,1,2,2,3,3,1,0,0,1,18.7
True,1999-11-19,15,18,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1998,5,15,2,8,3,3,3,5,3,2,1,1,0,13.9
True,1999-11-21,7,-8,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,1208,3,5,1,3,0,0,2,1,1,0,0,2,0,5.1
True,1999-11-23,4,5,SACRAMENTO KINGS,HOME,NEW JERSEY NETS,WIN,951,2,7,0,3,0,0,1,3,1,0,0,3,1,-1.2
True,1999-11-26,14,25,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1266,5,8,2,4,2,2,0,5,3,2,1,2,2,13.9
True,1999-11-29,11,3,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,1506,4,8,2,3,1,1,0,3,2,1,0,0,2,9.5
True,1999-11-30,12,11,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1446,5,9,2,4,0,0,1,3,2,0,0,3,2,6.9
True,1999-12-02,5,-9,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1256,2,10,1,4,0,0,2,3,1,0,1,1,1,1.1
True,1999-12-04,7,-2,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,WIN,1070,3,7,0,1,1,2,0,0,2,0,0,2,2,1.5
True,1999-12-06,4,-18,SACRAMENTO KINGS,AWAY,NEW JERSEY NETS,LOSS,467,1,4,0,2,2,2,0,2,0,0,0,1,0,1.2
True,1999-12-08,19,11,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,1626,7,9,2,3,3,4,0,2,0,0,0,1,2,13.9
True,1999-12-10,7,-2,SACRAMENTO KINGS,HOME,MIAMI HEAT,LOSS,1283,2,8,2,2,1,2,3,3,1,0,0,0,1,5.1
True,1999-12-11,4,1,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1339,0,4,0,1,4,4,1,5,2,0,0,0,2,4.0
True,1999-12-15,17,18,SACRAMENTO KINGS,AWAY,VANCOUVER GRIZZLIES,WIN,1581,7,9,1,2,2,5,1,2,1,1,0,2,2,12.5
True,1999-12-16,19,-8,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,1785,7,11,1,4,4,4,1,3,0,1,0,1,3,14.5
True,1999-12-18,2,-13,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,555,1,5,0,1,0,0,2,0,1,0,0,0,2,0.2
True,1999-12-20,19,5,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1542,7,14,2,6,3,3,3,2,2,1,0,1,3,14.9
True,1999-12-21,19,6,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,WIN,1763,7,15,3,7,2,2,0,5,3,0,0,1,2,13.1
True,1999-12-23,2,-22,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,991,1,9,0,4,0,0,1,3,1,1,0,1,3,-2.8
True,1999-12-26,7,-2,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,WIN,1393,3,7,1,4,0,2,0,1,2,1,0,2,0,3.2
True,1999-12-28,19,1,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1552,7,11,2,3,3,3,0,4,1,2,1,0,1,18.3
True,1999-12-29,14,10,SACRAMENTO KINGS,AWAY,SEATTLE SUPERSONICS,WIN,1091,3,7,1,3,7,8,2,3,1,1,0,0,1,13.5
True,2000-01-04,3,-7,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,1187,1,8,1,3,0,0,1,3,1,0,0,1,1,-1.3
True,2000-01-06,0,-9,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,996,0,4,0,0,0,0,0,2,1,0,0,3,1,-4.9
True,2000-01-07,2,-26,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,763,1,5,0,2,0,0,0,1,0,1,0,3,1,-3.2
True,2000-01-09,6,-13,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,568,1,3,0,1,4,4,1,1,1,0,0,0,0,6.0
