active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,1999-11-02,15,-11,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2449,6,12,3,7,0,0,1,1,8,5,0,2,5,16.6
True,1999-11-03,13,12,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1813,2,7,1,1,8,8,1,3,7,3,1,2,3,15.9
True,1999-11-05,13,-9,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,1870,6,9,1,4,0,0,1,0,3,2,0,4,4,8.3
True,1999-11-06,7,-3,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1695,1,6,1,4,4,4,1,3,6,0,0,1,0,8.0
True,1999-11-11,15,-5,CLEVELAND CAVALIERS,HOME,SEATTLE SUPERSONICS,LOSS,1684,6,10,2,2,1,2,2,2,2,0,0,2,3,10.2
True,1999-11-13,23,-6,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1912,9,15,2,3,3,6,1,0,2,4,1,4,5,15.7
True,1999-11-17,14,-7,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1867,5,14,1,4,3,4,0,4,5,3,1,1,3,12.0
True,1999-11-19,18,-14,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1778,6,15,4,7,2,4,0,0,3,1,0,2,5,8.2
True,1999-11-20,21,3,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,LOSS,2246,8,16,1,4,4,4,2,1,6,1,0,2,2,17.1
True,1999-11-23,8,-6,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2060,3,9,2,4,0,0,0,4,7,2,1,2,4,8.1
True,1999-11-26,15,-17,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,1852,4,12,2,7,5,8,0,0,3,0,0,3,2,5.3
True,1999-11-27,15,8,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1727,6,12,0,2,3,4,0,4,3,1,0,3,1,9.5
True,1999-11-30,15,18,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2139,4,12,3,6,4,4,2,5,4,1,0,0,3,13.7
True,1999-12-01,18,3,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2145,6,10,2,4,4,9,0,5,2,1,0,2,3,12.1
True,1999-12-03,20,2,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,2757,6,10,4,7,4,8,0,5,4,1,2,6,3,13.3
True,1999-12-07,11,-8,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1685,5,13,1,3,0,0,1,4,1,0,1,1,3,5.0
True,1999-12-08,29,11,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2214,12,19,5,8,0,2,2,5,6,4,2,4,2,27.4
True,1999-12-10,8,-13,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,1425,3,12,2,4,0,0,3,2,1,0,0,1,3,2.0
