active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-11-02,0,2,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-11-04,0,0,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,20,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2000-11-09,0,0,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-11-11,3,7,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,WIN,869,1,4,0,1,1,2,0,0,2,1,0,2,0,0.6
True,2000-11-15,4,1,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,901,2,5,0,2,0,0,0,0,1,0,0,1,1,0.6
True,2000-11-17,0,-8,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,567,0,1,0,0,0,0,0,0,1,1,0,0,2,0.2
True,2000-11-18,8,7,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,WIN,1096,2,4,2,4,2,2,0,2,1,1,0,3,2,4.5
True,2000-11-22,2,3,MINNESOTA TIMBERWOLVES,HOME,VANCOUVER GRIZZLIES,WIN,594,1,1,0,0,0,0,1,0,2,0,0,0,0,3.8
True,2000-11-24,5,9,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,LOSS,205,2,5,1,1,0,0,0,0,0,0,0,0,0,2.3
True,2000-11-25,12,3,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,1140,4,8,2,5,2,3,0,0,3,1,0,2,4,7.1
True,2000-11-28,0,-1,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,WIN,142,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2000-12-07,3,-1,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,WIN,72,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2000-12-09,2,-1,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,360,0,0,0,0,2,2,0,1,3,0,0,1,2,2.6
True,2000-12-11,0,8,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,WIN,391,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2000-12-12,3,7,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,1120,1,7,0,3,1,2,1,1,5,1,0,3,0,0.6
True,2000-12-15,0,-3,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,WIN,116,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2000-12-19,16,-5,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,1166,6,11,2,4,2,2,1,1,6,1,0,4,4,11.3
True,2000-12-20,0,1,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,448,0,2,0,1,0,0,1,1,2,0,0,1,0,0.0
True,2000-12-22,0,-5,MINNESOTA TIMBERWOLVES,HOME,CHARLOTTE HORNETS,LOSS,220,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2000-12-23,5,2,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,671,2,3,1,1,0,0,0,3,0,0,0,2,1,2.2
True,2000-12-26,5,-9,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,WIN,623,2,4,0,0,1,1,0,0,1,0,0,1,1,2.3
