active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,9,11,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1329,4,5,0,0,1,2,2,1,0,0,1,0,4,7.5
True,2000-11-02,0,5,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,184,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2000-12-16,0,0,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,426,0,2,0,0,0,0,0,0,0,0,1,0,1,-1.1
True,2000-12-19,4,-4,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,501,2,3,0,0,0,1,1,2,0,0,0,0,2,2.8
True,2000-12-21,0,-4,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,630,0,0,0,0,0,2,2,2,0,2,0,1,2,1.4
True,2000-12-23,0,-1,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,485,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
True,2001-01-13,0,4,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,798,0,1,0,0,0,0,1,2,0,0,0,0,2,-0.2
True,2001-02-16,3,-2,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,LOSS,210,1,2,0,0,1,2,0,1,0,0,0,0,0,1.9
True,2001-02-17,2,9,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,WIN,906,1,2,0,0,0,0,2,4,2,0,1,0,2,4.9
True,2001-02-20,5,1,HOUSTON ROCKETS,HOME,BOSTON CELTICS,WIN,1089,2,5,0,0,1,2,1,2,0,0,2,1,2,2.8
True,2001-02-21,6,8,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,478,3,4,0,0,0,0,0,1,0,1,0,0,2,4.9
True,2001-02-23,4,1,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,583,1,3,0,0,2,2,0,3,0,0,0,0,4,1.6
True,2001-02-26,2,0,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,678,1,3,0,0,0,0,2,1,0,0,0,1,3,-0.2
True,2001-02-28,2,14,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,1209,1,3,0,0,0,0,0,2,1,0,5,0,1,4.7
True,2001-03-07,14,29,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,WIN,1731,5,6,0,0,4,5,5,4,0,0,2,2,4,13.9
True,2001-03-08,9,-6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,WIN,1626,4,6,0,0,1,2,2,3,0,0,1,0,2,8.2
True,2001-03-10,2,7,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,WIN,974,1,2,0,0,0,0,0,2,0,0,0,0,4,0.0
True,2001-03-11,4,10,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1079,1,1,0,0,2,2,0,0,0,3,0,0,2,5.9
True,2001-03-13,8,0,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,2252,2,3,0,0,4,4,4,7,0,0,2,1,6,9.6
True,2001-03-15,10,0,HOUSTON ROCKETS,HOME,NEW JERSEY NETS,WIN,1487,5,7,0,0,0,1,1,4,0,1,1,1,3,8.1
True,2001-03-17,5,20,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,1807,1,2,0,0,3,4,1,3,0,1,1,1,5,3.9
True,2001-03-20,4,-20,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1154,1,1,0,0,2,4,1,1,1,0,0,2,1,2.2
True,2001-03-22,11,-8,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1651,5,6,0,0,1,2,1,6,0,1,1,0,4,11.0
True,2001-03-24,4,-3,HOUSTON ROCKETS,AWAY,SEATTLE SUPERSONICS,LOSS,868,2,3,0,0,0,0,0,2,0,1,0,1,3,2.1
True,2001-03-27,10,0,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,1482,3,4,0,0,4,5,0,3,0,0,2,1,0,9.3
True,2001-03-31,2,14,HOUSTON ROCKETS,AWAY,WASHINGTON WIZARDS,WIN,1152,1,1,0,0,0,0,1,2,0,0,5,1,2,4.7
True,2001-04-01,4,5,HOUSTON ROCKETS,AWAY,NEW JERSEY NETS,LOSS,1158,1,6,0,0,2,2,3,3,1,1,3,1,5,4.0
True,2001-04-03,4,6,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,720,0,1,0,0,4,4,1,2,0,0,1,1,4,2.7
True,2001-04-05,4,-3,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,794,2,3,0,0,0,0,1,1,1,0,0,0,4,2.8
True,2001-04-07,4,6,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1032,2,4,0,0,0,0,3,5,0,0,0,0,2,4.8
True,2001-04-09,6,1,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1329,2,4,0,0,2,4,2,4,2,1,0,1,2,6.4
True,2001-04-10,0,-13,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,1306,0,2,0,0,0,0,4,2,0,0,0,0,3,0.8
