active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,20,14,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,2137,7,11,2,2,4,7,1,5,3,2,0,5,3,14.0
True,2000-11-01,6,-14,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,2331,2,10,0,1,2,2,3,1,6,4,1,2,5,7.1
True,2000-11-03,21,9,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,2523,7,14,1,2,6,7,1,2,5,2,1,3,4,16.5
True,2000-11-04,20,-3,CHARLOTTE HORNETS,AWAY,NEW JERSEY NETS,WIN,2203,7,13,1,1,5,5,2,3,6,1,1,2,3,18.7
True,2000-11-08,13,9,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,2369,3,9,3,4,4,8,0,0,6,4,1,4,4,9.6
True,2000-11-09,6,0,CHARLOTTE HORNETS,HOME,SEATTLE SUPERSONICS,LOSS,1135,1,3,0,1,4,4,1,0,4,0,1,2,1,6.1
True,2000-11-11,15,-19,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2471,7,16,1,5,0,2,2,7,3,0,0,3,3,7.2
True,2000-11-14,7,4,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,2453,3,8,0,2,1,2,1,4,3,0,0,3,5,1.2
True,2000-11-16,20,3,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,2563,9,17,2,2,0,0,5,3,4,3,0,4,2,17.1
True,2000-11-17,6,-4,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,1973,1,9,0,2,4,4,1,2,6,0,0,4,5,-0.4
True,2000-11-19,25,9,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,WIN,2583,7,18,2,7,9,12,0,10,8,7,1,7,4,21.7
True,2000-11-20,9,28,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,WIN,2085,4,10,0,3,1,2,1,6,9,2,0,5,2,8.2
True,2000-11-22,12,18,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,WIN,2455,5,12,1,2,1,1,4,6,11,0,1,3,5,13.6
True,2000-11-24,13,20,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,2347,5,10,3,6,0,1,1,7,11,0,1,6,2,12.0
True,2000-11-25,14,12,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,WIN,2481,4,7,1,2,5,6,2,8,11,4,0,0,3,24.6
True,2000-11-29,14,21,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,WIN,2403,6,10,0,3,2,2,1,6,11,0,0,0,0,19.6
True,2000-12-01,18,-19,CHARLOTTE HORNETS,AWAY,PHILADELPHIA 76ERS,LOSS,2559,6,13,1,4,5,5,3,5,7,2,0,5,4,15.2
True,2000-12-02,9,-2,CHARLOTTE HORNETS,HOME,UTAH JAZZ,WIN,1951,3,5,1,2,2,2,0,3,6,3,0,4,5,8.8
True,2000-12-05,9,5,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,LOSS,2559,4,14,1,8,0,0,1,8,1,5,0,4,4,4.0
True,2000-12-06,9,9,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,2383,3,12,1,5,2,8,0,1,6,1,1,1,3,3.4
True,2000-12-08,14,9,CHARLOTTE HORNETS,HOME,LOS ANGELES CLIPPERS,WIN,2502,6,9,0,1,2,3,2,4,9,4,0,3,4,18.0
True,2000-12-09,15,0,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,2877,5,15,1,4,4,4,1,4,9,2,1,3,6,12.0
True,2000-12-13,26,16,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,2369,9,14,3,5,5,6,1,6,8,2,1,2,2,27.4
True,2000-12-15,19,20,CHARLOTTE HORNETS,AWAY,WASHINGTON WIZARDS,WIN,2325,8,13,2,4,1,2,0,1,9,3,0,3,3,18.1
True,2000-12-16,18,11,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,2538,6,11,1,3,5,8,1,7,14,2,0,6,4,18.5
True,2000-12-20,4,5,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1726,1,7,0,2,2,6,1,2,5,1,0,3,5,-1.3
True,2000-12-22,4,0,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2345,2,8,0,2,0,0,0,4,10,0,1,2,1,5.7
True,2000-12-23,16,8,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,2627,6,11,2,3,2,4,0,2,9,3,0,1,2,18.0
True,2000-12-26,12,-8,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,WIN,2446,3,14,1,2,5,5,3,4,7,2,1,0,5,12.3
True,2000-12-28,21,1,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,2241,8,14,2,5,3,3,1,2,11,6,0,2,3,26.2
