active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,15,-6,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2468,4,15,0,1,7,8,4,1,8,3,0,6,3,10.2
True,2000-11-02,12,14,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,1776,5,10,2,3,0,0,3,1,7,0,1,0,5,13.0
True,2000-11-04,21,1,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2284,8,18,2,4,3,4,3,4,6,3,0,3,4,17.1
True,2000-11-05,24,-5,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,2483,7,14,1,1,9,10,3,3,5,0,1,4,3,18.6
True,2000-11-07,23,6,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,WIN,2701,6,16,2,5,9,9,1,5,7,2,0,7,2,15.5
True,2000-11-09,19,5,HOUSTON ROCKETS,HOME,VANCOUVER GRIZZLIES,WIN,2497,8,16,1,2,2,2,6,2,6,3,0,6,4,15.4
True,2000-11-11,9,-21,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1917,3,6,0,1,3,3,2,1,6,4,0,4,3,10.7
True,2000-11-12,10,0,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,LOSS,2383,3,11,0,4,4,5,0,2,2,3,1,3,4,4.2
True,2000-11-14,28,20,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,2158,10,15,1,3,7,8,3,1,8,2,1,2,4,28.2
True,2000-11-16,13,0,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2345,6,17,0,3,1,1,3,4,6,2,2,3,2,10.6
True,2000-11-18,25,4,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,2571,8,17,1,2,8,8,4,3,8,3,0,2,5,24.6
True,2000-11-21,20,15,HOUSTON ROCKETS,AWAY,INDIANA PACERS,WIN,2484,6,14,1,2,7,8,3,6,6,3,0,5,3,17.1
True,2000-11-22,6,-12,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,1638,2,7,1,1,1,1,3,3,4,1,0,2,4,5.1
True,2000-11-25,15,14,HOUSTON ROCKETS,AWAY,MIAMI HEAT,WIN,2263,5,10,0,1,5,5,2,5,5,0,0,3,3,12.2
True,2000-11-28,13,-21,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,1650,5,7,1,2,2,2,2,3,2,0,0,3,4,9.2
True,2000-11-30,22,4,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,WIN,2732,7,15,2,4,6,8,2,5,6,0,0,3,5,15.6
True,2000-12-02,24,-9,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2350,11,15,2,2,0,0,0,4,6,2,1,4,6,19.6
True,2000-12-05,36,7,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,WIN,2880,11,16,3,5,11,14,5,5,4,1,1,3,2,33.7
True,2000-12-08,20,-11,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,2807,6,15,0,4,8,9,3,3,10,3,1,3,1,21.8
True,2000-12-09,21,1,HOUSTON ROCKETS,AWAY,SEATTLE SUPERSONICS,WIN,2553,6,15,2,4,7,8,3,3,10,3,0,2,5,21.5
True,2000-12-11,15,1,HOUSTON ROCKETS,AWAY,VANCOUVER GRIZZLIES,WIN,2384,7,17,1,2,0,0,1,2,6,1,0,0,1,12.0
True,2000-12-14,16,7,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,WIN,2716,5,14,0,3,6,6,3,3,12,3,2,6,3,16.8
True,2000-12-16,26,-1,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,2314,11,19,2,3,2,2,6,3,4,3,1,5,3,22.5
True,2000-12-21,14,6,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,2188,4,12,1,2,5,5,3,5,5,5,0,4,4,13.7
True,2000-12-26,21,-20,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,1995,8,18,1,2,4,5,4,4,5,3,0,1,1,20.3
True,2000-12-27,8,-20,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,LOSS,2298,3,13,0,2,2,2,3,3,4,3,0,4,3,3.7
