active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,24,1,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,2686,8,17,1,5,7,8,1,9,11,5,0,5,4,24.4
True,2000-11-02,16,27,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,2395,4,10,2,2,6,9,1,6,12,2,0,2,1,19.9
True,2000-11-04,22,1,PHOENIX SUNS,AWAY,DENVER NUGGETS,WIN,2439,7,13,2,3,6,7,0,7,10,4,0,8,4,18.8
True,2000-11-05,18,1,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,2641,5,15,3,5,5,5,1,3,9,3,0,3,4,15.8
True,2000-11-07,10,16,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2388,4,9,0,2,2,2,1,8,11,2,1,6,3,11.6
True,2000-11-09,19,19,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,2598,6,16,0,1,7,10,2,11,12,4,1,4,0,22.8
True,2000-11-11,15,8,PHOENIX SUNS,HOME,MIAMI HEAT,WIN,2425,5,13,0,3,5,5,1,3,13,3,1,3,0,19.3
True,2000-11-15,15,5,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2198,5,10,0,1,5,6,0,3,9,1,1,4,4,12.9
True,2000-11-17,18,-3,PHOENIX SUNS,HOME,NEW YORK KNICKS,LOSS,2719,6,12,1,3,5,7,5,7,10,0,0,14,4,8.2
True,2000-11-18,15,-1,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,2684,5,15,0,3,5,8,0,3,9,2,0,4,2,9.7
True,2000-11-22,8,4,PHOENIX SUNS,HOME,NEW JERSEY NETS,WIN,2469,3,10,1,3,1,2,2,4,16,2,0,2,3,14.4
True,2000-11-24,18,5,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2523,4,14,1,4,9,10,0,7,13,1,0,4,0,17.6
True,2000-11-25,10,15,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2460,3,13,0,2,4,6,0,4,9,4,0,1,3,10.6
True,2000-11-29,34,-12,PHOENIX SUNS,AWAY,VANCOUVER GRIZZLIES,LOSS,3051,13,20,2,3,6,9,0,5,8,2,0,5,2,27.3
True,2000-12-01,16,-12,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,2750,6,17,0,2,4,7,0,5,10,2,0,2,0,13.8
True,2000-12-03,29,5,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,2529,10,17,4,5,5,6,1,5,7,6,0,3,5,28.8
True,2000-12-07,16,14,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,WIN,2167,6,12,3,5,1,1,0,5,9,0,0,2,1,15.4
True,2000-12-08,17,2,PHOENIX SUNS,AWAY,NEW JERSEY NETS,LOSS,2238,5,16,1,5,6,6,1,4,7,2,0,3,3,12.4
True,2000-12-10,24,3,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2525,6,17,4,8,8,10,0,9,6,3,1,3,1,20.9
True,2000-12-11,12,9,PHOENIX SUNS,AWAY,CHICAGO BULLS,WIN,2400,4,6,0,0,4,6,1,5,13,0,0,2,1,17.5
True,2000-12-13,17,9,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2252,7,18,0,3,3,3,1,5,9,4,0,2,3,16.5
True,2000-12-15,13,-9,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,2299,5,16,0,5,3,4,6,3,8,1,0,3,1,11.7
True,2000-12-16,12,-18,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,2322,4,20,0,4,4,4,1,5,4,1,1,4,3,1.1
True,2000-12-23,14,15,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1996,6,11,0,2,2,2,1,9,13,1,1,3,2,19.1
True,2000-12-26,28,-2,PHOENIX SUNS,AWAY,VANCOUVER GRIZZLIES,WIN,2496,10,14,2,2,6,6,2,4,10,2,0,3,3,29.6
