active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,5,14,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1339,2,4,1,2,0,1,1,1,0,3,0,1,3,4.4
True,2000-11-01,5,-22,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1962,1,8,0,2,3,5,2,2,1,1,0,3,4,-1.9
True,2000-11-03,2,6,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,895,1,2,0,1,0,0,1,3,0,0,0,1,1,1.2
True,2000-11-04,19,2,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,2211,6,12,1,5,6,7,3,5,1,0,1,3,4,13.0
True,2000-11-06,10,13,ORLANDO MAGIC,HOME,SEATTLE SUPERSONICS,WIN,1918,3,9,2,6,2,2,1,5,2,1,0,2,4,5.9
True,2000-11-08,11,-10,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,1617,4,11,3,5,0,1,1,4,0,1,0,1,6,4.0
True,2000-11-09,4,-8,ORLANDO MAGIC,AWAY,CHICAGO BULLS,LOSS,556,2,5,0,1,0,0,0,1,1,0,0,0,4,0.7
True,2000-11-12,11,4,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,982,2,5,1,2,6,6,0,2,2,2,0,0,0,12.3
True,2000-11-14,1,-13,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,1234,0,3,0,1,1,2,1,2,2,1,0,0,2,1.4
True,2000-11-16,11,-8,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,1072,4,8,1,3,2,2,1,1,0,1,0,2,4,5.4
True,2000-11-19,1,-5,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,645,0,1,0,1,1,2,0,1,1,0,0,1,2,-0.9
True,2000-11-21,0,-1,ORLANDO MAGIC,HOME,NEW YORK KNICKS,LOSS,261,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2000-11-24,9,10,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,732,4,8,1,3,0,1,0,1,0,0,0,0,3,3.7
True,2000-11-25,23,18,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1766,9,19,3,5,2,3,1,4,3,1,0,3,3,13.7
True,2000-11-27,20,-12,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,2327,6,17,2,8,6,6,1,8,2,3,0,3,3,13.8
True,2000-11-29,5,-14,ORLANDO MAGIC,HOME,UTAH JAZZ,LOSS,1255,2,6,1,2,0,1,0,0,2,0,0,0,1,2.2
True,2000-12-01,0,-13,ORLANDO MAGIC,HOME,NEW JERSEY NETS,WIN,800,0,1,0,1,0,2,0,3,1,0,0,1,2,-1.7
True,2000-12-02,4,5,ORLANDO MAGIC,AWAY,NEW JERSEY NETS,WIN,869,2,3,0,1,0,0,0,1,2,1,0,1,2,3.6
True,2000-12-05,0,-1,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,67,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2
True,2000-12-07,19,4,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,1599,6,14,4,7,3,4,1,4,1,1,0,1,6,11.4
True,2000-12-11,10,-1,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1190,4,8,1,3,1,1,0,3,0,0,1,0,2,6.8
True,2000-12-12,3,8,ORLANDO MAGIC,AWAY,SEATTLE SUPERSONICS,LOSS,844,1,4,1,2,0,0,0,1,0,0,0,1,2,-0.9
True,2000-12-15,3,1,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,LOSS,690,1,2,1,2,0,0,0,0,2,1,0,1,1,3.0
True,2000-12-17,0,-2,ORLANDO MAGIC,AWAY,VANCOUVER GRIZZLIES,WIN,519,0,2,0,0,0,0,1,1,0,0,0,0,3,-1.6
True,2000-12-21,6,17,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1550,2,5,1,3,1,2,1,10,3,0,0,1,3,6.5
True,2000-12-23,6,-2,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1261,2,5,2,4,0,0,0,5,3,0,1,1,4,5.0
True,2000-12-25,11,8,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1444,4,7,3,4,0,0,1,5,1,0,0,3,2,6.8
True,2000-12-26,10,-14,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,2249,4,13,2,6,0,0,3,6,1,0,0,1,3,4.9
True,2000-12-28,5,-1,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,1645,2,10,1,4,0,2,1,4,3,1,0,2,5,-1.0
True,2000-12-30,7,9,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1368,3,8,1,4,0,0,1,5,1,0,0,0,2,4.7
True,2001-01-02,10,-22,ORLANDO MAGIC,HOME,NEW JERSEY NETS,LOSS,1684,3,7,2,4,2,2,2,1,2,0,0,0,2,8.6
