active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,0,3,DETROIT PISTONS,AWAY,TORONTO RAPTORS,WIN,617,0,1,0,0,0,0,0,1,0,0,2,2,5,-3.0
True,2000-11-01,2,-10,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,593,1,3,0,0,0,0,1,1,0,0,0,0,0,1.3
True,2000-11-03,0,-1,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,150,0,0,0,0,0,0,0,1,0,0,0,1,3,-1.9
True,2000-11-04,8,6,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1183,3,5,0,0,2,2,1,1,1,1,1,1,3,6.9
True,2000-11-08,0,1,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,669,0,2,0,0,0,0,2,0,1,2,1,1,4,0.8
True,2000-11-09,2,10,DETROIT PISTONS,AWAY,NEW JERSEY NETS,WIN,401,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2000-11-11,5,2,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,343,1,2,0,0,3,3,1,1,1,0,0,1,2,3.9
True,2000-11-12,8,2,DETROIT PISTONS,HOME,SEATTLE SUPERSONICS,WIN,897,4,8,0,0,0,1,2,2,0,0,3,0,4,6.1
True,2000-11-15,6,9,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,785,1,2,0,0,4,4,1,1,1,1,0,2,2,4.9
True,2000-11-17,10,11,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,732,4,4,0,0,2,4,2,1,1,0,1,1,2,9.3
True,2000-11-19,7,1,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,820,3,4,0,0,1,2,1,2,1,0,0,2,4,3.4
True,2000-11-21,0,2,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,746,0,1,0,0,0,0,0,1,0,0,1,2,2,-2.5
True,2000-11-24,8,4,DETROIT PISTONS,HOME,VANCOUVER GRIZZLIES,WIN,617,2,2,0,0,4,4,0,2,1,0,2,1,3,7.9
