active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-11-06,0,-1,ORLANDO MAGIC,HOME,SEATTLE SUPERSONICS,WIN,285,0,0,0,0,0,0,0,0,1,1,0,1,1,0.3
True,2000-11-08,0,5,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,918,0,3,0,1,0,0,1,2,2,0,0,1,0,-0.4
True,2000-11-09,2,2,ORLANDO MAGIC,AWAY,CHICAGO BULLS,LOSS,327,1,2,0,0,0,0,0,0,2,1,0,0,0,3.4
True,2000-11-21,4,-4,ORLANDO MAGIC,HOME,NEW YORK KNICKS,LOSS,632,2,4,0,0,0,0,0,0,0,1,0,3,0,0.0
True,2000-11-25,4,5,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,103,2,2,0,0,0,0,0,1,0,0,0,0,0,3.7
True,2000-11-27,0,4,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,80,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2000-12-08,2,3,PHOENIX SUNS,AWAY,NEW JERSEY NETS,LOSS,545,1,3,0,0,0,0,0,1,4,0,0,0,1,3.0
True,2000-12-10,0,5,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,355,0,2,0,0,0,0,1,0,3,0,0,0,0,1.4
True,2000-12-11,4,1,PHOENIX SUNS,AWAY,CHICAGO BULLS,WIN,434,2,3,0,0,0,0,0,0,0,0,0,1,0,1.7
True,2000-12-13,7,3,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,744,3,3,1,1,0,0,0,1,0,2,0,1,0,7.4
True,2000-12-15,4,0,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1414,1,6,0,0,2,2,1,1,3,3,0,2,2,3.5
True,2000-12-16,6,8,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,789,3,3,0,0,0,0,0,1,1,1,0,0,1,6.7
True,2000-12-19,18,-6,PHOENIX SUNS,HOME,DETROIT PISTONS,LOSS,2548,8,15,0,0,2,4,1,3,5,2,0,3,2,13.2
True,2000-12-23,4,-6,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,884,2,6,0,0,0,0,0,0,2,0,0,2,1,-0.4
True,2000-12-26,2,4,PHOENIX SUNS,AWAY,VANCOUVER GRIZZLIES,WIN,384,1,2,0,0,0,0,0,0,1,0,0,0,0,1.7
True,2000-12-28,1,-18,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,LOSS,1231,0,3,0,0,1,2,0,1,1,0,0,2,0,-2.5
True,2000-12-30,2,15,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,456,1,1,0,0,0,0,0,1,4,0,0,0,0,4.8
True,2001-01-02,2,-9,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,125,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2001-01-03,0,3,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,422,0,1,0,0,0,0,0,0,2,0,0,1,0,-0.3
True,2001-01-19,0,-2,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,1105,0,4,0,0,0,0,1,2,4,2,0,1,1,1.9
True,2001-01-21,5,-3,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1628,2,5,0,1,1,2,0,3,3,2,0,2,5,2.9
True,2001-01-23,10,-10,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1723,5,10,0,0,0,0,2,0,5,1,0,1,2,9.1
True,2001-01-24,6,29,PHOENIX SUNS,AWAY,DETROIT PISTONS,WIN,2133,3,4,0,0,0,0,0,5,5,1,0,4,2,5.6
True,2001-01-26,4,-4,PHOENIX SUNS,AWAY,BOSTON CELTICS,LOSS,1057,2,4,0,0,0,0,0,3,3,0,0,2,1,2.6
True,2001-01-27,3,1,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,LOSS,460,1,2,0,0,1,2,0,1,1,1,0,0,1,3.2
True,2001-01-29,6,5,PHOENIX SUNS,AWAY,ATLANTA HAWKS,WIN,539,3,4,0,0,0,0,0,1,0,0,0,0,0,4.7
True,2001-01-31,0,1,PHOENIX SUNS,HOME,VANCOUVER GRIZZLIES,WIN,524,0,2,0,0,0,0,0,0,4,0,1,0,0,2.1
True,2001-02-06,4,-2,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,1026,2,4,0,0,0,0,0,1,4,0,0,1,0,4.1
True,2001-02-07,2,3,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,195,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2001-02-13,0,-10,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,193,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2001-02-14,0,0,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-02-21,0,-1,PHOENIX SUNS,AWAY,MIAMI HEAT,WIN,144,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2001-03-01,4,0,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,198,2,3,0,0,0,0,1,0,0,0,0,0,0,3.4
True,2001-03-03,0,-3,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,109,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2001-03-06,2,-3,PHOENIX SUNS,AWAY,DENVER NUGGETS,WIN,241,0,1,0,0,2,2,0,1,0,0,0,0,1,1.2
True,2001-03-07,2,4,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,131,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2001-03-09,6,10,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,720,3,5,0,0,0,0,0,0,2,0,0,0,4,3.5
True,2001-03-11,5,2,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,296,2,4,0,0,1,1,0,0,0,1,0,1,1,2.6
True,2001-03-17,2,1,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,230,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3
True,2001-03-20,2,-4,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,WIN,472,1,3,0,0,0,0,0,0,1,0,0,0,0,1.0
True,2001-03-23,0,-5,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-03-26,0,4,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-03-28,0,-7,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,497,0,3,0,1,0,0,0,0,3,1,0,0,1,0.6
True,2001-04-01,2,-1,PHOENIX SUNS,HOME,MILWAUKEE BUCKS,WIN,21,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
True,2001-04-03,4,12,PHOENIX SUNS,AWAY,INDIANA PACERS,LOSS,529,1,2,0,0,2,2,0,2,1,1,0,0,0,5.3
True,2001-04-06,0,-2,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,120,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0
True,2001-04-10,4,-1,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1174,2,6,0,1,0,0,1,3,3,1,0,2,1,2.9
