active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-12-07,2,-1,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,150,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2000-12-09,0,-2,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2000-12-13,0,-5,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,361,0,2,0,0,0,0,0,1,0,0,0,1,1,-2.5
True,2000-12-15,0,9,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,LOSS,472,0,5,0,1,0,0,0,0,2,1,0,0,0,-1.1
True,2000-12-19,4,-4,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,LOSS,425,2,2,0,0,0,0,0,1,1,0,0,2,1,2.0
True,2000-12-22,0,2,WASHINGTON WIZARDS,AWAY,SEATTLE SUPERSONICS,LOSS,426,0,2,0,0,0,0,0,1,0,3,0,1,0,0.9
True,2000-12-23,0,-1,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,114,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2001-01-17,0,-7,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,266,0,2,0,0,0,0,0,0,0,0,1,0,0,-0.7
True,2001-01-19,2,4,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,346,1,1,0,0,0,0,0,0,0,1,0,1,0,1.7
True,2001-01-23,0,0,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,428,0,0,0,0,0,0,1,1,1,1,1,2,1,1.0
True,2001-02-22,2,-1,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,LOSS,217,1,1,0,0,0,0,0,0,0,0,0,0,3,0.5
True,2001-02-24,0,5,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,410,0,1,0,0,0,0,1,1,0,0,0,1,1,-1.1
True,2001-02-25,2,7,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,429,0,1,0,1,2,2,0,2,0,0,0,0,0,1.9
True,2001-03-02,0,-6,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-03-04,0,3,WASHINGTON WIZARDS,HOME,UTAH JAZZ,LOSS,720,0,3,0,1,0,0,0,0,5,1,0,0,0,2.4
True,2001-03-09,0,-15,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,526,0,3,0,0,0,0,0,0,1,1,0,0,2,-1.2
True,2001-03-14,7,3,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,324,2,2,1,1,2,2,0,1,1,0,0,0,2,6.6
True,2001-03-16,3,6,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,793,1,1,1,1,0,0,0,1,2,1,2,0,2,6.0
True,2001-03-17,2,9,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,711,1,2,0,1,0,0,1,0,0,0,0,0,1,1.3
True,2001-03-20,4,1,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,LOSS,556,1,4,0,0,2,4,1,2,1,0,0,1,0,1.8
True,2001-03-21,0,1,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,WIN,86,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2001-03-23,6,0,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,824,3,4,0,1,0,1,0,0,0,1,0,0,1,4.6
True,2001-03-24,2,-3,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1309,1,2,0,0,0,0,0,2,5,2,1,2,1,5.4
True,2001-03-27,7,-19,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1932,3,8,1,2,0,0,0,1,4,3,0,1,1,7.3
True,2001-03-29,0,6,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,1979,0,3,0,1,0,0,0,0,5,2,1,2,3,0.9
True,2001-03-31,18,-6,WASHINGTON WIZARDS,HOME,HOUSTON ROCKETS,LOSS,2680,8,17,2,5,0,0,4,4,4,7,0,2,4,19.5
True,2001-04-04,10,1,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2220,5,12,0,2,0,2,1,5,4,2,0,1,1,8.4
True,2001-04-05,4,-13,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,2117,2,5,0,1,0,0,2,2,4,0,0,3,4,1.5
True,2001-04-07,8,-2,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,LOSS,2784,2,6,0,0,4,4,2,4,8,3,0,2,2,13.0
True,2001-04-09,7,-8,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1772,3,9,1,1,0,0,1,2,3,2,1,3,3,3.8
True,2001-04-11,12,-2,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,LOSS,2736,4,8,1,3,3,4,0,5,14,4,0,4,1,18.5
True,2001-04-13,4,-9,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,WIN,1681,1,3,0,0,2,4,0,3,7,0,1,4,4,2.4
True,2001-04-15,14,-12,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1869,1,5,0,2,12,12,0,2,6,0,0,6,2,8.9
True,2001-04-17,18,-7,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,2240,7,13,0,2,4,6,3,2,4,0,1,3,1,13.7
True,2001-04-18,14,4,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,2188,6,12,0,0,2,4,1,3,7,1,2,3,1,12.7
