active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,10,12,CHARLOTTE HORNETS,AWAY,ATLANTA HAWKS,WIN,1218,3,5,0,0,4,4,1,2,1,1,0,2,1,8.3
True,2000-11-01,2,-12,CHARLOTTE HORNETS,HOME,WASHINGTON WIZARDS,LOSS,1128,1,5,0,1,0,0,0,2,1,0,0,0,1,-0.2
True,2000-11-03,6,-6,CHARLOTTE HORNETS,HOME,MIAMI HEAT,WIN,1322,1,2,0,0,4,4,2,2,0,0,0,5,2,1.2
True,2000-11-04,0,6,CHARLOTTE HORNETS,AWAY,NEW JERSEY NETS,WIN,766,0,3,0,0,0,2,1,1,1,0,0,0,0,-1.2
True,2000-11-08,2,-3,CHARLOTTE HORNETS,AWAY,ORLANDO MAGIC,WIN,723,1,3,0,0,0,0,1,1,1,1,0,1,0,2.0
True,2000-11-09,0,3,CHARLOTTE HORNETS,HOME,SEATTLE SUPERSONICS,LOSS,336,0,2,0,0,0,0,1,0,0,0,0,1,2,-2.5
True,2000-11-11,7,8,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1243,3,6,0,0,1,1,2,1,0,0,1,0,2,5.6
True,2000-11-14,0,-10,CHARLOTTE HORNETS,AWAY,MIAMI HEAT,LOSS,314,0,4,0,0,0,0,2,0,0,0,0,0,1,-1.8
True,2000-11-16,2,-12,CHARLOTTE HORNETS,AWAY,HOUSTON ROCKETS,LOSS,617,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2000-11-17,4,-8,CHARLOTTE HORNETS,HOME,DETROIT PISTONS,LOSS,478,2,4,0,0,0,0,1,0,1,1,0,1,1,3.0
True,2000-11-19,6,1,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,WIN,863,2,3,0,0,2,2,2,1,1,1,2,0,0,9.5
True,2000-11-20,2,0,CHARLOTTE HORNETS,AWAY,TORONTO RAPTORS,WIN,658,1,2,0,0,0,0,0,0,1,0,1,2,1,0.0
