active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-12-16,3,3,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,773,1,4,0,1,1,2,0,2,0,0,0,1,2,-1.0
True,2000-12-17,4,-8,NEW JERSEY NETS,HOME,SACRAMENTO KINGS,LOSS,911,1,7,0,0,2,4,1,4,0,0,0,2,3,-2.6
True,2000-12-20,0,1,NEW JERSEY NETS,AWAY,BOSTON CELTICS,LOSS,413,0,2,0,1,0,0,0,6,1,0,0,0,3,-0.1
True,2000-12-21,7,20,NEW JERSEY NETS,AWAY,MILWAUKEE BUCKS,LOSS,704,3,3,0,0,1,2,3,2,1,0,0,0,3,7.9
True,2000-12-23,6,-5,NEW JERSEY NETS,HOME,MIAMI HEAT,LOSS,1503,2,12,0,0,2,2,3,5,1,3,1,1,5,3.4
True,2000-12-26,0,-3,NEW JERSEY NETS,HOME,ATLANTA HAWKS,LOSS,534,0,2,0,0,0,0,1,2,0,0,1,0,2,-0.2
True,2000-12-28,7,-5,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,1134,3,7,1,1,0,0,3,4,2,0,2,0,1,9.0
True,2000-12-31,1,-1,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,759,0,5,0,0,1,2,0,2,0,0,0,1,2,-4.1
True,2001-01-04,0,-12,NEW JERSEY NETS,AWAY,MIAMI HEAT,LOSS,237,0,0,0,0,0,0,0,2,0,0,0,0,2,-0.2
True,2001-01-06,2,3,NEW JERSEY NETS,HOME,GOLDEN STATE WARRIORS,WIN,811,0,0,0,0,2,2,0,7,3,2,1,1,2,7.1
True,2001-01-08,2,3,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,424,1,1,0,0,0,0,0,2,0,0,0,0,1,1.9
True,2001-01-09,0,-8,NEW JERSEY NETS,HOME,PHILADELPHIA 76ERS,LOSS,328,0,3,0,0,0,0,0,1,0,0,0,0,3,-3.0
True,2001-01-13,7,-14,NEW JERSEY NETS,AWAY,MILWAUKEE BUCKS,LOSS,1055,3,6,0,0,1,2,3,5,1,1,2,0,2,9.5
True,2001-01-17,5,14,NEW JERSEY NETS,HOME,WASHINGTON WIZARDS,WIN,759,1,3,0,0,3,4,4,1,0,0,0,1,3,3.8
True,2001-01-19,2,-1,NEW JERSEY NETS,AWAY,PHILADELPHIA 76ERS,LOSS,218,1,2,0,0,0,0,0,1,0,0,0,0,1,0.9
True,2001-01-20,6,-8,NEW JERSEY NETS,HOME,CHICAGO BULLS,WIN,871,3,4,0,0,0,0,1,4,0,1,0,3,1,3.9
True,2001-01-23,2,4,NEW JERSEY NETS,AWAY,SACRAMENTO KINGS,LOSS,459,1,1,0,0,0,0,0,3,3,1,0,0,1,5.3
True,2001-01-24,2,-5,NEW JERSEY NETS,AWAY,GOLDEN STATE WARRIORS,LOSS,321,1,4,0,0,0,0,3,1,0,0,0,0,2,1.2
True,2001-02-14,2,-1,NEW JERSEY NETS,AWAY,DETROIT PISTONS,LOSS,476,0,0,0,0,2,2,1,1,0,2,0,2,2,2.2
True,2001-03-04,3,4,NEW JERSEY NETS,AWAY,INDIANA PACERS,WIN,173,1,2,0,0,1,1,1,2,1,0,0,0,0,4.0
True,2001-03-13,1,-3,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,221,0,2,0,0,1,2,1,2,0,0,1,0,0,1.2
True,2001-03-18,3,6,NEW JERSEY NETS,AWAY,DENVER NUGGETS,LOSS,179,1,1,0,0,1,1,0,2,0,0,1,2,0,2.0
True,2001-03-22,8,11,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,720,3,5,0,1,2,2,2,2,0,0,0,1,0,6.7
True,2001-03-23,2,15,NEW JERSEY NETS,AWAY,NEW YORK KNICKS,WIN,588,0,0,0,0,2,2,1,2,2,0,1,1,3,3.2
True,2001-03-25,3,-5,NEW JERSEY NETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,832,1,4,0,0,1,2,2,2,0,0,1,0,2,2.1
True,2001-04-03,0,0,NEW JERSEY NETS,HOME,CHARLOTTE HORNETS,LOSS,179,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2001-04-08,2,5,NEW JERSEY NETS,HOME,INDIANA PACERS,LOSS,388,0,1,0,0,2,2,0,2,0,0,0,0,0,1.9
True,2001-04-12,2,3,NEW JERSEY NETS,AWAY,CHARLOTTE HORNETS,LOSS,366,1,3,0,0,0,0,2,1,1,0,0,1,0,1.7
True,2001-04-15,0,-8,NEW JERSEY NETS,AWAY,BOSTON CELTICS,LOSS,413,0,3,0,0,0,0,3,3,0,0,0,2,1,-1.5
