active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,11,8,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1910,5,8,0,1,1,1,1,1,14,2,0,2,3,17.0
True,2000-11-01,21,-1,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,2147,9,15,2,4,1,1,1,1,14,3,2,1,2,27.5
True,2000-11-04,14,14,UTAH JAZZ,AWAY,DALLAS MAVERICKS,WIN,1980,5,6,1,1,3,5,0,1,9,4,0,1,4,19.0
True,2000-11-06,13,14,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1768,5,10,1,1,2,2,1,3,8,0,0,3,1,11.8
True,2000-11-08,11,14,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1989,2,5,2,2,5,6,1,2,9,0,0,2,3,12.3
True,2000-11-10,14,-5,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,1863,4,8,2,5,4,6,0,5,5,2,1,2,2,14.1
True,2000-11-14,14,-12,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1858,4,9,2,2,4,5,2,2,4,1,1,3,1,12.0
True,2000-11-16,13,15,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1952,3,6,1,2,6,8,1,1,11,1,0,7,3,10.7
True,2000-11-18,4,16,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,1325,1,3,0,0,2,2,0,4,5,1,0,3,2,4.2
True,2000-11-20,14,-11,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,1834,5,13,0,1,4,4,1,4,8,1,1,4,2,11.3
True,2000-11-22,13,31,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1619,6,8,0,0,1,2,0,3,5,1,0,2,1,12.4
True,2000-11-24,10,19,UTAH JAZZ,HOME,NEW JERSEY NETS,WIN,1642,4,6,1,1,1,1,1,2,12,1,0,3,2,14.3
True,2000-11-26,1,12,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,1845,0,4,0,1,1,2,1,3,15,2,0,4,2,7.1
