active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2000-10-31,10,-6,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,928,4,6,2,2,0,0,2,5,0,0,0,1,1,8.9
True,2000-11-02,0,0,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,200,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5
True,2000-11-08,3,-13,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,988,1,2,1,1,0,0,1,0,1,1,0,1,2,2.6
True,2000-11-10,10,-1,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,969,3,6,2,3,2,2,0,0,3,0,0,1,2,7.3
True,2000-11-11,4,-7,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1462,2,9,0,3,0,0,0,2,0,0,0,0,1,-1.3
True,2000-11-14,3,-7,NEW YORK KNICKS,AWAY,SEATTLE SUPERSONICS,LOSS,416,1,4,1,4,0,0,0,1,0,0,0,1,1,-0.5
True,2000-11-21,7,3,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,987,2,4,1,2,2,2,0,5,1,3,0,0,1,9.8
True,2000-11-22,6,7,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,1278,2,7,2,4,0,0,0,3,2,1,0,0,1,4.8
True,2000-11-25,6,9,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,928,2,6,0,1,2,2,0,2,2,0,0,2,1,2.2
True,2000-11-29,5,-12,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,787,1,2,0,0,3,4,0,2,1,1,1,1,2,4.8
True,2000-12-01,0,6,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,517,0,2,0,0,0,0,0,1,0,0,0,1,1,-2.5
True,2000-12-02,4,6,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,616,1,2,0,0,2,2,1,3,0,0,0,0,3,3.4
True,2000-12-06,6,5,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,1528,2,8,0,4,2,2,0,1,2,2,0,0,2,4.1
True,2000-12-15,0,-13,NEW YORK KNICKS,HOME,UTAH JAZZ,LOSS,361,0,1,0,0,0,0,0,0,0,0,0,2,1,-3.1
