active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-31,7,-10,CHICAGO BULLS,HOME,INDIANA PACERS,LOSS,1764,3,12,0,3,1,2,0,1,5,0,0,2,3,0.0
True,2001-11-02,6,-7,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1687,3,7,0,2,0,0,0,2,3,4,0,3,3,4.8
True,2001-11-03,17,1,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,1692,6,10,2,4,3,3,0,4,6,1,0,1,3,16.6
True,2001-11-07,9,-7,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1627,3,6,1,2,2,2,1,0,9,3,0,1,1,14.6
True,2001-11-08,2,-43,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1294,1,7,0,2,0,0,0,1,3,0,0,1,2,-1.9
True,2001-11-10,5,-3,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,LOSS,1692,1,6,0,1,3,6,0,6,6,1,1,2,2,4.9
True,2001-11-13,15,-2,CHICAGO BULLS,AWAY,DENVER NUGGETS,LOSS,2013,5,10,1,2,4,5,0,0,7,1,0,0,4,13.9
True,2001-11-14,9,-7,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,LOSS,1734,3,6,1,2,2,2,0,2,8,0,0,1,1,10.8
True,2001-11-16,9,-18,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,1557,4,8,0,2,1,2,0,2,4,1,0,4,2,4.2
True,2001-11-17,9,-4,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,2333,4,12,0,2,1,1,0,1,5,0,0,1,1,4.6
True,2001-11-21,4,8,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,1392,2,7,0,1,0,0,0,2,6,1,0,1,6,2.3
True,2001-11-24,4,-11,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,1440,1,5,0,1,2,3,1,3,3,0,0,1,0,3.2
True,2001-11-27,8,-28,CHICAGO BULLS,AWAY,NEW JERSEY NETS,LOSS,1701,4,9,0,1,0,0,2,1,5,1,0,1,1,8.1
True,2001-11-29,11,7,CHICAGO BULLS,HOME,MIAMI HEAT,WIN,1778,5,10,0,2,1,5,0,4,5,6,0,0,4,13.5
True,2001-12-01,6,-11,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,1361,3,6,0,2,0,0,0,4,6,0,0,2,3,5.2
True,2001-12-04,10,6,CHICAGO BULLS,HOME,HOUSTON ROCKETS,WIN,1440,4,6,2,4,0,0,0,1,4,2,0,2,1,10.1
True,2001-12-05,10,-25,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,1564,4,8,0,1,2,2,2,0,2,0,0,2,0,6.8
