active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,16,2,SEATTLE SUPERSONICS,AWAY,SACRAMENTO KINGS,LOSS,2377,6,10,2,2,2,2,2,7,6,1,0,1,4,17.5
True,2001-11-01,24,3,SEATTLE SUPERSONICS,HOME,SAN ANTONIO SPURS,WIN,2387,6,7,3,3,9,12,3,4,6,3,1,2,3,28.3
True,2001-11-03,13,-15,SEATTLE SUPERSONICS,HOME,UTAH JAZZ,LOSS,2482,3,7,1,3,6,7,0,4,6,2,0,3,2,12.5
True,2001-11-05,9,-2,SEATTLE SUPERSONICS,AWAY,ORLANDO MAGIC,WIN,3173,2,11,1,7,4,4,1,4,11,2,1,3,3,10.2
True,2001-11-06,7,-7,SEATTLE SUPERSONICS,AWAY,MIAMI HEAT,LOSS,2684,2,10,1,5,2,2,0,9,4,2,0,2,3,5.1
True,2001-11-08,9,-17,SEATTLE SUPERSONICS,AWAY,NEW JERSEY NETS,LOSS,2389,3,11,2,6,1,1,0,7,2,0,0,2,3,2.8
True,2001-11-09,10,-10,SEATTLE SUPERSONICS,AWAY,BOSTON CELTICS,LOSS,1949,3,5,3,5,1,1,0,7,4,2,0,2,2,11.8
True,2001-11-11,20,11,SEATTLE SUPERSONICS,AWAY,WASHINGTON WIZARDS,WIN,2701,7,10,3,4,3,4,1,5,6,2,0,2,3,20.6
True,2001-11-13,11,-2,SEATTLE SUPERSONICS,HOME,PHOENIX SUNS,LOSS,2422,4,8,3,6,0,0,0,5,2,2,0,1,0,10.9
True,2001-11-16,11,1,SEATTLE SUPERSONICS,HOME,GOLDEN STATE WARRIORS,WIN,2315,4,7,0,3,3,6,0,3,6,2,0,2,2,10.8
True,2001-11-17,22,-18,SEATTLE SUPERSONICS,HOME,DENVER NUGGETS,LOSS,2415,8,12,3,6,3,3,1,5,4,0,2,3,1,19.8
True,2001-11-20,8,-6,SEATTLE SUPERSONICS,AWAY,DALLAS MAVERICKS,WIN,2503,4,6,0,2,0,0,0,8,5,0,0,2,0,9.3
True,2001-11-21,13,-13,SEATTLE SUPERSONICS,AWAY,SAN ANTONIO SPURS,LOSS,1598,5,10,3,7,0,1,0,3,2,2,0,3,3,7.7
True,2001-11-23,15,14,SEATTLE SUPERSONICS,HOME,HOUSTON ROCKETS,WIN,2495,5,11,2,6,3,5,1,9,4,4,2,1,4,17.5
True,2001-11-25,17,2,SEATTLE SUPERSONICS,HOME,INDIANA PACERS,WIN,2319,5,16,1,8,6,6,2,6,4,2,1,0,3,15.3
True,2001-11-27,31,10,SEATTLE SUPERSONICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2529,10,15,5,8,6,6,0,6,10,2,0,0,1,34.9
True,2001-11-28,5,-25,SEATTLE SUPERSONICS,AWAY,UTAH JAZZ,LOSS,2277,1,6,1,4,2,2,2,4,6,2,0,3,2,6.2
True,2001-11-30,12,-22,SEATTLE SUPERSONICS,HOME,LOS ANGELES LAKERS,LOSS,1923,5,9,2,4,0,0,0,0,3,0,0,0,3,8.6
