active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,7,-5,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,1805,3,8,1,2,0,0,0,2,4,2,0,2,1,5.6
True,2001-10-31,0,4,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,720,0,4,0,0,0,0,0,5,7,1,0,0,0,4.6
True,2001-11-02,10,9,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1336,4,8,2,2,0,0,1,2,4,2,0,5,3,5.9
True,2001-11-04,8,-13,INDIANA PACERS,AWAY,TORONTO RAPTORS,LOSS,1501,3,6,0,1,2,2,1,2,4,3,0,0,3,10.9
True,2001-11-06,4,14,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,1449,1,2,0,0,2,2,0,2,6,0,0,3,2,4.0
True,2001-11-07,6,19,INDIANA PACERS,HOME,SACRAMENTO KINGS,WIN,1150,3,5,0,0,0,0,1,2,2,4,0,1,2,8.6
True,2001-11-09,13,7,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1189,5,7,0,1,3,3,0,3,4,2,1,2,3,13.3
True,2001-11-10,15,12,INDIANA PACERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1793,3,7,1,1,8,9,1,1,6,2,0,1,1,16.7
True,2001-11-13,8,-6,INDIANA PACERS,HOME,NEW JERSEY NETS,LOSS,1249,3,8,0,1,2,2,0,1,1,0,0,2,2,1.8
True,2001-11-14,2,-3,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,954,1,6,0,0,0,0,1,1,4,1,0,0,1,2.6
True,2001-11-16,3,1,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,197,1,1,0,0,1,1,0,1,0,0,0,0,0,3.0
True,2001-12-01,12,-2,INDIANA PACERS,AWAY,UTAH JAZZ,WIN,1322,6,9,0,1,0,0,0,0,4,3,0,2,3,10.7
True,2001-12-02,2,-16,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,950,1,7,0,1,0,0,1,1,5,1,0,3,1,-0.4
True,2001-12-08,2,-18,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1018,1,4,0,0,0,0,0,0,0,1,0,1,0,-0.4
True,2001-12-13,11,4,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,1184,4,10,0,1,3,4,0,0,3,0,0,1,0,6.3
True,2001-12-15,6,-5,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,1068,2,5,0,0,2,2,0,0,4,1,0,0,4,5.5
True,2001-12-18,4,-2,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,1206,2,2,0,0,0,0,0,0,4,1,0,2,3,4.0
True,2001-12-19,3,-11,INDIANA PACERS,HOME,TORONTO RAPTORS,LOSS,1017,1,3,1,1,0,0,0,2,3,0,0,0,0,4.0
True,2001-12-21,4,-4,INDIANA PACERS,HOME,NEW JERSEY NETS,WIN,1183,1,6,0,2,2,2,0,0,3,3,0,2,4,1.7
True,2001-12-22,4,-2,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,WIN,717,2,3,0,0,0,0,0,0,1,0,0,0,1,3.0
True,2001-12-26,0,-7,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,914,0,3,0,0,0,0,1,1,2,1,0,0,0,1.3
True,2001-12-27,8,-3,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1293,3,5,0,0,2,2,0,0,3,1,0,1,0,7.8
True,2001-12-29,6,1,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,1776,3,11,0,1,0,0,0,1,6,1,0,2,4,1.4
True,2001-12-31,5,10,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,1071,2,3,0,0,1,1,0,0,7,3,0,1,2,9.8
True,2002-01-04,1,-2,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,724,0,4,0,1,1,2,0,1,5,0,1,0,2,1.5
True,2002-01-05,3,-12,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,904,1,4,0,0,1,3,0,1,2,0,0,2,2,-1.3
True,2002-01-09,7,-5,INDIANA PACERS,HOME,LOS ANGELES LAKERS,LOSS,1397,3,8,1,1,0,0,0,2,1,3,0,3,2,3.1
True,2002-01-11,5,4,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1286,1,4,0,1,3,3,1,5,7,1,0,0,2,9.9
True,2002-01-12,4,-6,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,878,1,5,1,1,1,1,0,0,1,0,0,0,3,0.4
True,2002-01-15,2,2,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,1046,0,1,0,1,2,2,1,0,4,1,0,1,2,4.0
True,2002-01-16,16,-1,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,1393,6,6,1,1,3,4,0,1,4,1,1,1,6,15.2
True,2002-01-18,9,-8,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,1703,4,6,1,1,0,0,0,1,4,0,0,3,6,4.1
True,2002-01-19,9,2,INDIANA PACERS,AWAY,MIAMI HEAT,LOSS,1977,3,7,0,1,3,4,0,3,4,2,0,1,5,7.6
True,2002-01-21,4,7,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,1382,2,5,0,0,0,0,0,4,6,2,0,2,0,6.7
True,2002-01-23,3,-4,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,1654,1,5,1,2,0,0,0,0,6,0,0,2,3,0.9
True,2002-01-25,2,1,INDIANA PACERS,HOME,CHARLOTTE HORNETS,WIN,1288,0,4,0,1,2,2,0,1,6,1,0,3,4,0.1
True,2002-01-26,9,1,INDIANA PACERS,HOME,SEATTLE SUPERSONICS,LOSS,1125,4,6,1,2,0,0,0,2,5,0,0,0,2,9.7
True,2002-01-30,12,3,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,2448,6,10,0,1,0,0,0,2,5,5,0,2,4,12.9
True,2002-02-01,11,-5,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1513,5,9,1,2,0,0,1,2,6,1,0,0,1,12.8
True,2002-02-03,10,-13,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,LOSS,1696,4,8,0,0,2,2,0,2,7,0,0,0,2,10.7
True,2002-02-05,10,-14,INDIANA PACERS,HOME,DALLAS MAVERICKS,LOSS,2230,4,7,0,1,2,2,0,1,5,2,1,1,6,9.8
True,2002-02-12,18,3,INDIANA PACERS,HOME,UTAH JAZZ,LOSS,1600,7,12,0,0,4,4,0,1,4,3,0,2,4,14.9
True,2002-02-15,18,2,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,1497,6,13,1,2,5,6,0,1,2,0,0,2,3,9.4
True,2002-02-17,6,8,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,1646,3,7,0,0,0,0,0,3,4,2,2,3,2,5.6
True,2002-02-20,12,16,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,1298,6,9,0,0,0,0,2,3,3,1,0,2,0,11.5
