active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-31,0,0,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1698,0,4,0,2,0,0,0,1,6,2,0,1,1,2.3
True,2001-11-01,5,14,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1310,2,6,1,2,0,0,0,1,6,2,0,3,1,4.7
True,2001-11-03,0,-14,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,802,0,4,0,1,0,0,0,1,1,0,0,2,0,-3.8
True,2001-11-04,7,-1,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1360,3,5,0,0,1,2,0,5,2,0,0,2,0,5.2
True,2001-11-07,0,-9,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,LOSS,963,0,2,0,2,0,0,0,1,4,2,0,0,0,3.7
True,2001-11-09,7,0,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1045,3,8,1,3,0,0,0,3,4,0,0,0,0,6.3
True,2001-11-10,2,8,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,WIN,961,1,4,0,1,0,0,0,0,0,0,0,3,0,-3.4
True,2001-11-12,6,11,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,1707,2,3,1,2,1,2,0,0,5,2,0,0,3,8.6
True,2001-11-14,0,-11,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,LOSS,636,0,1,0,1,0,0,0,0,1,0,0,1,0,-1.0
True,2001-11-16,7,1,GOLDEN STATE WARRIORS,AWAY,SEATTLE SUPERSONICS,LOSS,1359,3,7,0,2,1,1,0,1,3,2,1,1,0,7.4
True,2001-11-17,0,2,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,820,0,3,0,0,0,0,2,1,3,1,0,0,0,2.7
True,2001-11-20,3,-4,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,LOSS,1544,1,7,1,4,0,0,0,3,5,1,0,1,0,2.9
True,2001-11-23,5,-5,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,973,2,8,1,2,0,0,1,2,4,0,0,1,0,3.3
True,2001-11-25,13,9,GOLDEN STATE WARRIORS,HOME,NEW JERSEY NETS,WIN,1525,6,8,1,2,0,0,0,2,5,0,0,1,1,12.5
True,2001-11-27,7,-13,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,846,3,9,1,2,0,0,0,1,1,1,0,1,0,2.9
True,2001-11-28,3,-13,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,487,1,2,1,1,0,0,0,2,2,1,0,1,0,4.0
True,2001-12-01,0,-10,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,LOSS,1095,0,2,0,0,0,0,2,1,1,1,0,1,1,0.6
True,2001-12-03,0,-19,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1414,0,3,0,1,0,0,1,2,7,0,0,2,3,0.9
True,2001-12-05,9,15,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,WIN,1359,4,6,0,0,1,2,0,6,5,2,0,3,0,10.3
True,2001-12-07,3,-1,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,LOSS,979,1,3,1,1,0,0,0,1,5,0,0,0,0,5.1
True,2001-12-08,8,-9,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1045,3,6,2,2,0,0,0,0,1,0,0,3,2,1.9
True,2001-12-11,3,-6,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1048,1,3,1,1,0,0,1,0,5,1,0,0,0,6.5
True,2001-12-13,0,-4,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,399,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2001-12-15,3,-7,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,980,1,4,1,1,0,0,0,0,3,0,0,0,0,2.7
True,2001-12-16,0,-8,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,919,0,5,0,0,0,0,0,1,1,2,0,1,3,-2.7
True,2001-12-19,4,9,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,WIN,986,2,2,0,0,0,0,0,1,5,1,0,1,1,6.8
