active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-31,18,-1,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2000,7,13,0,0,4,6,4,3,1,0,2,5,4,10.1
True,2001-11-01,14,-17,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1496,4,7,0,0,6,8,2,5,2,1,1,3,4,11.3
True,2001-11-03,14,10,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,1876,4,8,0,0,6,6,2,2,2,0,3,4,6,9.1
True,2001-11-04,8,14,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1706,2,8,0,0,4,8,6,1,3,0,0,4,4,2.6
True,2001-11-07,9,-21,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,LOSS,1710,4,13,0,0,1,2,5,4,0,0,0,2,1,3.4
True,2001-11-09,6,9,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1497,2,6,0,0,2,2,0,3,1,0,0,5,2,-1.6
True,2001-11-10,14,7,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,WIN,1206,6,8,0,0,2,2,0,5,0,0,2,1,6,10.3
True,2001-11-12,4,-15,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,1603,1,7,0,0,2,2,1,2,0,0,3,1,3,0.7
True,2001-11-14,22,3,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,LOSS,2197,9,17,0,0,4,5,7,7,1,0,5,3,2,20.7
True,2001-11-16,7,4,GOLDEN STATE WARRIORS,AWAY,SEATTLE SUPERSONICS,LOSS,1283,1,4,0,0,5,6,2,1,0,0,2,1,2,5.5
True,2001-11-17,4,6,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,1495,1,6,0,0,2,2,2,1,1,0,4,1,4,2.8
True,2001-11-20,2,-9,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,LOSS,1219,1,5,0,0,0,0,1,2,0,0,3,1,3,0.1
True,2001-11-23,16,-19,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1839,6,17,0,0,4,4,5,0,0,0,4,1,5,9.8
True,2001-11-25,11,9,GOLDEN STATE WARRIORS,HOME,NEW JERSEY NETS,WIN,2085,5,7,0,0,1,4,0,14,2,1,4,3,2,12.5
