active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,4,0,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,2176,1,4,0,0,2,2,3,9,2,2,2,1,5,8.2
True,2001-10-31,4,12,INDIANA PACERS,AWAY,CHICAGO BULLS,WIN,2061,1,6,0,1,2,2,1,8,1,2,1,1,2,4.9
True,2001-11-02,13,-5,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,938,4,7,0,0,5,9,1,5,1,1,0,0,3,10.8
True,2001-11-04,5,-1,INDIANA PACERS,AWAY,TORONTO RAPTORS,LOSS,1148,2,6,0,0,1,3,5,5,3,1,0,2,4,5.3
True,2001-11-06,1,5,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,1119,0,2,0,0,1,2,3,2,1,1,0,1,5,0.6
True,2001-11-07,6,-8,INDIANA PACERS,HOME,SACRAMENTO KINGS,WIN,727,1,3,0,0,4,4,2,2,0,0,1,0,3,5.8
True,2001-11-09,2,-19,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,566,1,2,0,0,0,0,1,2,0,0,0,1,1,0.9
True,2001-11-10,2,-4,INDIANA PACERS,HOME,PORTLAND TRAIL BLAZERS,WIN,977,1,4,0,0,0,0,6,5,0,1,0,0,1,5.9
True,2001-11-13,8,-7,INDIANA PACERS,HOME,NEW JERSEY NETS,LOSS,1812,3,6,0,0,2,2,6,7,1,0,0,2,4,8.4
True,2001-11-14,17,1,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,2150,3,9,0,0,11,12,8,7,1,2,3,2,1,21.6
True,2001-11-16,4,-18,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2954,1,5,0,0,2,4,3,11,3,1,0,0,4,7.0
True,2001-11-17,7,2,INDIANA PACERS,AWAY,DETROIT PISTONS,LOSS,1708,3,5,0,0,1,2,4,9,1,0,1,3,5,6.2
True,2001-11-20,11,-4,INDIANA PACERS,HOME,ATLANTA HAWKS,WIN,1559,4,8,0,1,3,4,5,6,2,1,1,0,0,15.0
True,2001-11-22,12,18,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1711,6,14,0,1,0,0,4,7,0,2,1,1,1,10.8
True,2001-11-23,7,-7,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1359,3,7,0,0,1,3,1,2,0,0,0,1,5,0.8
True,2001-11-25,4,1,INDIANA PACERS,AWAY,SEATTLE SUPERSONICS,LOSS,1556,2,3,0,0,0,0,1,3,1,2,0,1,5,4.0
True,2001-11-27,1,2,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,990,0,3,0,0,1,2,2,2,0,0,0,1,2,-1.3
True,2001-11-28,9,0,INDIANA PACERS,AWAY,DENVER NUGGETS,WIN,865,4,4,0,0,1,2,2,2,0,0,2,1,1,9.4
True,2001-12-01,5,-7,INDIANA PACERS,AWAY,UTAH JAZZ,WIN,1359,2,2,0,0,1,4,2,4,0,1,0,0,6,4.4
True,2001-12-02,6,-24,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1641,2,7,0,0,2,2,2,4,2,1,2,1,6,4.9
True,2001-12-04,4,-3,INDIANA PACERS,HOME,DENVER NUGGETS,WIN,869,2,5,0,0,0,0,1,3,0,1,0,0,0,3.9
True,2001-12-07,2,12,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1247,1,3,0,0,0,0,3,4,1,1,0,0,1,4.9
True,2001-12-08,7,-7,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1169,3,6,0,0,1,2,0,5,0,0,0,0,1,4.7
True,2001-12-13,2,7,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,1290,1,2,0,0,0,0,3,7,4,0,0,0,4,6.4
True,2001-12-15,2,5,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,816,1,3,0,0,0,0,1,3,0,1,0,0,2,2.1
True,2001-12-18,9,0,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,1732,4,6,0,0,1,2,0,3,0,1,1,1,2,6.8
True,2001-12-19,7,-2,INDIANA PACERS,HOME,TORONTO RAPTORS,LOSS,1617,3,8,0,0,1,2,4,3,2,0,1,4,5,2.0
True,2001-12-21,2,7,INDIANA PACERS,HOME,NEW JERSEY NETS,WIN,858,0,0,0,0,2,4,1,1,0,0,0,0,1,1.8
True,2001-12-22,10,3,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,WIN,1187,4,6,0,0,2,4,3,4,1,0,1,0,4,9.7
True,2001-12-26,8,9,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1680,3,4,0,0,2,2,4,5,1,1,0,1,4,9.8
True,2001-12-27,7,25,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1257,2,4,0,0,3,5,4,5,0,0,1,0,2,8.4
True,2001-12-29,0,11,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,1137,0,1,0,0,0,0,2,4,0,1,1,1,1,2.2
True,2001-12-31,3,-15,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,887,1,3,0,0,1,2,1,3,0,1,0,0,5,1.5
True,2002-01-04,14,21,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,1898,7,11,0,0,0,0,4,3,1,3,1,1,5,14.2
True,2002-01-05,8,7,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1849,4,8,0,0,0,0,3,5,0,3,0,1,3,8.4
True,2002-01-09,8,-11,INDIANA PACERS,HOME,LOS ANGELES LAKERS,LOSS,1078,3,8,0,0,2,3,4,3,0,0,0,0,4,5.3
True,2002-01-11,8,-4,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1331,2,5,0,0,4,5,3,3,1,0,1,1,2,7.5
True,2002-01-12,4,1,INDIANA PACERS,AWAY,DALLAS MAVERICKS,LOSS,1629,2,8,0,2,0,0,5,4,1,3,0,1,2,5.8
True,2002-01-15,10,2,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,2011,4,10,0,0,2,2,7,6,1,1,1,0,5,11.7
True,2002-01-16,11,-2,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,2184,4,9,0,0,3,5,6,7,2,2,1,1,5,12.9
True,2002-01-18,13,5,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,2397,6,10,0,1,1,2,0,9,2,2,1,2,5,10.8
