active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,2,-10,SEATTLE SUPERSONICS,AWAY,SACRAMENTO KINGS,LOSS,609,1,3,0,0,0,0,2,2,0,0,0,1,1,0.9
True,2001-11-01,2,-3,SEATTLE SUPERSONICS,HOME,SAN ANTONIO SPURS,WIN,502,1,1,0,0,0,0,0,1,0,1,0,2,2,0.2
True,2001-11-03,2,-6,SEATTLE SUPERSONICS,HOME,UTAH JAZZ,LOSS,777,1,3,0,0,0,0,1,1,0,0,0,2,5,-2.7
True,2001-11-05,4,-4,SEATTLE SUPERSONICS,AWAY,ORLANDO MAGIC,WIN,726,1,4,0,0,2,4,4,2,0,0,1,1,2,3.1
True,2001-11-06,0,-5,SEATTLE SUPERSONICS,AWAY,MIAMI HEAT,LOSS,327,0,0,0,0,0,0,1,1,0,0,1,1,1,0.3
True,2001-11-08,0,-2,SEATTLE SUPERSONICS,AWAY,NEW JERSEY NETS,LOSS,198,0,1,0,0,0,0,0,1,0,0,0,0,3,-1.6
True,2001-11-11,10,11,SEATTLE SUPERSONICS,AWAY,WASHINGTON WIZARDS,WIN,1584,5,9,0,0,0,2,4,6,0,4,1,4,5,8.2
True,2001-11-13,6,-6,SEATTLE SUPERSONICS,HOME,PHOENIX SUNS,LOSS,1351,3,4,0,0,0,2,3,7,1,0,0,2,4,4.9
True,2001-11-16,4,-7,SEATTLE SUPERSONICS,HOME,GOLDEN STATE WARRIORS,WIN,1371,2,6,0,0,0,0,2,2,0,0,0,2,4,-1.0
True,2001-11-17,9,-5,SEATTLE SUPERSONICS,HOME,DENVER NUGGETS,LOSS,1494,4,7,0,0,1,2,3,7,2,0,1,1,4,9.0
True,2001-11-20,4,9,SEATTLE SUPERSONICS,AWAY,DALLAS MAVERICKS,WIN,693,1,1,0,0,2,2,0,4,1,0,1,1,2,4.5
True,2001-11-21,4,3,SEATTLE SUPERSONICS,AWAY,SAN ANTONIO SPURS,LOSS,903,2,5,0,0,0,0,0,2,0,1,0,1,2,1.1
True,2001-11-23,4,-1,SEATTLE SUPERSONICS,HOME,HOUSTON ROCKETS,WIN,614,2,3,0,0,0,0,1,1,0,0,0,1,2,1.9
True,2001-11-27,0,-3,SEATTLE SUPERSONICS,HOME,MINNESOTA TIMBERWOLVES,WIN,194,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2001-11-28,2,3,SEATTLE SUPERSONICS,AWAY,UTAH JAZZ,LOSS,428,1,2,0,0,0,0,1,0,0,0,0,0,2,0.9
True,2001-11-30,10,-8,SEATTLE SUPERSONICS,HOME,LOS ANGELES LAKERS,LOSS,981,4,6,0,0,2,3,1,1,1,0,2,0,2,9.3
True,2001-12-02,4,6,SEATTLE SUPERSONICS,HOME,MILWAUKEE BUCKS,WIN,563,2,2,0,0,0,0,1,0,0,0,0,1,1,2.7
