active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,21,7,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,2801,8,14,3,4,2,3,2,5,3,2,0,5,3,14.8
True,2001-11-01,18,10,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,WIN,3085,8,24,2,4,0,2,3,7,5,3,1,0,1,14.6
True,2001-11-03,24,-2,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2345,9,14,4,4,2,2,1,1,2,2,0,3,0,19.2
True,2001-11-04,26,6,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,2566,9,16,6,7,2,2,0,3,3,1,1,3,4,18.5
True,2001-11-06,17,5,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,2780,7,18,0,6,3,3,1,5,1,1,3,1,1,11.8
True,2001-11-08,11,5,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,2329,5,13,1,4,0,0,1,4,4,1,1,4,2,5.5
True,2001-11-09,3,-9,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1748,1,10,1,4,0,1,1,3,3,2,1,0,2,1.6
True,2001-11-15,26,-1,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,3180,10,26,0,5,6,6,3,4,0,2,1,1,5,14.8
True,2001-11-17,20,37,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,WIN,2094,7,9,2,2,4,4,0,7,5,1,1,0,1,23.4
True,2001-11-19,12,-18,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1970,4,9,2,4,2,2,0,3,0,0,0,3,0,5.2
True,2001-11-20,9,7,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2633,4,11,0,2,1,2,1,4,5,1,1,2,2,6.8
True,2001-11-23,21,-9,HOUSTON ROCKETS,AWAY,SEATTLE SUPERSONICS,LOSS,2313,8,17,3,4,2,2,2,5,3,1,0,4,4,12.7
