active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,6,-13,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,835,3,6,0,1,0,1,1,2,1,1,2,2,4,3.4
True,2001-10-31,11,12,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,LOSS,1222,5,12,0,1,1,2,0,3,1,2,0,1,1,6.4
True,2001-11-03,0,-17,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,LOSS,1000,0,3,0,0,0,0,1,2,1,1,0,0,1,0.5
True,2001-11-06,22,1,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,2377,10,19,0,3,2,3,1,2,1,2,1,1,1,15.6
True,2001-11-07,12,-13,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2204,5,14,0,2,2,4,5,5,0,1,0,7,1,2.0
True,2001-11-10,21,3,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,LOSS,2349,8,15,1,4,4,4,2,4,1,1,1,0,2,17.9
True,2001-11-13,22,2,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2505,7,21,2,5,6,7,2,4,1,1,1,0,1,14.3
True,2001-11-14,17,-19,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,LOSS,1822,5,12,1,4,6,7,2,2,3,0,0,2,2,11.5
True,2001-11-16,18,-15,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,1582,7,15,4,5,0,0,0,2,3,1,0,2,4,10.4
True,2001-11-17,27,-5,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2620,10,21,2,5,5,6,3,13,2,2,0,3,3,21.1
True,2001-11-21,21,10,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,2253,7,13,3,4,4,4,1,6,3,1,0,4,3,15.1
True,2001-11-23,4,-1,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,1623,1,12,0,1,2,2,0,4,2,1,1,1,3,-1.9
True,2001-11-24,15,12,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,2161,4,19,2,4,5,5,1,4,6,0,1,2,3,6.9
True,2001-11-27,14,13,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2032,5,13,0,4,4,4,1,9,6,2,1,1,1,15.8
True,2001-11-29,21,-6,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,2075,9,19,2,3,1,2,1,4,4,2,1,5,2,12.5
True,2001-12-01,18,11,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,2275,5,15,2,3,6,7,2,2,3,2,3,4,0,13.3
True,2001-12-04,19,19,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,2266,5,10,3,5,6,6,0,4,2,1,0,2,1,15.2
True,2001-12-07,24,-4,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,LOSS,2275,8,18,3,6,5,6,1,6,1,0,0,2,1,15.0
True,2001-12-08,33,-1,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,WIN,2202,11,19,2,6,9,9,1,4,3,0,1,2,0,26.8
True,2001-12-11,20,12,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,WIN,2679,7,16,3,6,3,4,0,7,4,0,0,2,2,13.3
True,2001-12-13,23,-14,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,2398,9,16,0,3,5,5,1,8,7,0,2,2,3,21.6
