active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,8,-5,UTAH JAZZ,HOME,MILWAUKEE BUCKS,LOSS,1121,3,5,0,0,2,3,1,6,0,0,3,1,3,7.7
True,2001-11-01,6,-12,UTAH JAZZ,HOME,LOS ANGELES LAKERS,LOSS,1036,1,5,0,0,4,6,2,1,0,0,0,0,2,3.0
True,2001-11-03,2,-6,UTAH JAZZ,AWAY,SEATTLE SUPERSONICS,WIN,734,1,2,0,0,0,1,0,1,0,0,0,0,0,0.9
True,2001-11-04,0,7,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,909,0,1,0,0,0,0,0,3,1,0,3,1,4,0.4
True,2001-11-06,3,-12,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,891,1,2,0,0,1,2,3,0,1,0,0,0,3,3.2
True,2001-11-07,4,2,UTAH JAZZ,HOME,ATLANTA HAWKS,WIN,941,2,4,0,0,0,0,0,3,0,1,3,0,2,5.2
True,2001-11-10,1,-15,UTAH JAZZ,HOME,TORONTO RAPTORS,LOSS,1095,0,4,0,0,1,2,3,4,2,0,0,1,3,0.3
True,2001-11-12,14,12,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,2119,4,9,0,0,6,10,3,9,3,0,8,0,2,19.4
True,2001-11-14,9,-15,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1266,4,6,0,0,1,2,2,1,0,0,1,2,0,6.4
True,2001-11-16,0,9,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,WIN,1004,0,1,0,0,0,0,1,2,1,0,3,1,1,2.0
True,2001-11-17,12,3,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,1571,4,8,0,0,4,6,5,3,1,1,1,2,1,11.6
True,2001-11-21,1,-3,UTAH JAZZ,HOME,NEW JERSEY NETS,LOSS,2075,0,5,0,0,1,6,4,2,1,0,3,1,2,-0.1
True,2001-11-23,0,-7,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,734,0,0,0,0,0,0,1,2,1,0,2,1,1,2.0
True,2001-11-26,0,2,UTAH JAZZ,HOME,PHOENIX SUNS,LOSS,392,0,0,0,0,0,0,0,3,0,0,0,0,1,0.5
True,2001-11-28,8,20,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,WIN,1152,4,4,0,0,0,0,3,5,2,0,6,0,4,14.4
True,2001-11-30,6,-3,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,635,2,4,0,0,2,2,1,2,0,0,2,0,2,5.9
True,2001-12-01,12,3,UTAH JAZZ,HOME,INDIANA PACERS,LOSS,1893,5,11,0,0,2,2,10,3,1,0,1,1,2,13.8
True,2001-12-04,4,-7,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,823,2,3,0,0,0,2,2,1,0,0,4,0,4,4.8
True,2001-12-07,1,-4,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,262,0,1,0,0,1,2,1,3,0,0,0,0,1,1.1
True,2001-12-08,2,-4,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,706,1,2,0,0,0,0,1,2,1,0,1,1,4,1.1
True,2001-12-12,4,-8,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1071,2,2,0,0,0,0,1,1,0,0,1,1,2,3.3
True,2001-12-14,4,-1,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1281,2,5,0,0,0,0,3,4,1,2,2,0,3,7.5
True,2001-12-15,1,-11,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,517,0,2,0,0,1,2,0,2,0,0,0,0,3,-1.4
True,2001-12-18,5,20,UTAH JAZZ,AWAY,MIAMI HEAT,WIN,1981,2,4,0,0,1,2,4,3,4,0,4,0,1,11.5
True,2001-12-19,2,-7,UTAH JAZZ,AWAY,ORLANDO MAGIC,LOSS,758,1,2,0,0,0,0,2,2,1,0,1,0,3,3.2
True,2001-12-21,0,4,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,353,0,2,0,0,0,0,1,0,0,0,1,0,0,0.0
True,2001-12-22,7,16,UTAH JAZZ,AWAY,NEW JERSEY NETS,WIN,1868,2,2,0,0,3,4,4,5,0,1,2,1,5,9.7
True,2001-12-26,8,10,UTAH JAZZ,HOME,BOSTON CELTICS,WIN,1654,4,9,0,0,0,2,4,4,2,0,6,0,2,11.3
True,2001-12-27,6,17,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1794,2,6,0,0,2,3,5,9,4,2,0,0,6,10.8
True,2001-12-29,8,12,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1751,4,10,0,0,0,0,3,6,2,1,2,0,3,9.1
True,2002-01-04,2,0,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,LOSS,776,1,1,0,0,0,0,1,3,0,0,0,1,3,1.1
True,2002-01-05,5,-9,UTAH JAZZ,AWAY,CHICAGO BULLS,WIN,1213,0,2,0,0,5,10,2,2,0,0,1,0,3,3.1
True,2002-01-08,5,28,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1346,1,4,0,0,3,6,2,5,2,0,5,2,2,6.4
True,2002-01-10,0,-1,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,547,0,0,0,0,0,0,0,2,0,1,0,1,0,0.6
True,2002-01-12,0,-5,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,LOSS,627,0,3,0,0,0,2,5,0,0,0,0,1,2,-1.2
True,2002-01-14,4,-3,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,790,2,3,0,0,0,0,1,2,1,0,0,1,3,2.5
True,2002-01-16,0,-2,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,WIN,645,0,1,0,0,0,0,0,2,0,0,0,1,1,-1.5
True,2002-01-17,2,-9,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,513,1,3,0,0,0,0,1,0,0,0,1,0,2,0.9
True,2002-01-21,0,-3,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,674,0,0,0,0,0,0,1,1,1,0,1,3,0,-0.6
True,2002-01-23,0,-5,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,300,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2002-01-24,3,-4,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,838,1,4,0,0,1,4,1,2,0,1,0,0,0,1.7
True,2002-01-26,0,-12,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,795,0,2,0,0,0,0,2,2,0,0,2,1,2,0.2
True,2002-01-30,2,-7,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,443,0,2,0,0,2,2,1,2,0,0,0,2,1,-0.5
True,2002-02-02,2,0,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,488,1,2,0,0,0,0,1,2,0,0,2,1,1,2.3
True,2002-02-04,8,3,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,662,4,5,0,0,0,1,2,1,1,0,0,0,2,7.3
True,2002-02-05,0,2,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,255,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2
True,2002-02-14,8,-3,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,WIN,1335,3,5,0,0,2,4,5,3,1,0,1,0,5,8.7
True,2002-02-15,6,-5,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,846,3,4,0,0,0,2,2,4,0,0,1,1,3,4.7
True,2002-02-17,1,-6,UTAH JAZZ,AWAY,NEW YORK KNICKS,WIN,612,0,1,0,0,1,4,2,0,0,0,0,2,1,-1.9
True,2002-02-18,4,18,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,WIN,1280,2,4,0,0,0,1,2,6,1,0,2,1,5,3.9
True,2002-02-20,5,16,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,977,2,3,0,0,1,3,1,4,2,1,0,2,4,3.6
True,2002-02-26,0,-8,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,473,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2002-02-28,4,25,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1053,1,2,0,0,2,4,4,6,2,1,0,2,4,5.6
True,2002-03-02,0,-1,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,425,0,0,0,0,0,0,0,2,0,0,2,0,2,1.2
True,2002-03-04,0,3,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,655,0,1,0,0,0,2,1,1,0,1,2,2,0,-0.1
True,2002-03-06,0,-3,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2002-03-08,0,-4,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,448,0,3,0,0,0,0,2,1,1,0,0,0,2,-0.5
True,2002-03-11,5,11,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1336,2,3,0,0,1,2,3,3,2,0,5,1,0,10.2
True,2002-03-14,5,-7,UTAH JAZZ,AWAY,CHARLOTTE HORNETS,LOSS,1095,1,3,0,0,3,4,2,2,1,0,1,0,2,5.5
True,2002-03-17,0,-4,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,192,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
True,2002-03-21,3,13,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1243,1,1,0,0,1,2,0,4,0,0,6,1,2,5.9
True,2002-03-23,2,4,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,709,1,3,0,0,0,0,1,3,1,0,1,2,1,0.9
True,2002-03-25,2,-7,UTAH JAZZ,AWAY,SEATTLE SUPERSONICS,LOSS,268,0,0,0,0,2,2,1,0,0,0,0,0,1,2.3
True,2002-03-26,12,12,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1038,4,4,0,0,4,6,2,2,0,0,0,0,3,10.8
True,2002-03-28,2,6,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,1156,1,2,0,0,0,2,1,3,2,0,3,2,1,2.9
True,2002-03-30,10,15,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1675,4,4,0,0,2,3,1,8,0,0,3,2,3,10.4
True,2002-04-02,0,4,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,391,0,0,0,0,0,0,0,1,0,1,2,1,4,0.1
True,2002-04-03,1,17,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1043,0,0,0,0,1,2,1,5,0,0,3,0,4,3.3
True,2002-04-05,0,-6,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1040,0,2,0,0,0,2,3,5,1,1,3,1,2,3.4
True,2002-04-08,2,-1,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,150,1,2,0,0,0,1,0,1,0,0,0,1,0,-0.1
True,2002-04-09,0,-13,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,758,0,0,0,0,0,0,1,1,1,0,1,0,3,1.2
True,2002-04-13,2,7,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,361,1,1,0,0,0,0,0,1,1,0,0,0,1,2.3
True,2002-04-16,0,-1,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,458,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2002-04-17,0,-10,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,241,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
