active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-11-08,16,25,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,1089,6,8,1,1,3,4,1,0,2,0,0,0,3,13.3
True,2001-11-10,14,-13,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,LOSS,1240,5,7,0,1,4,4,2,2,2,1,0,0,2,14.7
True,2001-11-11,6,0,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,WIN,1482,2,8,0,0,2,2,1,1,2,0,1,1,3,2.1
True,2001-11-13,7,-3,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1133,3,7,0,2,1,1,1,1,0,1,0,2,2,2.5
True,2001-11-15,15,7,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,1315,4,10,0,1,7,8,1,3,2,1,1,0,2,13.1
True,2001-11-17,4,-8,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,WIN,901,1,3,0,0,2,2,0,3,0,1,0,2,1,1.8
True,2001-11-20,11,-11,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,LOSS,1482,4,9,0,0,3,4,2,3,2,2,1,3,2,8.5
True,2001-11-23,15,14,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2625,6,15,0,1,3,4,2,0,6,2,1,1,4,12.2
True,2001-11-27,22,15,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,2314,7,12,0,1,8,11,2,7,1,4,1,3,4,19.5
True,2001-11-30,12,10,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,WIN,2413,5,17,0,3,2,2,2,4,5,1,0,4,2,4.4
True,2001-12-01,15,-10,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,2027,6,13,1,1,2,3,2,1,0,0,0,3,0,6.6
True,2001-12-06,11,16,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,LOSS,1346,3,6,1,1,4,4,3,1,1,1,0,0,1,11.7
True,2001-12-08,19,8,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,WIN,1181,7,11,1,1,4,5,1,3,0,1,0,0,1,15.9
True,2001-12-11,16,-9,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1272,6,8,0,0,4,7,2,0,0,0,1,1,1,12.3
True,2001-12-14,15,-8,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,1893,6,13,0,1,3,5,3,2,1,0,2,3,1,8.9
True,2001-12-15,24,11,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,WIN,2267,11,16,1,2,1,2,4,2,3,2,0,3,5,19.3
True,2001-12-18,23,16,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,2439,10,18,1,1,2,3,4,7,5,2,4,1,4,24.6
True,2001-12-19,18,-12,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,2449,4,8,0,0,10,12,3,3,3,1,0,5,0,14.3
