active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,28,10,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,WIN,2326,11,21,1,4,5,6,2,2,2,1,0,1,1,20.3
True,2001-11-01,21,1,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,WIN,1893,8,19,2,3,3,5,0,6,2,4,1,1,3,15.8
True,2001-11-03,24,16,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,2131,8,17,0,1,8,8,1,11,2,3,0,0,3,22.5
True,2001-11-08,26,1,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,2230,10,16,1,2,5,6,2,4,2,2,0,5,3,18.2
True,2001-11-10,14,-22,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1799,7,18,0,3,0,1,1,3,3,2,0,1,4,6.9
True,2001-11-14,13,-16,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,2124,4,11,1,4,4,4,0,2,2,2,0,3,2,7.1
True,2001-11-17,34,9,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,2415,12,24,0,3,10,11,2,7,5,2,1,3,5,26.3
True,2001-11-21,22,6,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,2305,7,14,0,1,8,9,2,6,3,3,0,2,3,19.7
True,2001-11-22,19,-1,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,2443,7,15,2,2,3,3,0,10,3,1,1,3,3,13.9
True,2001-11-24,17,9,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2382,6,20,1,4,4,4,1,6,3,2,2,2,2,10.6
True,2001-11-27,12,-13,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,LOSS,2206,5,17,0,3,2,2,1,1,3,0,0,1,1,3.8
True,2001-11-28,16,-26,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,1728,8,15,0,1,0,0,0,1,2,0,0,1,2,8.6
True,2001-11-30,23,-13,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2236,9,17,1,3,4,6,0,4,1,1,0,1,2,15.0
True,2001-12-04,24,-7,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,2200,8,17,3,6,5,6,0,7,0,3,0,4,5,14.0
