active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-11-23,2,-3,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,WIN,758,1,2,0,0,0,0,2,2,1,0,2,0,2,4.3
True,2001-11-25,0,-15,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,990,0,3,0,0,0,0,3,2,0,0,0,1,1,-0.8
True,2001-11-28,2,0,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,1218,1,2,0,0,0,0,2,5,1,0,1,2,2,2.5
True,2001-12-01,5,7,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1525,2,5,0,0,1,4,3,4,1,3,0,2,4,4.5
True,2001-12-02,0,0,PHILADELPHIA 76ERS,HOME,MEMPHIS GRIZZLIES,LOSS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-12-04,0,1,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,LOSS,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2001-12-05,0,4,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,106,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0
True,2001-12-07,1,0,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,LOSS,1183,0,2,0,0,1,2,3,3,1,2,1,1,4,3.0
True,2001-12-08,2,-17,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1128,1,3,0,0,0,0,3,4,0,0,1,0,4,2.7
True,2001-12-11,2,-1,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,875,1,3,0,0,0,0,2,2,0,0,1,2,0,1.0
True,2001-12-14,0,-13,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1083,0,1,0,0,0,0,2,0,1,0,0,1,3,-0.8
True,2001-12-15,2,-2,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,WIN,648,1,5,0,0,0,0,3,1,0,0,0,1,2,-0.5
True,2001-12-17,0,-2,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,WIN,379,0,0,0,0,0,0,0,2,0,0,1,0,1,0.9
True,2001-12-25,0,-2,PHILADELPHIA 76ERS,AWAY,LOS ANGELES LAKERS,LOSS,78,0,0,0,0,0,2,0,1,0,0,0,0,0,-0.5
True,2001-12-26,0,-2,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,83,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
