active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2001-10-30,20,-5,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,2593,6,12,1,1,7,8,1,3,6,3,0,2,1,20.0
True,2001-10-31,7,5,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,WIN,2594,3,11,1,3,0,0,4,3,12,2,1,1,2,13.5
True,2001-11-03,8,-16,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,2568,4,13,0,5,0,0,0,2,8,0,0,2,1,4.3
True,2001-11-04,12,-15,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1838,4,12,1,5,3,3,0,1,9,1,0,3,2,9.0
True,2001-11-10,3,-13,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,LOSS,1191,1,5,0,2,1,2,0,1,5,1,0,1,5,1.3
True,2001-11-11,2,-1,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,WIN,946,1,4,0,1,0,0,0,2,3,0,0,1,0,1.3
True,2001-11-23,10,8,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,1669,3,8,1,3,3,4,0,7,9,0,0,0,1,13.2
True,2001-11-27,6,5,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1797,0,3,0,1,6,6,0,3,9,0,0,3,1,7.7
True,2001-11-30,18,3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,WIN,2254,5,10,3,4,5,6,1,0,6,2,0,2,5,15.5
True,2001-12-01,8,-12,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,2354,4,10,0,1,0,0,1,5,9,1,0,1,3,9.9
True,2001-12-06,6,-2,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,LOSS,2171,1,5,1,1,3,3,0,3,12,3,0,1,3,13.0
True,2001-12-08,9,27,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,WIN,2369,3,8,0,2,3,5,0,1,13,1,0,1,1,12.8
