active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,2,1,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,894,1,3,0,0,0,0,2,1,0,0,1,0,0,2.7
True,2002-11-01,15,-4,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,1941,4,9,0,0,7,8,0,4,2,0,6,1,0,15.7
True,2002-11-02,15,5,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1794,6,9,1,2,2,2,5,6,2,1,3,4,1,16.5
True,2002-11-05,4,-7,INDIANA PACERS,AWAY,MIAMI HEAT,WIN,1036,1,3,0,0,2,2,0,2,0,0,0,1,3,0.7
True,2002-11-08,0,-2,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,1229,0,1,0,0,0,0,0,2,0,1,0,2,2,-1.9
True,2002-11-09,4,10,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,1813,2,5,0,1,0,0,0,6,2,0,2,4,2,1.1
True,2002-11-12,7,4,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,1383,3,8,0,1,1,1,2,5,3,0,2,1,3,6.8
True,2002-11-15,13,8,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,1219,3,5,2,3,5,6,0,1,1,0,0,1,1,9.9
True,2002-11-16,4,6,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1289,2,7,0,0,0,1,1,3,2,0,3,0,4,3.0
True,2002-11-20,8,1,INDIANA PACERS,AWAY,TORONTO RAPTORS,WIN,939,2,4,0,0,4,4,1,0,0,0,0,1,2,4.9
True,2002-11-22,5,13,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1618,2,9,1,1,0,1,1,2,3,1,3,1,3,3.4
True,2002-11-23,7,-2,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,1422,3,5,0,0,1,1,0,1,2,1,4,2,3,7.0
True,2002-11-26,8,-3,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,764,3,5,2,2,0,0,0,2,0,0,1,0,1,6.6
True,2002-11-28,2,-8,INDIANA PACERS,HOME,DALLAS MAVERICKS,WIN,746,1,3,0,1,0,0,0,1,2,0,1,0,0,2.7
True,2002-11-29,2,-3,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,636,1,2,0,1,0,0,0,1,0,0,1,2,5,-2.0
True,2002-12-01,6,-8,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,WIN,688,2,3,1,1,1,1,0,0,1,0,0,3,1,2.0
True,2002-12-02,5,-10,INDIANA PACERS,AWAY,UTAH JAZZ,LOSS,821,2,6,1,2,0,0,1,1,0,0,1,0,3,2.1
True,2002-12-04,4,2,INDIANA PACERS,AWAY,SEATTLE SUPERSONICS,WIN,1152,2,6,0,3,0,0,2,2,0,1,1,2,3,1.1
True,2002-12-06,9,-4,INDIANA PACERS,AWAY,PHOENIX SUNS,LOSS,1067,4,8,0,2,1,2,0,1,1,0,0,1,0,4.6
True,2002-12-07,6,1,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,922,2,4,1,2,1,2,1,1,0,0,1,0,1,4.9
True,2002-12-11,9,-3,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,WIN,633,4,6,0,0,1,1,2,0,0,0,0,0,4,6.2
True,2002-12-13,5,13,INDIANA PACERS,HOME,DENVER NUGGETS,WIN,1537,1,4,0,1,3,6,2,4,1,0,2,1,3,3.9
True,2002-12-20,1,1,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,255,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
True,2003-01-08,2,-5,INDIANA PACERS,HOME,NEW YORK KNICKS,WIN,397,1,3,0,0,0,0,1,1,1,0,1,2,0,0.7
True,2003-01-10,6,2,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1022,2,8,1,5,1,1,3,0,3,0,1,1,1,4.7
True,2003-01-11,7,-1,INDIANA PACERS,HOME,GOLDEN STATE WARRIORS,WIN,843,3,6,0,2,1,2,2,1,2,0,0,0,3,5.5
True,2003-02-20,1,-10,INDIANA PACERS,AWAY,NEW JERSEY NETS,LOSS,706,0,2,0,0,1,2,0,2,0,0,0,1,3,-2.4
True,2003-03-11,4,-17,INDIANA PACERS,HOME,NEW ORLEANS HORNETS,LOSS,1224,1,4,0,1,2,2,0,2,1,0,2,1,4,1.7
