active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-29,12,3,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,1071,5,6,0,0,2,2,0,3,1,0,1,0,5,10.1
True,2002-10-30,9,-9,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1642,4,10,0,0,1,2,0,6,1,0,0,1,3,3.5
True,2002-11-01,8,-2,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1510,4,6,0,0,0,0,1,3,1,1,1,0,4,7.8
True,2002-11-02,6,16,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,WIN,1733,3,7,0,0,0,0,0,2,2,2,2,1,5,4.7
True,2002-11-05,12,2,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,WIN,1634,6,7,0,0,0,0,1,7,2,1,0,3,4,10.1
True,2002-11-08,4,-6,ORLANDO MAGIC,HOME,SEATTLE SUPERSONICS,WIN,1160,2,3,0,0,0,0,1,1,0,0,0,1,4,1.1
True,2002-11-10,5,4,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,LOSS,1553,2,7,0,0,1,1,2,0,1,0,1,1,4,1.1
True,2002-11-12,6,-15,ORLANDO MAGIC,HOME,TORONTO RAPTORS,LOSS,875,3,6,0,1,0,0,0,0,0,2,0,1,2,3.2
True,2002-11-14,6,-4,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,WIN,726,3,5,0,0,0,0,0,2,0,0,0,2,6,-0.1
True,2002-11-16,10,-24,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,LOSS,1293,4,12,0,0,2,2,1,0,0,0,1,1,1,3.2
True,2002-11-17,12,0,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,1277,5,6,1,1,1,2,3,2,0,1,0,3,3,8.9
True,2002-11-19,2,-2,ORLANDO MAGIC,AWAY,SEATTLE SUPERSONICS,WIN,924,1,5,0,0,0,0,0,2,0,0,0,2,1,-2.9
True,2002-11-20,4,-12,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,LOSS,970,2,9,0,0,0,0,1,3,0,0,0,0,2,-0.7
True,2002-11-22,8,-15,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1422,2,10,0,0,4,6,7,4,2,1,2,3,3,6.7
True,2002-11-24,2,-14,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,678,1,5,0,0,0,0,0,2,0,0,1,2,3,-3.0
True,2002-11-27,2,3,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,WIN,643,1,3,0,1,0,0,0,1,0,0,0,1,3,-1.6
True,2002-11-30,6,-10,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1133,1,5,0,0,4,4,0,2,0,0,2,0,0,4.9
True,2002-12-02,2,-5,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,434,1,5,0,0,0,0,0,1,0,0,0,0,0,-0.8
True,2002-12-04,0,-1,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2002-12-07,7,-6,ORLANDO MAGIC,AWAY,NEW JERSEY NETS,LOSS,772,2,7,0,1,3,4,2,1,0,0,0,2,0,2.2
True,2002-12-10,1,-3,ORLANDO MAGIC,AWAY,CHICAGO BULLS,LOSS,561,0,3,0,0,1,2,1,1,1,0,0,0,1,-0.2
True,2002-12-13,13,9,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,1470,5,13,0,0,3,3,3,5,1,2,0,0,3,11.0
True,2002-12-15,1,-14,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,685,0,6,0,0,1,2,1,1,0,1,0,2,0,-3.6
True,2002-12-16,0,-4,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,126,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2002-12-18,2,-8,ORLANDO MAGIC,AWAY,UTAH JAZZ,WIN,640,1,2,0,0,0,0,2,0,1,0,0,2,3,-0.1
