active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,21,18,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,2289,9,23,1,4,2,4,2,1,3,1,0,2,1,10.1
True,2002-11-02,17,22,DALLAS MAVERICKS,HOME,PHOENIX SUNS,WIN,2179,7,18,3,5,0,0,0,1,3,3,1,1,0,12.3
True,2002-11-04,17,3,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,2593,8,18,1,5,0,0,0,2,2,0,1,1,3,8.1
True,2002-11-06,22,22,DALLAS MAVERICKS,AWAY,TORONTO RAPTORS,WIN,2499,9,17,3,3,1,1,2,4,5,1,0,3,0,17.8
True,2002-11-08,14,26,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,WIN,1561,4,15,0,3,6,7,2,4,5,0,1,0,0,11.5
True,2002-11-09,25,32,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,1943,7,12,2,4,9,9,0,6,2,2,0,0,2,23.8
True,2002-11-11,21,18,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2615,10,24,1,7,0,0,2,6,5,1,0,6,2,9.1
True,2002-11-13,26,0,DALLAS MAVERICKS,AWAY,CLEVELAND CAVALIERS,WIN,2659,11,21,0,2,4,4,3,5,2,0,0,0,3,19.5
True,2002-11-15,12,10,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,WIN,2354,5,18,2,6,0,0,3,5,5,2,0,4,1,6.1
True,2002-11-16,20,6,DALLAS MAVERICKS,AWAY,NEW JERSEY NETS,WIN,2677,9,20,2,4,0,0,4,9,1,1,0,4,0,12.8
True,2002-11-19,18,19,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,WIN,2064,7,19,3,3,1,1,3,12,2,3,0,5,0,12.6
True,2002-11-21,28,19,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,2504,9,19,6,8,4,4,0,6,2,1,1,1,1,21.8
True,2002-11-23,29,5,DALLAS MAVERICKS,HOME,SEATTLE SUPERSONICS,WIN,2788,11,28,2,8,5,5,2,9,2,1,0,2,2,17.5
True,2002-11-27,42,28,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,WIN,2363,13,28,1,6,15,17,2,8,2,2,0,2,1,31.6
True,2002-11-28,16,-8,DALLAS MAVERICKS,AWAY,INDIANA PACERS,LOSS,2316,7,20,2,5,0,0,1,2,1,2,0,3,2,5.0
True,2002-11-30,13,14,DALLAS MAVERICKS,HOME,CHICAGO BULLS,WIN,2141,5,12,2,4,1,1,0,5,5,2,0,5,2,7.8
True,2002-12-02,15,6,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,2579,7,11,1,3,0,2,0,5,4,2,0,3,0,12.6
True,2002-12-04,15,8,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2033,7,17,1,4,0,0,3,7,1,0,0,2,3,7.6
True,2002-12-06,11,-5,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,LOSS,2758,4,19,2,7,1,1,2,3,4,2,1,0,1,6.7
True,2002-12-07,12,-3,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,WIN,1941,4,12,1,1,3,4,1,1,2,2,1,0,0,9.9
True,2002-12-10,24,35,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,2121,8,15,2,3,6,6,1,8,5,1,0,1,2,22.5
True,2002-12-11,36,1,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,2627,13,23,5,8,5,6,2,6,1,0,0,3,2,24.8
True,2002-12-14,22,26,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,2226,8,22,1,5,5,6,4,3,2,1,0,1,3,13.3
True,2002-12-17,33,23,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,2115,13,21,6,9,1,1,3,10,3,2,0,0,0,32.7
True,2002-12-18,31,6,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,WIN,2635,12,27,1,7,6,7,0,4,2,2,0,2,3,17.9
True,2002-12-20,16,-7,DALLAS MAVERICKS,HOME,UTAH JAZZ,LOSS,2648,7,21,0,6,2,2,2,4,1,2,0,1,3,7.2
True,2002-12-23,14,8,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,2726,7,18,0,4,0,0,1,5,0,1,0,0,1,7.0
True,2002-12-26,12,-6,DALLAS MAVERICKS,AWAY,NEW ORLEANS HORNETS,WIN,2402,5,16,0,3,2,2,0,3,3,1,1,0,2,6.7
True,2002-12-28,14,19,DALLAS MAVERICKS,HOME,NEW YORK KNICKS,WIN,1977,6,13,0,3,2,2,0,1,2,0,0,2,2,6.2
True,2002-12-30,16,1,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,LOSS,2435,7,20,0,2,2,2,3,6,4,1,1,1,3,11.0
True,2003-01-02,20,17,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,2431,7,18,0,1,6,7,0,5,2,1,0,1,2,11.9
True,2003-01-04,18,18,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,WIN,2084,7,19,0,1,4,6,2,2,2,1,0,1,0,10.1
True,2003-01-06,19,15,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,2154,6,13,2,4,5,6,2,2,5,1,0,3,1,15.0
True,2003-01-08,13,21,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,WIN,2384,4,13,2,5,3,4,2,1,7,0,0,2,2,8.9
True,2003-01-10,22,26,DALLAS MAVERICKS,HOME,BOSTON CELTICS,WIN,1952,7,14,3,4,5,7,1,3,7,2,0,1,0,21.7
True,2003-01-12,21,7,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,WIN,2521,9,19,1,4,2,3,2,1,4,1,1,2,0,15.1
True,2003-01-15,8,-20,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,LOSS,1856,3,12,1,3,1,2,2,3,1,1,0,0,0,4.4
True,2003-01-17,13,-10,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,2222,6,14,1,3,0,0,3,2,2,1,0,3,2,6.9
True,2003-01-19,16,2,DALLAS MAVERICKS,AWAY,SEATTLE SUPERSONICS,LOSS,2606,6,17,2,3,2,2,4,2,1,0,2,2,2,9.2
True,2003-01-21,19,15,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,WIN,1939,7,14,1,2,4,4,2,2,2,1,0,0,1,16.0
True,2003-01-23,19,22,DALLAS MAVERICKS,AWAY,PHILADELPHIA 76ERS,WIN,2379,8,14,1,4,2,2,1,2,5,1,0,2,1,15.8
