active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,2,8,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1035,1,5,0,1,0,0,0,1,4,1,0,2,1,0.6
True,2002-11-01,4,-26,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,1536,2,9,0,2,0,0,0,3,3,1,1,3,2,-0.6
True,2002-11-02,17,6,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,1673,7,18,1,4,2,2,0,0,2,1,0,0,1,9.2
True,2002-11-04,23,1,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1952,7,18,2,7,7,8,0,3,4,4,0,5,1,15.1
True,2002-11-06,17,-8,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,LOSS,1967,7,19,0,3,3,5,1,3,6,2,0,1,6,10.1
True,2002-11-09,2,-4,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,1265,1,11,0,3,0,0,0,1,3,0,1,1,1,-3.6
True,2002-11-12,6,-15,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,WIN,1283,3,9,0,1,0,0,0,1,3,0,1,2,0,2.0
True,2002-11-15,2,-18,TORONTO RAPTORS,HOME,DENVER NUGGETS,WIN,1108,1,6,0,1,0,0,1,0,2,0,0,3,1,-3.1
True,2002-11-17,0,-6,TORONTO RAPTORS,HOME,UTAH JAZZ,LOSS,603,0,3,0,0,0,0,1,0,1,0,0,0,0,-0.7
True,2002-12-11,7,-5,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,1442,3,9,0,3,1,2,2,5,4,3,0,5,2,4.4
True,2002-12-13,21,-4,TORONTO RAPTORS,HOME,SEATTLE SUPERSONICS,LOSS,1327,8,15,4,6,1,2,0,2,1,0,0,0,1,14.2
True,2002-12-15,22,-9,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,LOSS,1457,9,15,4,7,0,0,0,1,2,1,0,3,2,14.0
True,2002-12-17,18,18,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,1321,4,11,4,8,6,8,0,2,2,2,0,1,2,13.3
True,2002-12-18,14,-3,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,1566,6,12,2,6,0,0,1,1,4,0,1,3,0,9.5
True,2002-12-20,5,-13,TORONTO RAPTORS,HOME,MIAMI HEAT,LOSS,959,1,8,1,4,2,2,0,1,0,0,0,2,4,-3.5
True,2002-12-22,17,-3,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1720,5,11,2,6,5,7,2,3,3,1,0,4,4,10.3
True,2002-12-26,6,-2,TORONTO RAPTORS,AWAY,SEATTLE SUPERSONICS,LOSS,1117,3,6,0,2,0,0,0,0,1,0,0,0,2,2.9
True,2002-12-27,13,2,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,1546,5,13,3,4,0,0,0,2,2,2,1,5,1,5.2
True,2002-12-29,14,-15,TORONTO RAPTORS,AWAY,LOS ANGELES LAKERS,LOSS,1556,5,12,3,4,1,1,0,4,1,2,0,3,1,8.1
True,2002-12-30,4,-22,TORONTO RAPTORS,AWAY,UTAH JAZZ,LOSS,1209,1,4,0,1,2,3,0,3,1,2,0,4,1,0.4
True,2003-01-01,7,-7,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,1695,3,12,1,6,0,0,4,2,3,2,0,1,3,5.1
True,2003-01-03,8,2,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,2181,4,15,0,6,0,0,0,0,7,3,0,2,3,3.8
True,2003-01-05,5,-5,TORONTO RAPTORS,HOME,NEW ORLEANS HORNETS,LOSS,1246,2,7,0,3,1,1,1,2,2,0,0,1,1,2.2
True,2003-01-06,7,-10,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1748,3,11,1,2,0,0,2,2,3,1,0,1,2,3.8
True,2003-01-10,1,-2,TORONTO RAPTORS,HOME,NEW JERSEY NETS,LOSS,854,0,2,0,0,1,2,0,0,1,0,0,1,2,-1.9
True,2003-01-12,13,18,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1417,5,12,3,6,0,0,0,0,4,2,0,0,1,11.0
True,2003-01-19,7,-6,TORONTO RAPTORS,HOME,ORLANDO MAGIC,LOSS,1650,3,13,1,5,0,0,0,1,1,3,0,2,3,-0.1
True,2003-01-20,6,-6,TORONTO RAPTORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,744,3,6,0,2,0,0,0,0,0,1,0,1,0,3.0
True,2003-01-22,12,-10,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,1169,4,10,2,4,2,4,0,1,1,1,0,1,2,6.0
