active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,10,9,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1133,3,8,1,2,3,4,0,2,3,1,0,2,3,5.7
True,2002-11-01,17,-14,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,1897,6,14,2,3,3,3,2,5,1,0,0,1,0,12.2
True,2002-11-02,5,-2,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,2537,2,10,0,3,1,1,1,5,1,4,2,2,1,4.7
True,2002-11-04,23,12,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,2506,8,17,1,2,6,6,1,4,2,5,1,0,3,22.1
True,2002-11-06,20,3,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,LOSS,2189,8,16,4,6,0,0,0,5,1,1,0,5,3,9.0
True,2002-11-09,22,-23,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2286,9,19,1,5,3,4,0,5,1,2,1,3,3,12.6
True,2002-11-12,15,7,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,WIN,2408,4,12,0,2,7,8,1,6,4,1,0,1,4,11.5
True,2002-11-15,19,10,TORONTO RAPTORS,HOME,DENVER NUGGETS,WIN,2487,6,15,3,4,4,6,0,2,6,2,0,2,4,13.3
True,2002-11-17,7,-9,TORONTO RAPTORS,HOME,UTAH JAZZ,LOSS,2252,2,11,1,6,2,2,1,3,1,1,1,4,1,-0.3
True,2002-11-18,17,-24,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,1666,4,8,3,5,6,6,2,4,2,3,0,3,4,15.4
True,2002-11-20,22,2,TORONTO RAPTORS,HOME,INDIANA PACERS,LOSS,2195,9,16,2,5,2,2,0,5,1,0,0,2,5,12.6
True,2002-11-22,13,-13,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,2446,5,19,1,6,2,4,5,5,2,3,0,2,3,7.1
True,2002-11-24,12,-13,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,2429,4,13,3,8,1,2,0,4,5,2,1,3,4,6.9
True,2002-11-27,7,-14,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,1837,3,10,1,4,0,0,1,3,3,0,0,1,4,2.3
True,2002-11-29,4,-13,TORONTO RAPTORS,AWAY,BOSTON CELTICS,WIN,776,2,3,0,1,0,0,0,0,1,0,0,0,3,2.2
True,2002-12-06,23,11,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1417,9,15,3,7,2,3,1,1,2,0,0,3,0,15.1
True,2002-12-08,7,-6,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,984,3,7,1,3,0,0,0,0,2,0,0,2,0,2.7
True,2002-12-11,24,-4,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,2421,9,20,0,3,6,7,0,5,4,4,1,2,3,19.0
True,2002-12-13,9,-13,TORONTO RAPTORS,HOME,SEATTLE SUPERSONICS,LOSS,2234,3,11,1,3,2,2,2,0,1,1,0,1,3,3.4
True,2002-12-15,18,-3,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,LOSS,2346,6,13,3,6,3,4,1,0,5,0,0,4,1,10.7
True,2002-12-17,23,13,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,2684,8,19,0,3,7,9,1,3,6,1,2,0,3,19.1
True,2002-12-18,13,-8,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,2547,5,15,1,7,2,3,2,3,3,3,0,2,3,8.3
True,2002-12-20,19,-21,TORONTO RAPTORS,HOME,MIAMI HEAT,LOSS,2366,7,14,1,2,4,4,1,0,1,1,0,2,2,11.6
True,2002-12-22,12,-3,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,2002,5,13,1,1,1,2,0,1,1,1,0,2,6,2.1
True,2002-12-26,27,-7,TORONTO RAPTORS,AWAY,SEATTLE SUPERSONICS,LOSS,2386,10,18,4,6,3,3,1,5,3,1,1,3,2,20.6
True,2002-12-27,17,-8,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,2151,6,15,3,7,2,6,0,0,4,1,0,0,4,9.5
True,2002-12-29,10,-17,TORONTO RAPTORS,AWAY,LOS ANGELES LAKERS,LOSS,2198,5,10,0,2,0,2,0,3,5,1,0,1,2,7.8
True,2002-12-30,18,-7,TORONTO RAPTORS,AWAY,UTAH JAZZ,LOSS,2140,5,15,4,6,4,4,1,0,5,2,1,1,3,14.2
True,2003-01-01,13,-12,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,1811,6,15,1,3,0,0,1,0,1,1,0,3,5,2.3
True,2003-01-03,2,3,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,250,1,2,0,1,0,0,0,1,1,0,0,0,1,1.6
True,2003-01-20,22,4,TORONTO RAPTORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1650,8,15,3,5,3,4,0,3,3,0,0,2,3,14.1
True,2003-01-22,19,2,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2139,7,17,2,5,3,3,4,2,4,1,0,0,2,16.3
True,2003-01-26,13,0,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,1741,6,13,1,3,0,0,1,5,2,0,0,3,5,4.9
True,2003-01-29,16,-20,TORONTO RAPTORS,AWAY,NEW ORLEANS HORNETS,LOSS,1916,6,14,1,3,3,3,1,3,2,2,0,2,2,10.8
True,2003-01-31,17,4,TORONTO RAPTORS,HOME,INDIANA PACERS,WIN,1886,7,11,0,2,3,4,0,7,0,0,0,3,3,9.6
True,2003-02-02,30,10,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,WIN,1992,9,16,4,6,8,8,2,4,1,2,1,0,4,26.8
True,2003-02-04,13,5,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,2105,3,12,1,3,6,7,2,1,2,0,0,2,5,4.5
