active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-01-20,0,-13,BOSTON CELTICS,AWAY,PHILADELPHIA 76ERS,WIN,418,0,1,0,0,0,0,0,0,1,0,0,1,3,-2.2
True,2003-01-22,0,-5,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,LOSS,248,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2003-01-24,2,10,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,892,0,2,0,0,2,2,0,3,1,0,0,0,0,2.2
True,2003-01-26,6,9,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,779,3,4,0,0,0,0,0,0,1,1,0,0,3,4.9
True,2003-01-28,0,-6,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,1370,0,3,0,0,0,0,2,5,3,0,0,2,2,0.1
True,2003-01-31,0,-22,BOSTON CELTICS,HOME,DETROIT PISTONS,LOSS,794,0,2,0,0,0,0,1,3,1,0,0,0,4,-0.7
True,2003-02-01,1,-10,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,297,0,1,0,0,1,2,0,0,0,0,0,1,1,-1.5
True,2003-02-03,0,-3,BOSTON CELTICS,AWAY,NEW ORLEANS HORNETS,LOSS,704,0,1,0,0,0,0,1,3,1,0,0,1,2,-0.2
True,2003-02-05,4,3,BOSTON CELTICS,HOME,SEATTLE SUPERSONICS,WIN,898,1,4,0,0,2,2,0,3,0,0,0,0,1,2.1
True,2003-02-11,2,1,BOSTON CELTICS,AWAY,SEATTLE SUPERSONICS,WIN,1258,1,1,0,0,0,0,2,5,1,0,0,0,2,4.5
True,2003-02-13,2,7,BOSTON CELTICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1022,1,4,0,1,0,0,2,2,3,0,0,0,3,2.5
True,2003-02-15,0,2,BOSTON CELTICS,AWAY,LOS ANGELES CLIPPERS,WIN,841,0,0,0,0,0,0,0,4,0,0,0,1,2,-0.6
True,2003-02-16,3,-11,BOSTON CELTICS,AWAY,PHOENIX SUNS,LOSS,1099,1,3,0,1,1,2,2,3,0,0,0,1,1,1.8
True,2003-02-18,6,5,BOSTON CELTICS,AWAY,GOLDEN STATE WARRIORS,WIN,587,2,2,0,0,2,2,0,1,0,0,0,0,3,4.5
True,2003-02-20,0,-7,BOSTON CELTICS,AWAY,SACRAMENTO KINGS,LOSS,1023,0,4,0,1,0,0,0,1,0,0,0,0,1,-2.9
True,2003-02-24,0,-3,BOSTON CELTICS,HOME,HOUSTON ROCKETS,LOSS,245,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2003-02-26,0,2,BOSTON CELTICS,HOME,INDIANA PACERS,WIN,486,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2003-02-28,2,4,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,886,1,2,0,0,0,0,2,2,1,0,1,0,3,3.2
True,2003-03-02,0,2,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,364,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2003-03-03,0,-10,BOSTON CELTICS,AWAY,MEMPHIS GRIZZLIES,WIN,310,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
