active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,7,-9,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1107,2,9,1,3,2,2,2,1,1,0,0,0,0,3.9
True,2002-10-31,10,49,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,2071,4,8,2,5,0,0,0,5,5,0,0,1,2,9.2
True,2002-11-02,2,9,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,LOSS,1175,1,6,0,3,0,0,0,2,1,0,0,1,5,-3.5
True,2002-11-05,13,-1,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1472,5,9,1,2,2,2,0,2,4,1,0,0,2,12.3
True,2002-11-06,9,1,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,1446,2,4,0,1,5,5,0,4,6,0,0,1,5,9.4
True,2002-11-08,4,-8,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,WIN,1060,1,4,0,2,2,2,0,0,0,0,0,0,3,0.4
True,2002-11-09,12,6,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,WIN,1542,6,13,0,2,0,0,1,1,5,2,0,3,2,8.0
True,2002-11-12,3,4,WASHINGTON WIZARDS,HOME,SEATTLE SUPERSONICS,LOSS,907,1,2,0,1,1,1,0,0,1,0,0,0,1,2.3
True,2002-11-14,18,10,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1759,6,9,0,1,6,8,1,1,5,0,0,0,3,16.6
True,2002-11-16,9,25,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,1580,4,5,1,2,0,0,0,2,4,1,0,0,3,10.3
True,2002-11-17,8,-17,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1562,2,5,2,4,2,2,0,0,5,0,0,0,4,7.2
True,2002-11-22,14,5,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,1571,5,10,3,4,1,1,1,2,6,1,0,0,3,14.3
True,2002-11-23,11,-4,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1826,5,10,1,2,0,0,0,1,5,1,0,0,2,10.0
True,2002-11-26,4,-8,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1645,1,9,0,3,2,2,1,4,5,2,0,3,4,0.9
True,2002-11-29,8,-16,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1795,3,7,0,2,2,4,0,2,4,0,0,2,3,3.7
True,2002-11-30,2,-6,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,620,1,2,0,0,0,0,0,0,0,0,0,1,3,-1.2
True,2002-12-03,2,17,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,1449,1,4,0,1,0,0,0,3,4,0,0,0,1,2.9
True,2002-12-04,2,-12,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,WIN,976,1,4,0,0,0,0,1,0,4,0,0,1,1,1.7
True,2002-12-06,2,-6,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,960,0,3,0,0,2,3,0,2,0,0,0,3,0,-2.9
True,2002-12-07,4,2,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,WIN,976,2,6,0,1,0,0,0,1,1,0,0,0,0,1.6
True,2002-12-10,4,-2,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1074,2,5,0,2,0,0,0,1,1,0,0,1,5,-0.7
True,2002-12-13,9,-12,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,1467,4,6,1,2,0,0,0,1,2,0,0,2,1,5.7
True,2002-12-15,7,-3,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,WIN,824,3,7,0,1,1,1,1,0,1,0,0,0,3,3.5
True,2002-12-17,10,12,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,WIN,1124,4,7,2,2,0,0,0,0,3,0,0,0,0,8.8
True,2002-12-18,7,12,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1553,2,6,1,5,2,2,0,1,6,1,0,2,0,7.1
True,2002-12-21,9,7,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,1257,3,9,0,3,3,4,0,1,5,1,0,0,2,7.5
True,2002-12-23,5,-8,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1875,2,10,1,4,0,0,0,3,2,0,0,0,4,-0.5
True,2002-12-26,4,-6,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,LOSS,963,1,4,0,1,2,2,0,0,3,0,0,0,2,2.9
True,2002-12-28,13,6,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,WIN,1477,5,8,3,4,0,0,0,1,3,0,0,0,0,11.8
True,2002-12-30,7,-8,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,1340,3,4,1,1,0,0,0,1,4,0,0,1,3,6.3
True,2002-12-31,6,-7,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,WIN,1358,2,6,0,2,2,2,1,1,3,0,0,1,2,3.9
True,2003-01-02,14,-1,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,1350,5,6,0,1,4,4,0,2,2,0,0,2,0,11.8
True,2003-01-04,0,-17,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1034,0,8,0,5,0,0,0,4,2,1,0,3,1,-5.4
True,2003-01-06,7,-11,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,WIN,963,3,5,1,2,0,0,0,0,2,1,0,1,1,5.7
