active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-11-01,15,4,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2682,5,17,0,0,5,7,2,0,10,1,0,4,2,8.9
True,2002-11-02,15,-6,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,2251,5,17,0,4,5,6,2,4,10,2,0,5,3,10.1
True,2002-11-04,15,13,PHOENIX SUNS,HOME,DETROIT PISTONS,LOSS,2535,7,15,0,1,1,6,2,4,10,0,0,4,3,9.7
True,2002-11-06,6,-15,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1889,3,11,0,1,0,0,0,2,11,3,0,4,2,6.0
True,2002-11-08,21,13,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,2494,7,16,2,3,5,7,1,3,9,1,1,5,2,15.6
True,2002-11-13,19,-1,PHOENIX SUNS,AWAY,DENVER NUGGETS,WIN,2327,7,15,1,6,4,4,0,2,8,1,1,5,4,12.6
True,2002-11-15,20,4,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,2427,6,16,0,4,8,8,0,0,11,2,1,5,0,16.6
True,2002-11-19,18,-22,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1900,8,19,0,2,2,4,0,0,1,0,0,3,0,4.8
True,2002-11-22,39,-8,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,2169,12,25,6,8,9,10,1,0,5,2,0,2,5,28.1
True,2002-11-23,13,0,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2425,5,16,1,4,2,3,1,0,14,1,1,5,2,9.8
True,2002-11-25,11,7,PHOENIX SUNS,HOME,MILWAUKEE BUCKS,WIN,2457,5,12,0,2,1,5,2,2,12,1,0,1,3,12.2
True,2002-11-27,12,7,PHOENIX SUNS,HOME,NEW JERSEY NETS,WIN,2539,4,21,1,7,3,4,0,5,9,3,0,3,1,5.9
True,2002-11-29,43,5,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2630,18,34,2,8,5,5,2,3,5,3,0,0,2,34.4
True,2002-11-30,32,-5,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,2532,14,30,1,7,3,5,2,3,6,4,0,3,0,23.3
True,2002-12-02,18,-8,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,2958,8,18,1,4,1,1,2,3,8,1,1,3,4,13.6
True,2002-12-04,22,-1,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,2162,8,19,0,0,6,7,0,2,4,1,0,4,0,11.9
True,2002-12-06,19,9,PHOENIX SUNS,HOME,INDIANA PACERS,WIN,2371,8,20,1,2,2,2,0,3,9,0,0,2,2,12.6
True,2002-12-08,35,-3,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,2292,15,29,2,4,3,5,1,0,7,2,1,3,2,24.4
True,2002-12-09,16,-20,PHOENIX SUNS,AWAY,NEW JERSEY NETS,LOSS,1941,7,18,0,4,2,3,0,3,4,0,0,3,2,5.7
True,2002-12-11,18,2,PHOENIX SUNS,AWAY,BOSTON CELTICS,WIN,2407,8,19,1,2,1,2,0,0,6,0,0,4,3,6.5
True,2002-12-13,28,11,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,2638,12,21,4,6,0,0,0,1,10,1,0,3,4,21.8
True,2002-12-14,21,14,PHOENIX SUNS,AWAY,ATLANTA HAWKS,WIN,1921,8,19,1,5,4,4,0,3,10,4,0,4,2,18.0
True,2002-12-16,12,4,PHOENIX SUNS,HOME,ORLANDO MAGIC,WIN,2233,4,11,2,7,2,2,0,2,9,0,0,3,2,9.0
True,2002-12-17,9,-20,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1764,4,16,0,2,1,2,1,1,4,1,0,5,1,-1.6
True,2002-12-20,16,21,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2078,7,13,0,2,2,2,0,2,8,1,0,5,2,11.1
True,2002-12-21,28,5,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,2290,9,22,1,2,9,10,0,1,7,0,0,5,3,14.8
True,2002-12-23,8,8,PHOENIX SUNS,HOME,SEATTLE SUPERSONICS,WIN,2384,3,12,0,3,2,2,0,3,12,0,0,3,1,6.7
True,2002-12-27,26,14,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,2207,11,21,1,5,3,5,0,5,5,2,0,1,2,20.1
True,2002-12-29,12,13,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,WIN,1870,6,13,0,2,0,0,2,0,8,2,1,3,3,10.8
True,2002-12-30,17,-7,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2066,6,17,3,5,2,4,0,2,5,0,0,5,4,4.2
True,2003-01-02,12,16,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,2476,4,13,0,0,4,5,0,4,10,1,1,2,3,10.8
True,2003-01-04,17,1,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,2426,4,17,1,2,8,11,2,6,10,0,0,4,2,10.9
True,2003-01-05,32,-12,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2696,12,27,2,5,6,10,0,2,6,0,0,1,1,19.7
True,2003-01-07,20,4,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2464,7,18,0,3,6,10,1,2,7,2,0,4,3,11.6
True,2003-01-08,29,0,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,2413,12,21,0,4,5,7,0,1,10,1,0,2,1,24.2
True,2003-01-10,25,6,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,2188,7,22,0,2,11,11,2,1,11,1,0,3,1,19.4
True,2003-01-12,38,6,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2607,13,24,0,3,12,13,1,1,8,0,0,5,1,27.2
True,2003-01-14,29,-10,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,2948,11,26,1,2,6,6,0,8,7,1,0,3,3,19.3
True,2003-01-15,32,-6,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,2608,12,29,3,7,5,5,1,4,6,1,0,2,3,20.4
True,2003-01-17,41,5,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2763,15,28,4,6,7,8,1,3,11,1,1,0,4,36.4
True,2003-01-20,22,-5,PHOENIX SUNS,AWAY,NEW ORLEANS HORNETS,LOSS,2707,6,21,1,6,9,11,1,1,11,2,1,7,4,11.7
