active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,9,21,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,598,3,3,0,0,3,4,1,1,1,2,0,0,0,11.4
True,2002-10-31,0,-8,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,623,0,3,0,0,0,0,0,1,1,1,0,0,4,-1.7
True,2002-11-02,0,-2,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,206,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2002-11-03,7,-8,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,1556,3,6,1,3,0,0,0,1,2,1,0,4,2,1.9
True,2002-11-06,16,8,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,WIN,2233,7,12,0,1,2,2,0,5,5,1,0,0,1,16.0
True,2002-11-08,5,-13,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1712,2,8,0,1,1,2,2,1,5,1,0,1,2,4.2
True,2002-11-09,15,14,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,1812,7,11,1,2,0,0,0,3,4,3,0,2,0,14.8
True,2002-11-11,5,-7,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1476,2,7,1,4,0,0,0,3,2,1,0,4,4,-1.4
True,2002-11-12,12,3,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,1811,4,7,2,3,2,2,2,1,5,0,0,3,1,10.5
True,2002-11-15,9,24,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,1423,4,7,0,0,1,1,1,2,5,1,0,2,3,8.3
True,2002-11-20,13,13,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,WIN,2015,6,8,0,1,1,1,0,2,5,0,1,3,4,10.0
True,2002-11-21,8,-9,PORTLAND TRAIL BLAZERS,AWAY,SEATTLE SUPERSONICS,WIN,1249,4,9,0,1,0,0,1,1,3,0,0,2,2,3.6
True,2002-11-23,11,5,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,1992,5,10,0,0,1,2,1,4,4,1,0,5,2,5.5
True,2002-11-26,14,8,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,1923,6,14,0,0,2,2,3,3,4,2,0,5,4,7.8
True,2002-11-30,9,-28,PORTLAND TRAIL BLAZERS,HOME,NEW JERSEY NETS,LOSS,1613,4,9,1,2,0,0,0,2,4,0,1,3,3,4.2
True,2002-12-04,7,-12,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,2103,3,14,1,6,0,0,1,4,6,0,0,4,0,0.5
True,2002-12-06,8,24,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,WIN,1668,4,9,0,1,0,0,0,3,4,5,0,1,0,11.0
True,2002-12-08,11,9,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,WIN,1877,5,7,0,1,1,2,1,7,4,1,0,4,3,9.1
True,2002-12-10,14,10,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,WIN,1610,6,7,0,0,2,2,2,5,5,2,1,3,2,16.8
True,2002-12-11,16,-7,PORTLAND TRAIL BLAZERS,AWAY,NEW JERSEY NETS,LOSS,1615,5,13,1,4,5,6,0,3,4,2,1,2,2,12.1
True,2002-12-13,4,-14,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,1327,2,5,0,0,0,0,0,1,3,4,0,5,3,1.5
True,2002-12-14,10,7,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2691,5,11,0,1,0,0,1,4,9,1,0,6,2,6.7
True,2002-12-17,11,18,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS HORNETS,WIN,2190,4,8,1,2,2,2,0,4,8,2,0,3,2,12.0
True,2002-12-18,11,1,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,WIN,1880,4,8,2,3,1,2,0,6,5,0,0,4,2,7.1
True,2002-12-20,9,-2,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,WIN,1624,4,9,1,3,0,0,0,2,7,5,0,4,3,9.6
True,2002-12-21,3,-6,PORTLAND TRAIL BLAZERS,HOME,SEATTLE SUPERSONICS,WIN,1982,1,7,1,2,0,0,2,3,0,4,0,3,1,1.4
True,2002-12-27,23,10,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,2147,7,16,1,5,8,8,2,6,5,4,0,3,4,20.7
True,2002-12-28,20,14,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2403,8,19,2,4,2,2,1,5,4,5,0,6,4,12.3
True,2002-12-30,8,18,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,WIN,2037,3,6,0,1,2,2,0,4,3,1,0,2,2,6.5
True,2002-12-31,15,-15,PORTLAND TRAIL BLAZERS,AWAY,CHICAGO BULLS,LOSS,1716,6,10,3,3,0,0,1,4,3,2,2,2,3,14.6
True,2003-01-03,17,17,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,2392,5,9,2,4,5,7,3,5,4,6,2,5,1,20.3
True,2003-01-05,12,14,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,1684,4,10,0,4,4,4,2,5,5,0,1,2,3,10.5
True,2003-01-07,11,7,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,2203,4,13,2,5,1,1,0,7,4,3,0,2,1,9.0
True,2003-01-09,19,8,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,2270,7,15,2,5,3,7,0,4,3,2,0,1,1,13.6
True,2003-01-10,7,1,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1874,2,7,2,4,1,1,2,1,4,1,0,2,1,6.0
True,2003-01-13,16,16,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,WIN,1497,6,8,2,2,2,2,0,6,6,1,0,1,0,18.8
True,2003-01-15,18,9,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,WIN,2012,9,17,0,3,0,0,0,2,8,0,1,2,2,13.8
True,2003-01-18,8,-9,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2495,3,11,0,6,2,4,1,3,5,2,0,2,1,5.4
True,2003-01-20,14,2,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,1676,4,10,0,0,6,6,2,5,5,1,1,2,2,13.9
