active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,22,15,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,2638,8,19,2,3,4,6,2,6,8,4,2,4,3,20.1
True,2002-11-01,9,-12,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,LOSS,2083,4,16,0,4,1,3,0,3,3,0,0,3,2,-2.2
True,2002-11-02,8,1,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1869,2,15,1,4,3,4,0,4,3,1,0,2,2,-0.6
True,2002-11-04,39,5,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,2567,12,27,6,9,9,11,0,8,2,1,0,0,3,27.7
True,2002-11-05,14,-17,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,1871,5,15,0,2,4,4,2,1,1,0,0,1,3,5.7
True,2002-11-08,31,-6,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS HORNETS,LOSS,2880,11,22,0,0,9,10,1,3,3,2,0,6,2,18.5
True,2002-11-09,28,-8,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,LOSS,2745,8,26,1,6,11,13,6,7,5,4,0,6,4,18.4
True,2002-11-11,9,-6,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,WIN,1297,3,9,2,3,1,2,1,1,3,0,0,2,3,3.4
True,2002-11-13,16,-11,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2261,7,21,2,6,0,0,2,4,6,1,0,0,2,11.1
True,2002-11-15,11,-2,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,2653,5,17,1,5,0,0,3,1,8,1,0,2,5,6.1
True,2002-11-16,18,27,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,WIN,1961,7,11,0,1,4,5,1,2,5,0,0,4,2,12.7
True,2002-11-18,4,-19,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,LOSS,1630,1,8,0,0,2,4,3,2,3,0,0,3,0,-0.2
True,2002-11-20,12,8,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,2177,4,16,0,1,4,4,2,3,3,0,0,2,3,3.6
True,2002-11-22,21,-6,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,LOSS,2455,6,16,3,8,6,7,1,4,3,2,0,5,4,11.2
True,2002-11-27,17,-9,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,LOSS,2217,7,21,3,7,0,0,3,5,2,1,1,3,3,7.6
True,2002-11-29,2,-9,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,WIN,1569,0,7,0,1,2,2,2,1,3,2,0,1,1,1.5
True,2002-11-30,12,4,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,WIN,2306,5,14,1,3,1,2,0,5,2,1,0,2,2,4.9
True,2002-12-03,11,11,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,1516,4,7,1,1,2,3,0,3,4,0,0,3,0,8.0
True,2002-12-05,22,-13,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2277,8,16,3,6,3,3,1,5,3,2,0,2,3,17.1
True,2002-12-07,22,-2,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,LOSS,1860,8,14,3,6,3,3,2,2,2,1,0,0,5,17.8
True,2002-12-10,26,5,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,2681,10,17,6,6,0,0,0,3,4,2,1,3,0,21.5
True,2002-12-13,4,-20,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,1109,1,3,1,3,1,2,0,0,2,0,0,1,3,1.1
True,2002-12-14,17,-16,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1828,6,12,4,8,1,2,0,3,1,1,0,5,4,6.6
True,2002-12-16,6,4,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,654,2,7,0,1,2,4,2,2,4,0,0,1,3,3.7
True,2002-12-18,9,0,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS HORNETS,WIN,2103,2,8,1,2,4,4,0,3,4,0,1,0,1,8.2
True,2002-12-20,23,-4,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2369,10,19,3,6,0,0,1,4,4,2,0,3,3,16.2
True,2002-12-22,18,-6,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1781,6,15,4,7,2,4,1,5,1,3,0,2,2,12.2
True,2002-12-27,11,5,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,2270,4,12,2,5,1,1,2,6,6,1,0,0,4,11.0
True,2002-12-28,20,24,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,2319,9,19,0,2,2,3,1,2,4,1,1,2,4,12.1
True,2002-12-30,26,13,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,WIN,2328,7,18,3,9,9,12,1,3,2,0,0,4,3,12.8
True,2003-01-03,4,-11,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,1495,1,8,0,3,2,2,1,3,0,2,0,2,1,0.0
True,2003-01-04,8,-4,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1489,3,7,0,0,2,2,1,2,2,0,0,2,1,4.6
True,2003-01-06,10,1,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1220,3,8,1,3,3,3,0,1,2,0,0,1,2,5.5
True,2003-01-08,32,-11,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2479,12,23,5,7,3,4,0,5,2,0,1,3,3,19.7
True,2003-01-10,9,0,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1534,4,8,1,2,0,0,0,1,2,0,0,3,2,2.9
True,2003-01-11,14,-14,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,1494,5,14,1,4,3,3,0,1,4,1,0,2,3,7.1
True,2003-01-13,9,-11,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,1146,3,10,0,1,3,3,3,2,2,0,0,2,1,4.9
True,2003-01-15,16,25,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,2207,6,16,2,4,2,2,1,3,1,0,0,1,2,7.7
True,2003-01-17,9,-5,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1287,3,10,1,3,2,2,2,1,1,0,0,2,4,2.0
True,2003-01-20,28,-22,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2182,10,24,2,10,6,8,2,4,2,2,0,2,2,17.6
True,2003-01-22,17,8,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,2078,6,11,1,3,4,4,1,4,2,0,1,1,2,13.9
True,2003-01-23,13,-1,GOLDEN STATE WARRIORS,HOME,NEW JERSEY NETS,WIN,1612,5,10,1,2,2,2,0,1,3,0,0,1,3,8.2
True,2003-01-25,15,19,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2345,6,14,0,3,3,4,0,6,6,0,0,2,1,10.8
True,2003-01-28,7,8,GOLDEN STATE WARRIORS,AWAY,SEATTLE SUPERSONICS,LOSS,1649,3,10,1,4,0,2,2,6,1,1,0,3,4,0.7
True,2003-01-31,15,-5,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,2056,7,17,1,2,0,0,3,4,4,1,0,2,4,9.4
True,2003-02-01,19,-7,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,2400,9,17,1,6,0,0,1,5,6,1,0,3,4,13.5
True,2003-02-03,11,5,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,1786,4,11,1,3,2,2,2,1,1,2,1,0,2,9.2
True,2003-02-05,16,-6,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,LOSS,1957,6,17,1,4,3,4,2,4,1,0,0,2,0,7.4
True,2003-02-11,24,-1,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,WIN,1942,8,17,3,6,5,6,1,3,2,0,0,2,2,15.1
True,2003-02-12,18,-3,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,WIN,2022,8,14,1,2,1,2,0,6,2,1,0,4,3,10.0
True,2003-02-14,25,9,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2331,9,18,2,4,5,8,4,4,0,2,0,1,4,18.2
True,2003-02-16,18,-13,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2052,7,13,4,7,0,0,1,1,1,0,2,1,1,13.4
True,2003-02-18,9,-6,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,LOSS,1985,3,10,1,5,2,2,3,3,4,0,1,4,4,4.1
True,2003-02-19,6,-24,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1128,3,10,0,3,0,0,0,2,3,0,0,2,2,0.1
True,2003-02-21,11,9,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1809,5,17,1,2,0,0,5,3,3,1,1,2,4,5.7
True,2003-02-23,20,5,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,1848,8,15,1,3,3,4,2,5,0,2,0,2,0,15.2
True,2003-02-24,5,-8,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,WIN,1303,2,9,0,1,1,2,3,0,3,1,0,0,0,4.3
