active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-11-02,5,-4,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,WIN,1374,2,6,0,0,1,2,1,4,1,2,0,5,2,0.0
True,2002-11-05,1,-15,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,LOSS,927,0,3,0,0,1,4,1,2,1,0,0,1,0,-1.3
True,2002-11-09,20,5,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,WIN,2167,8,14,0,0,4,7,2,8,6,0,0,0,4,18.6
True,2002-11-12,12,9,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1960,6,11,0,0,0,0,2,7,2,1,1,2,3,10.1
True,2002-11-15,14,-2,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,2465,5,15,0,0,4,4,3,3,5,0,0,3,3,7.8
True,2002-11-17,6,1,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,1629,3,7,0,0,0,0,2,8,2,0,0,4,3,2.3
True,2002-11-19,8,6,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,WIN,1631,3,9,0,0,2,3,2,6,0,1,0,0,1,6.3
True,2002-11-21,2,-13,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,862,1,1,0,0,0,0,0,1,0,0,0,1,3,-0.2
True,2002-11-22,12,-7,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,1434,5,10,0,0,2,2,2,1,1,0,0,1,0,8.4
True,2002-11-24,12,13,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2533,6,11,0,0,0,1,4,5,2,1,1,3,4,9.1
True,2002-11-26,8,0,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1805,2,6,0,0,4,4,1,2,0,2,0,1,3,5.7
True,2002-11-27,4,2,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,WIN,2126,2,7,0,0,0,0,3,5,2,0,1,2,5,1.6
True,2002-11-29,12,18,HOUSTON ROCKETS,AWAY,SEATTLE SUPERSONICS,WIN,2164,5,12,0,0,2,2,2,8,1,2,1,2,1,10.4
True,2002-12-01,4,-26,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1630,2,9,0,0,0,0,4,4,2,2,1,3,0,3.6
True,2002-12-03,10,3,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,1127,5,9,0,0,0,0,2,2,1,1,0,1,5,6.4
True,2002-12-06,29,1,HOUSTON ROCKETS,AWAY,NEW ORLEANS HORNETS,LOSS,2252,12,22,0,0,5,6,5,5,5,2,0,2,5,24.5
True,2002-12-07,14,17,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,1955,5,10,0,0,4,5,1,6,6,1,0,3,3,12.1
True,2002-12-10,9,-2,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,WIN,1612,4,13,0,0,1,1,2,6,1,0,0,1,0,4.4
True,2002-12-13,9,2,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1990,3,7,0,0,3,4,4,6,1,1,1,2,1,9.5
True,2002-12-16,6,-1,HOUSTON ROCKETS,AWAY,MIAMI HEAT,WIN,1440,3,8,0,0,0,0,2,3,0,0,0,3,3,-0.3
True,2002-12-20,11,11,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,WIN,1312,4,9,0,0,3,4,4,2,0,0,0,2,0,7.3
True,2002-12-21,0,3,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1395,0,4,0,0,0,2,4,9,1,0,0,1,2,0.8
True,2002-12-28,10,-13,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,2324,4,7,0,0,2,5,2,5,0,1,2,2,2,8.0
True,2002-12-30,12,-9,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2059,5,11,0,0,2,2,2,7,2,1,0,2,1,9.8
True,2002-12-31,6,-1,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,2104,3,12,0,0,0,0,4,4,1,3,0,1,4,3.9
True,2003-01-02,20,-18,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,2715,9,18,0,0,2,2,3,3,7,1,0,2,4,16.3
True,2003-01-04,9,-8,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,1826,3,5,0,0,3,4,3,5,1,1,0,1,3,9.4
True,2003-01-06,12,2,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,2257,5,10,0,0,2,3,4,4,2,1,0,4,6,6.6
True,2003-01-08,12,-4,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,2233,5,15,0,0,2,2,3,7,2,2,1,4,2,7.0
True,2003-01-10,11,-2,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1943,4,9,0,0,3,5,3,9,2,1,0,1,2,10.9
True,2003-01-12,12,4,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,LOSS,1241,6,9,0,0,0,1,3,4,0,3,0,3,4,9.4
True,2003-01-15,4,13,PHILADELPHIA 76ERS,HOME,NEW JERSEY NETS,WIN,1532,2,6,0,0,0,0,1,4,3,1,0,1,3,3.4
True,2003-01-17,4,-17,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1045,2,4,0,0,0,0,1,1,0,0,0,1,1,1.6
True,2003-01-18,4,-3,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1045,2,9,0,0,0,0,3,3,1,0,0,1,1,0.8
True,2003-01-20,8,7,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,LOSS,1579,4,7,0,0,0,1,1,8,1,0,1,1,3,6.6
True,2003-01-22,10,11,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1930,4,8,0,0,2,2,2,5,1,2,0,1,2,9.8
True,2003-02-05,2,-16,PHILADELPHIA 76ERS,HOME,NEW JERSEY NETS,LOSS,816,1,3,0,0,0,0,2,2,0,1,0,1,1,1.9
