active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,4,-12,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,1145,2,7,0,0,0,0,3,2,0,0,0,0,3,1.4
True,2002-11-01,7,-6,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,2387,2,9,0,0,3,5,2,12,2,2,1,0,3,8.6
True,2002-11-02,16,-1,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2389,7,12,0,0,2,2,3,6,1,1,1,2,5,12.7
True,2002-11-04,11,-5,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2303,4,11,0,0,3,4,4,4,0,1,0,2,2,6.7
True,2002-11-06,0,5,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1114,0,4,0,0,0,0,0,4,0,1,0,0,0,-0.6
True,2002-11-08,2,-6,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,953,1,2,0,0,0,0,1,3,1,1,0,2,4,0.7
True,2002-11-10,4,-8,NEW YORK KNICKS,HOME,NEW ORLEANS HORNETS,LOSS,2058,1,5,0,0,2,2,5,6,2,1,0,0,5,6.6
True,2002-11-12,17,-20,NEW YORK KNICKS,HOME,UTAH JAZZ,LOSS,1879,6,9,0,0,5,6,4,8,0,0,1,1,5,15.6
True,2002-11-16,2,-3,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,1314,1,6,0,0,0,0,1,3,1,1,0,1,1,0.1
True,2002-11-18,8,-10,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1999,3,6,0,0,2,4,3,4,0,3,0,0,2,9.7
True,2002-11-22,6,-3,NEW YORK KNICKS,AWAY,NEW ORLEANS HORNETS,LOSS,2513,1,5,0,0,4,8,3,8,2,1,1,0,2,8.1
True,2002-11-24,0,-10,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1036,0,5,0,0,0,0,2,0,3,0,0,1,2,-1.8
True,2002-11-27,4,14,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,1551,0,5,0,0,4,4,3,6,1,0,2,0,0,6.5
True,2002-11-30,4,-2,NEW YORK KNICKS,HOME,NEW ORLEANS HORNETS,WIN,1689,1,4,0,0,2,2,3,8,1,1,0,2,2,5.0
True,2002-12-02,8,25,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1387,2,6,0,0,4,4,2,8,0,0,0,0,0,8.4
True,2002-12-04,2,-23,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1020,1,2,0,0,0,0,1,3,0,0,0,0,1,2.2
True,2002-12-06,10,-9,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,955,4,4,0,0,2,2,3,4,0,0,1,0,3,11.6
True,2002-12-07,4,-7,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,1001,1,3,0,0,2,2,0,6,0,0,0,0,1,3.7
True,2002-12-10,3,10,NEW YORK KNICKS,HOME,SEATTLE SUPERSONICS,WIN,1665,1,5,0,0,1,2,4,4,2,1,2,0,3,6.1
True,2002-12-13,3,-1,NEW YORK KNICKS,AWAY,MIAMI HEAT,WIN,1816,0,0,0,0,3,4,2,9,0,1,1,2,2,5.6
True,2002-12-14,2,-9,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1335,0,3,0,0,2,2,3,6,1,2,1,1,2,5.4
True,2002-12-17,9,-4,NEW YORK KNICKS,HOME,NEW JERSEY NETS,WIN,1509,4,8,0,0,1,2,7,6,3,2,0,1,3,13.2
True,2002-12-21,7,-4,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1320,3,7,0,0,1,2,1,5,1,0,2,2,3,4.0
True,2002-12-22,9,-1,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,1517,4,9,0,0,1,2,4,9,1,1,2,1,3,10.3
True,2002-12-27,8,20,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,1614,3,6,0,0,2,2,2,8,1,3,0,1,3,10.3
True,2002-12-28,2,-8,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,1286,1,4,0,0,0,0,1,3,2,0,0,0,2,1.8
True,2002-12-30,6,17,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,905,2,2,0,0,2,2,1,4,1,0,0,0,1,7.6
True,2003-01-03,7,2,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,1334,2,5,0,0,3,4,4,3,1,2,1,1,2,9.2
True,2003-01-05,8,14,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1515,3,4,0,0,2,2,1,8,1,0,0,1,3,8.0
True,2003-01-10,4,-1,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1439,2,4,0,0,0,0,2,1,0,1,0,0,3,3.5
True,2003-01-11,8,1,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1455,3,5,0,0,2,2,5,2,1,1,1,1,1,10.8
True,2003-01-13,2,-2,NEW YORK KNICKS,AWAY,CHICAGO BULLS,LOSS,1245,1,4,0,0,0,2,1,3,0,0,0,1,2,-1.4
True,2003-01-14,4,-4,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,1597,1,2,0,0,2,2,2,4,0,4,0,2,4,6.0
True,2003-01-17,1,-14,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,834,0,1,0,0,1,4,1,3,0,0,0,0,2,-0.1
True,2003-01-18,18,5,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1625,7,11,0,0,4,4,4,2,0,2,0,0,1,18.1
True,2003-01-20,0,4,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,1454,0,3,0,0,0,0,2,8,0,1,1,0,3,2.2
True,2003-01-22,16,7,NEW YORK KNICKS,HOME,DENVER NUGGETS,WIN,1961,7,11,0,0,2,4,7,2,2,0,0,2,2,14.4
True,2003-01-24,8,-7,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1804,4,8,0,0,0,0,3,4,1,0,1,1,3,6.5
True,2003-01-26,3,-9,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,458,1,2,0,0,1,2,1,4,0,0,0,0,1,3.1
True,2003-01-28,4,6,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1685,2,3,0,0,0,0,1,3,1,1,1,2,2,3.9
True,2003-01-29,0,0,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,1941,0,1,0,0,0,0,3,6,1,2,1,1,1,5.2
True,2003-01-31,3,-4,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,WIN,1252,1,7,0,0,1,2,3,4,1,0,0,0,2,1.3
True,2003-02-01,6,-9,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1273,3,4,0,0,0,0,0,4,1,0,0,1,1,4.9
True,2003-02-04,6,-2,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,WIN,1322,3,4,0,0,0,0,3,3,0,1,1,1,2,7.3
True,2003-02-06,2,-13,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,LOSS,714,1,3,0,0,0,0,0,1,1,1,0,1,2,0.5
True,2003-02-12,6,-7,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1074,1,4,0,0,4,4,2,2,0,0,0,0,1,5.2
