active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2002-10-30,2,17,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,1647,1,8,0,0,0,0,0,8,3,1,1,1,1,1.6
True,2002-11-01,18,0,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,WIN,1986,5,8,0,0,8,12,2,5,0,2,1,2,4,14.8
True,2002-11-02,6,-11,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,1338,1,6,0,0,4,4,4,1,0,0,2,2,4,3.1
True,2002-11-04,2,-12,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,1295,1,2,0,0,0,0,2,6,0,0,0,6,3,-3.0
True,2002-11-05,4,2,MINNESOTA TIMBERWOLVES,HOME,WASHINGTON WIZARDS,WIN,1349,2,5,0,0,0,0,2,6,3,0,0,1,0,5.6
True,2002-11-07,15,-1,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,WIN,2096,7,10,0,0,1,2,3,4,2,1,1,1,3,14.6
True,2002-11-09,6,4,MINNESOTA TIMBERWOLVES,HOME,BOSTON CELTICS,LOSS,1416,2,2,0,0,2,2,2,6,1,0,2,2,1,8.3
True,2002-11-11,2,-4,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,1362,1,3,0,0,0,0,1,6,0,0,0,1,3,0.6
True,2002-11-13,0,1,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS HORNETS,LOSS,766,0,3,0,0,0,0,1,2,1,0,0,0,1,-0.5
True,2002-11-15,2,4,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,WIN,1116,1,4,0,0,0,0,1,9,1,3,1,1,4,4.8
True,2002-11-16,4,-5,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,LOSS,663,2,2,0,0,0,0,2,0,1,0,0,1,0,4.5
True,2002-11-19,2,-8,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,646,0,1,0,0,2,2,0,0,1,1,1,0,2,2.9
True,2002-11-23,0,5,MINNESOTA TIMBERWOLVES,HOME,NEW JERSEY NETS,LOSS,214,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2002-11-27,0,2,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2002-12-01,0,-4,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,138,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2002-12-07,0,-2,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2002-12-09,0,5,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,WIN,471,0,4,0,0,0,0,2,0,0,0,1,1,0,-1.7
True,2002-12-12,2,-6,MINNESOTA TIMBERWOLVES,HOME,ATLANTA HAWKS,WIN,183,1,2,0,0,0,0,0,1,0,0,1,0,0,2.0
True,2002-12-17,0,0,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,127,0,2,0,0,0,0,0,1,1,0,0,0,0,-0.4
True,2002-12-27,0,0,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,WIN,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2002-12-28,2,0,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,LOSS,512,1,4,0,0,0,0,1,4,1,0,1,0,2,2.1
True,2002-12-30,0,2,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,WIN,233,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2003-01-12,0,6,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,668,0,2,0,0,0,0,0,0,0,0,1,0,1,-1.1
True,2003-01-15,0,6,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2003-01-31,2,2,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,208,0,0,0,0,2,2,0,0,0,0,0,1,1,0.6
True,2003-02-12,0,-2,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
