active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-29,18,14,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,2275,6,12,3,4,3,3,0,4,6,3,0,5,2,14.6
True,2003-10-31,16,-1,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,2509,5,9,0,1,6,8,0,4,7,3,1,5,2,14.9
True,2003-11-01,12,-20,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,LOSS,1620,5,12,1,6,1,1,2,2,1,0,1,5,4,2.4
True,2003-11-05,25,12,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,2251,11,25,3,11,0,0,2,10,10,3,0,4,3,21.1
True,2003-11-07,11,18,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1636,4,9,0,4,3,3,1,3,5,0,0,3,1,8.0
True,2003-11-08,22,-6,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1689,8,17,2,7,4,5,0,0,6,0,0,3,5,12.1
True,2003-11-11,36,-4,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2696,11,24,5,10,9,14,3,4,10,3,0,2,6,30.5
True,2003-11-14,27,2,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,3016,10,24,2,9,5,7,2,5,7,3,0,8,5,14.2
True,2003-11-15,14,-14,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,LOSS,2125,4,19,1,5,5,8,0,4,2,1,1,0,2,4.6
True,2003-11-17,23,8,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,WIN,2647,5,15,1,6,12,15,0,3,7,1,0,4,5,14.1
True,2003-11-19,25,4,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,2278,8,18,4,8,5,7,1,4,4,3,0,5,1,17.1
True,2003-11-21,27,-11,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,2355,8,16,3,7,8,10,2,3,3,3,0,4,5,19.6
True,2003-11-23,15,4,WASHINGTON WIZARDS,AWAY,SEATTLE SUPERSONICS,LOSS,2200,6,20,2,7,1,1,3,4,4,2,0,4,3,6.3
True,2003-12-12,9,-25,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1457,3,9,1,3,2,3,0,1,4,3,1,5,1,4.9
True,2003-12-30,14,-17,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,1849,5,19,2,6,2,4,0,4,3,1,0,4,3,1.0
True,2004-01-02,9,16,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,2268,4,8,1,3,0,3,1,8,5,2,1,7,3,4.9
True,2004-01-04,18,-10,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,LOSS,2052,6,18,3,6,3,6,1,2,3,1,2,3,5,7.4
