active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-31,9,-12,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,1064,3,8,1,6,2,2,1,1,0,0,0,0,1,5.2
True,2003-11-01,7,13,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1232,3,4,1,2,0,0,2,3,0,0,0,0,2,6.9
True,2003-11-03,7,13,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1358,2,2,2,2,1,1,1,1,1,2,0,1,1,8.7
True,2003-11-05,5,-12,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1134,2,7,1,3,0,0,2,0,1,3,0,0,2,5.2
True,2003-11-07,14,-1,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1601,4,10,2,5,4,4,2,4,0,0,0,0,2,10.4
True,2003-11-10,12,3,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,1016,4,6,3,4,1,1,0,2,2,2,0,0,5,11.4
True,2003-11-12,10,3,MEMPHIS GRIZZLIES,AWAY,ORLANDO MAGIC,WIN,1758,3,6,2,5,2,4,0,1,2,2,1,0,3,9.4
True,2003-11-15,11,-3,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,1204,4,9,1,3,2,3,1,2,0,2,3,0,0,11.3
True,2003-11-19,11,11,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,LOSS,1682,4,9,1,4,2,2,1,3,1,0,2,0,2,9.2
True,2003-11-21,11,9,MEMPHIS GRIZZLIES,AWAY,SEATTLE SUPERSONICS,WIN,1668,3,7,1,1,4,4,1,4,1,2,0,3,0,8.9
True,2003-11-23,18,-23,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1979,6,9,2,4,4,4,0,3,1,2,1,2,3,15.2
True,2003-11-25,2,0,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1591,1,3,0,0,0,0,1,6,2,1,0,1,2,3.4
True,2003-11-28,7,3,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,LOSS,1591,3,7,0,2,1,2,3,3,2,1,0,0,4,6.7
True,2003-11-29,22,26,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,WIN,2648,9,18,3,6,1,2,4,8,3,2,2,1,2,21.5
True,2003-12-01,12,19,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,1736,4,11,2,4,2,2,3,3,2,1,2,1,2,10.9
True,2003-12-03,12,8,MEMPHIS GRIZZLIES,AWAY,NEW JERSEY NETS,WIN,1380,4,7,2,4,2,3,1,0,2,1,1,0,6,9.7
True,2003-12-05,10,11,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,1345,4,7,0,0,2,4,4,5,0,1,1,1,3,9.7
True,2003-12-07,8,8,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,WIN,1196,3,7,1,3,1,2,1,0,3,2,0,0,1,8.3
True,2003-12-10,9,5,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1536,4,10,0,3,1,1,1,1,2,0,1,0,3,5.5
True,2003-12-12,9,-17,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,1096,4,8,1,3,0,0,1,2,1,2,2,2,2,7.6
True,2003-12-13,3,36,MEMPHIS GRIZZLIES,HOME,NEW JERSEY NETS,WIN,1362,1,2,1,1,0,0,0,1,3,2,0,0,2,5.6
True,2003-12-15,7,0,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,1379,2,3,2,2,1,2,0,2,0,1,0,1,2,5.1
True,2003-12-16,13,-6,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,1548,3,8,0,2,7,7,1,4,1,1,4,0,3,13.8
True,2003-12-19,5,8,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,1475,2,7,1,5,0,0,1,2,2,0,1,2,2,1.5
True,2003-12-20,7,12,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS HORNETS,LOSS,1353,2,5,1,4,2,3,0,1,3,2,0,1,5,5.3
True,2003-12-22,15,-1,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,2445,7,14,0,2,1,2,7,7,4,0,2,2,2,16.0
True,2003-12-23,12,-18,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1765,5,6,1,1,1,1,2,2,0,0,1,1,5,9.5
True,2003-12-26,11,2,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,LOSS,1317,4,7,0,1,3,4,2,4,1,4,1,0,3,14.1
True,2003-12-27,3,-2,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,949,1,2,0,0,1,1,1,1,0,2,0,0,3,3.8
True,2003-12-29,2,-2,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,LOSS,1353,1,8,0,1,0,0,2,2,1,2,1,1,5,-0.8
True,2003-12-30,9,-1,MEMPHIS GRIZZLIES,HOME,SEATTLE SUPERSONICS,LOSS,2142,3,10,1,7,2,4,1,2,3,2,0,1,3,5.6
True,2004-01-02,4,9,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,964,1,2,1,2,1,1,0,2,0,1,0,0,0,4.6
True,2004-01-03,6,16,MEMPHIS GRIZZLIES,HOME,ORLANDO MAGIC,WIN,1429,3,7,0,3,0,0,2,7,4,1,0,0,3,8.4
True,2004-01-09,7,-11,MEMPHIS GRIZZLIES,AWAY,SEATTLE SUPERSONICS,LOSS,1390,2,5,1,4,2,2,1,6,1,1,1,0,4,7.6
True,2004-01-11,4,-1,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,1277,2,2,0,0,0,0,2,3,2,2,0,0,4,7.5
True,2004-01-12,14,4,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2014,7,11,0,1,0,0,2,8,0,0,1,2,3,10.4
True,2004-01-15,10,9,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,1168,4,6,1,2,1,2,1,1,0,2,0,0,1,9.6
True,2004-01-17,12,9,MEMPHIS GRIZZLIES,AWAY,PHILADELPHIA 76ERS,WIN,1429,4,10,0,0,4,4,3,7,0,1,3,1,0,12.9
True,2004-01-19,2,-11,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,963,0,2,0,0,2,2,0,1,0,2,0,0,0,2.9
True,2004-01-21,4,-3,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,1438,2,8,0,2,0,0,0,3,0,1,0,0,5,-0.9
True,2004-01-23,0,-7,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,253,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3
True,2004-01-28,2,-9,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,974,1,4,0,1,0,2,1,1,0,0,1,1,2,-1.3
True,2004-01-30,2,-8,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,1138,0,1,0,0,2,2,0,1,0,0,1,1,3,0.1
True,2004-01-31,12,11,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,LOSS,1476,5,9,1,4,1,2,2,3,0,1,1,0,1,10.9
True,2004-02-02,13,3,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1756,4,9,1,3,4,5,1,0,0,0,0,1,4,6.0
True,2004-02-04,7,2,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,WIN,1606,3,7,1,3,0,0,1,3,1,3,1,1,4,6.7
True,2004-02-06,9,9,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,1407,4,6,0,1,1,2,0,2,0,1,1,0,2,7.5
True,2004-02-08,4,5,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,WIN,959,2,3,0,1,0,0,0,2,2,2,0,1,0,5.7
True,2004-02-09,13,0,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,1874,5,12,0,2,3,5,2,4,3,2,3,1,1,13.2
True,2004-02-11,9,21,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1474,3,6,3,5,0,0,1,1,2,4,0,0,3,11.2
True,2004-02-17,11,20,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,1808,4,11,2,4,1,2,1,8,1,2,0,1,1,8.9
True,2004-02-20,6,-1,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1448,2,9,0,1,2,4,3,1,0,1,1,0,2,3.0
True,2004-02-21,5,-12,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,WIN,1026,2,3,0,0,1,2,1,2,1,0,0,1,2,3.5
True,2004-02-23,10,13,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,1555,4,7,1,1,1,2,2,3,4,0,2,0,2,12.0
True,2004-02-25,12,-5,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,LOSS,1552,3,4,1,1,5,6,2,2,2,1,3,2,1,14.1
True,2004-02-27,13,-5,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,LOSS,1750,6,13,1,3,0,0,2,4,1,2,0,3,5,6.6
True,2004-02-28,8,1,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS HORNETS,WIN,2021,3,5,1,1,1,2,1,4,1,2,0,1,2,8.1
True,2004-03-01,9,13,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,1436,2,8,1,3,4,6,0,2,0,2,2,1,1,6.0
True,2004-03-03,7,-13,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1175,3,6,1,2,0,0,0,1,0,1,1,2,4,2.4
True,2004-03-06,7,16,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,WIN,1669,3,12,1,7,0,0,2,2,2,0,2,0,3,3.4
True,2004-03-07,15,18,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,1848,6,8,1,2,2,2,1,2,0,1,1,0,1,14.4
True,2004-03-09,16,20,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1792,5,6,2,3,4,6,2,3,2,3,0,0,2,18.9
True,2004-03-12,11,-4,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1527,5,12,1,3,0,0,3,3,2,3,2,0,1,13.0
True,2004-03-13,4,-6,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,1692,1,8,0,4,2,2,1,2,3,1,0,2,0,1.2
True,2004-03-16,6,2,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,1854,2,7,0,2,2,2,0,2,1,2,0,2,3,2.0
True,2004-03-18,9,2,MEMPHIS GRIZZLIES,HOME,SEATTLE SUPERSONICS,LOSS,1815,2,11,1,5,4,5,1,1,2,5,1,0,1,9.4
True,2004-03-20,1,-13,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,WIN,1335,0,3,0,0,1,2,0,2,1,1,0,1,5,-2.2
True,2004-03-24,8,3,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,WIN,1262,3,5,2,2,0,0,2,5,2,0,0,0,2,9.2
True,2004-03-26,3,7,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,962,1,5,1,2,0,0,0,0,0,1,1,1,1,0.2
True,2004-03-28,7,6,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,WIN,1343,3,4,0,0,1,1,0,2,2,1,0,1,3,6.2
True,2004-03-29,8,-14,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,WIN,2133,3,9,0,2,2,2,3,0,2,2,1,1,5,6.1
True,2004-04-02,4,-3,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1304,1,3,0,1,2,2,1,2,4,1,0,1,3,5.2
True,2004-04-04,6,4,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1049,2,6,1,3,1,3,1,2,1,0,0,0,1,3.4
True,2004-04-05,13,-28,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1802,4,8,1,2,4,4,1,1,1,0,0,2,3,7.5
True,2004-04-07,13,22,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1902,3,7,1,2,6,9,1,2,3,0,1,0,3,11.0
True,2004-04-09,4,-1,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1389,2,2,0,0,0,2,0,1,1,0,0,1,5,0.6
True,2004-04-11,18,-6,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1755,7,17,1,4,3,3,3,0,0,1,1,2,0,10.7
True,2004-04-13,6,6,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1476,2,5,2,2,0,0,2,5,2,1,0,1,2,6.8
True,2004-04-14,2,-13,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,LOSS,1315,1,2,0,0,0,0,0,2,0,1,0,0,2,1.8
