active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2003-10-29,4,-1,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,667,2,4,0,2,0,0,0,1,0,1,0,2,3,0.1
True,2003-10-31,0,-8,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,724,0,1,0,0,0,0,0,2,0,0,0,1,0,-1.1
True,2003-11-01,2,-5,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,438,0,3,0,1,2,2,0,1,1,0,0,1,1,-0.5
True,2003-11-04,0,-5,INDIANA PACERS,HOME,DENVER NUGGETS,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2003-11-06,1,11,INDIANA PACERS,AWAY,NEW JERSEY NETS,WIN,415,0,0,0,0,1,1,0,1,0,1,1,0,0,3.0
True,2003-11-07,0,-1,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,117,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2003-11-09,0,-3,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,166,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2003-11-11,0,-2,INDIANA PACERS,HOME,BOSTON CELTICS,LOSS,78,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2003-11-14,7,1,INDIANA PACERS,HOME,SEATTLE SUPERSONICS,WIN,258,1,1,1,1,4,4,0,2,0,0,0,0,0,7.3
True,2003-11-15,6,1,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,1108,2,4,1,3,1,2,1,1,0,0,1,0,2,4.5
True,2003-11-19,13,4,INDIANA PACERS,HOME,LOS ANGELES CLIPPERS,WIN,1221,5,11,1,3,2,2,3,4,0,1,1,0,4,10.7
